,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Blake
                
                  Ferguson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,26.0,,15.0,100.0,29,,17,-,-,-,-,5,-,14.0,3.21s,-,-,-,,-,-,6,22.0,0.4,,50%,3.0,2,1,-,4,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
1,,"Joe
                
                  Burgess",19.0,Winger,,80:00,,8,2,-,-,-,-,-,,27.0,,10.0,79.0,13,,4,1,-,-,-,-,-,7.0,3.38s,-,-,-,,1,-,3,14.0,0.3,,57.1%,4.0,3,-,-,2,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
2,,"Dale
                
                  Copley",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,29.0,,6.0,56.0,-,,7,1,1,1,-,1,-,4.0,4.04s,-,-,-,,-,-,3,8.0,0.5,,85.7%,12.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
3,,"Shaun
                
                  Kenny-Dowall",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,40.0,,11.0,95.0,8,,19,-,-,-,-,9,-,11.0,3.16s,-,-,-,,-,-,5,17.0,0.45,,75%,9.0,2,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
4,,"Latrell
                
                  Mitchell",5.0,Winger,,80:00,,2,-,1,2,-,50%,-,,8.0,,7.0,53.0,-,,9,-,-,-,-,-,-,5.0,2.88s,-,-,-,,-,-,2,9.0,0.29,,100%,1.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
5,,"Jayden
                
                  Nikorima",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,37.0,,5.0,36.0,-,,6,-,-,-,-,3,-,1.0,3.36s,-,-,-,,2,1,19,26.0,3.8,,85.2%,23.0,1,3,-,-,,2,16,-,-,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
6,,"Jackson
                
                  Hastings",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,47.0,,7.0,38.0,4,,-,-,1,1,-,3,-,2.0,3.52s,-,-,-,,2,1,36,53.0,5.14,,100%,14.0,-,-,-,-,,11,244,2,2,4,-,-,1,,1,-,-,-,-,-,-,,80:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
7,,"Kane
                
                  Evans",8.0,Prop,,44:00,,-,-,-,-,-,-,-,,38.0,,11.0,77.0,4,,15,-,-,-,-,-,9,8.0,3.15s,-,-,-,,1,2,1,11.0,0.09,,94.3%,33.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,25:29,18:27,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
8,,"Jake
                
                  Friend",9.0,Hooker,,74:00,,-,-,-,-,-,-,-,,65.0,,3.0,26.0,-,,9,-,-,-,-,1,2,1.0,1.6s,1,-,-,,2,1,100,96.0,33.33,,93.3%,56.0,2,2,-,-,,3,84,-,-,1,-,-,-,,-,-,-,-,-,-,-,,74:10,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
9,,"Dylan
                
                  Napa",10.0,Prop,,55:00,,-,-,-,-,-,-,-,,45.0,,12.0,85.0,6,,18,-,-,-,-,-,10,10.0,3.33s,-,-,-,,-,-,2,12.0,0.17,,89.1%,41.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:16,26:30,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
10,,"Aidan
                
                  Guerra",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,31.0,,13.0,86.0,-,,21,-,-,-,-,1,13,11.0,3.21s,-,-,-,,-,-,4,17.0,0.31,,82.9%,34.0,4,3,-,-,,-,-,-,-,-,-,-,-,,2,-,-,1,-,-,-,,80:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
11,,"Mitchell
                
                  Aubusson",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,29.0,,5.0,32.0,-,,7,-,-,-,-,-,5,5.0,2.97s,-,-,-,,-,-,2,7.0,0.4,,93.8%,30.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
12,,"Isaac
                
                  Liu",13.0,Lock,,31:00,,-,-,-,-,-,-,-,,24.0,,7.0,43.0,-,,3,-,-,-,-,-,7,7.0,3.16s,-,-,-,,-,1,1,8.0,0.14,,95.2%,20.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:14,08:43,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
13,,"Siosiua
                
                  Taukeiaho",14.0,Interchange,,40:00,,-,-,-,-,-,-,-,,38.0,,14.0,146.0,-,,42,-,-,-,-,2,13,13.0,3.68s,-,-,-,,-,-,2,16.0,0.14,,95.7%,22.0,-,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,39:45,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
14,,"Sam
                
                  Moa",15.0,Interchange,,27:00,,-,-,-,-,-,-,-,,20.0,,11.0,81.0,12,,10,-,-,-,-,1,10,11.0,4.02s,-,-,-,,-,-,-,11.0,-,,83.3%,15.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:20,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
15,,"Ian
                
                  Henderson",16.0,Interchange,,31:00,,-,-,-,-,-,-,-,,27.0,,9.0,45.0,-,,5,-,-,-,-,2,8,8.0,3.1s,1,3,-,,-,-,14,21.0,1.56,,95%,19.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,25:14,05:50,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
16,,"Vincent
                
                  Leuluai",17.0,Interchange,,18:00,,-,-,-,-,-,-,-,,13.0,,4.0,31.0,16,,7,-,-,-,-,-,3,3.0,3.13s,-,-,-,,-,-,1,5.0,0.25,,92.3%,12.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,18:00,-,Roosters,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
0,,"Greg
                
                  Inglis",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,60.0,,11.0,130.0,52,,15,2,-,-,-,7,-,8.0,3.06s,-,-,-,,-,-,16,27.0,1.45,,100%,7.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
1,,"Alex
                
                  Johnston",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,19.0,,9.0,77.0,35,,14,-,-,-,-,-,1,9.0,3.12s,1,15,-,,-,-,4,15.0,0.44,,62.5%,5.0,2,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
2,,"Bryson
                
                  Goodwin",3.0,Centre,,80:00,,6,1,1,2,-,50%,-,,45.0,,14.0,148.0,-,,26,1,-,-,-,3,1,8.0,3.41s,4,46,-,,2,1,9,18.0,0.64,,63.6%,7.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
3,,"Hymel
                
                  Hunt",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,44.0,,12.0,104.0,-,,31,1,-,-,-,3,-,11.0,3s,3,27,-,,-,-,1,12.0,0.08,,94.4%,17.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
4,,"Aaron
                
                  Gray",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,24.0,,10.0,101.0,9,,26,1,-,-,-,-,3,9.0,3.4s,1,14,-,,-,-,-,10.0,-,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,1,2016-03-06T05:00:00Z,Roosters vs Rabbitohs,2016
