,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Knights vs Sharks,2016
1,Interchange - Sin Bin Return,Dane Gagai,,,,Knights,79:56,Knights vs Sharks,2016
2,Error,Dane Gagai,,,,Knights,79:56,Knights vs Sharks,2016
3,Penalty - Lying in the Ruck,Wade Graham,,,,Sharks,79:53,Knights vs Sharks,2016
4,Penalty - Ball Strip,Luke Lewis,,,,Sharks,79:34,Knights vs Sharks,2016
5,Penalty - Offside inside 10m,Jack Bird,,,,Sharks,79:02,Knights vs Sharks,2016
6,Penalty - Crowding,James Maloney,,,,Sharks,78:40,Knights vs Sharks,2016
7,Line Dropout,James Maloney,,,,Sharks,78:08,Knights vs Sharks,2016
8,Conversion-Made,James Maloney,,,0-62,Sharks,74:53,Knights vs Sharks,2016
9,Try,Sosaia Feki,,,0-60,Sharks,73:27,Knights vs Sharks,2016
10,Linebreak,Sosaia Feki,,,,Sharks,73:24,Knights vs Sharks,2016
11,Linebreak,Sam Tagataese,,,,Sharks,73:10,Knights vs Sharks,2016
12,Interchange,,                   Michael Ennis,                   Chris Heighington,,Sharks,71:33,Knights vs Sharks,2016
13,Interchange,,                   Jeremy Smith,                   Tyler Randell,,Knights,71:33,Knights vs Sharks,2016
14,Interchange - Sin Bin Return,Joseph Paulo,,,,Sharks,71:29,Knights vs Sharks,2016
15,Error,Joseph Paulo,,,,Sharks,71:29,Knights vs Sharks,2016
16,Interchange - Sin Bin Return,Cory Denniss,,,,Knights,70:35,Knights vs Sharks,2016
17,Error,Cory Denniss,,,,Knights,70:35,Knights vs Sharks,2016
18,Conversion-Made,James Maloney,,,0-56,Sharks,70:04,Knights vs Sharks,2016
19,Interchange,,                   Chris Heighington,                   Sam Tagataese,,Sharks,69:41,Knights vs Sharks,2016
20,Try,Wade Graham,,,0-54,Sharks,68:43,Knights vs Sharks,2016
21,Linebreak,Wade Graham,,,,Sharks,68:41,Knights vs Sharks,2016
22,Linebreak,James Maloney,,,,Sharks,68:32,Knights vs Sharks,2016
23,Line Dropout,Brock Lamb,,,,Knights,68:21,Knights vs Sharks,2016
24,Interchange,,                   David Bhana,                   Jack Stockwell,,Knights,68:02,Knights vs Sharks,2016
25,Interchange - Sin Bin Return,Daniel Saifiti,,,,Knights,66:48,Knights vs Sharks,2016
26,Error,Daniel Saifiti,,,,Knights,66:48,Knights vs Sharks,2016
27,Penalty - Offside inside 10m,James Maloney,,,,Sharks,66:13,Knights vs Sharks,2016
28,Conversion-Made,James Maloney,,,0-50,Sharks,65:30,Knights vs Sharks,2016
29,Try,Luke Lewis,,,0-48,Sharks,64:18,Knights vs Sharks,2016
30,Linebreak,Jack Bird,,,,Sharks,64:12,Knights vs Sharks,2016
31,Interchange,,                   Tyler Randell,                   Danny Levi,,Knights,63:25,Knights vs Sharks,2016
32,Error,Akuila Uate,,,,Knights,63:22,Knights vs Sharks,2016
33,Error,Michael Ennis,,,,Sharks,62:07,Knights vs Sharks,2016
34,Interchange,,                   Ben Barba,                   Ricky Leutele,,Sharks,61:53,Knights vs Sharks,2016
35,Error,Gerard Beale,,,,Sharks,59:58,Knights vs Sharks,2016
36,Penalty - Slow Peel,Jeremy Smith,,,,Knights,59:09,Knights vs Sharks,2016
37,Conversion-Missed,James Maloney,,,,Sharks,58:24,Knights vs Sharks,2016
38,Interchange,,                   Mickey Paea,                   Daniel Saifiti,,Knights,57:50,Knights vs Sharks,2016
39,Try,Sosaia Feki,,,0-44,Sharks,56:55,Knights vs Sharks,2016
40,Linebreak,Sosaia Feki,,,,Sharks,56:54,Knights vs Sharks,2016
41,Linebreak,Valentine Holmes,,,,Sharks,56:34,Knights vs Sharks,2016
42,Interchange,,                   Sam Tagataese,                   Andrew Fifita,,Sharks,56:28,Knights vs Sharks,2016
43,Penalty - Ball Strip,Wade Graham,,,,Sharks,55:12,Knights vs Sharks,2016
44,Penalty - Slow Peel,Chad Townsend,,,,Sharks,54:49,Knights vs Sharks,2016
45,Error,Sosaia Feki,,,,Sharks,54:05,Knights vs Sharks,2016
46,Interchange - Sin Bin Return,Sosaia Feki,,,,Sharks,54:04,Knights vs Sharks,2016
47,Conversion-Made,James Maloney,,,0-40,Sharks,52:19,Knights vs Sharks,2016
48,Interchange,,                   Paul Gallen,                   Joseph Paulo,,Sharks,51:37,Knights vs Sharks,2016
49,Try,Luke Lewis,,,0-38,Sharks,50:51,Knights vs Sharks,2016
50,Error,Chris Heighington,,,,Sharks,49:13,Knights vs Sharks,2016
51,Linebreak,Chris Heighington,,,,Sharks,49:10,Knights vs Sharks,2016
52,Conversion-Made,James Maloney,,,0-34,Sharks,47:57,Knights vs Sharks,2016
53,Try,Valentine Holmes,,,0-32,Sharks,46:27,Knights vs Sharks,2016
54,Linebreak,Ben Barba,,,,Sharks,46:21,Knights vs Sharks,2016
55,Linebreak,James Maloney,,,,Sharks,45:54,Knights vs Sharks,2016
56,Kick Bomb,Jack Cogger,,,,Knights,45:43,Knights vs Sharks,2016
57,Kick Bomb,Brock Lamb,,,,Knights,42:22,Knights vs Sharks,2016
58,Kick Bomb,James Maloney,,,,Sharks,40:55,Knights vs Sharks,2016
59,Penalty - Marker Not Square,Jack Bird,,,,Sharks,38:42,Knights vs Sharks,2016
60,Penalty - Hand in the Ruck,David Bhana,,,,Knights,36:44,Knights vs Sharks,2016
61,Interchange - Sin Bin Return,Jack Cogger,,,,Knights,36:19,Knights vs Sharks,2016
62,Error,Jack Cogger,,,,Knights,36:19,Knights vs Sharks,2016
63,Penalty - Slow Peel,Chris Heighington,,,,Sharks,35:59,Knights vs Sharks,2016
64,Error,Wade Graham,,,,Sharks,35:08,Knights vs Sharks,2016
65,Conversion-Made,James Maloney,,,0-28,Sharks,34:29,Knights vs Sharks,2016
