,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Wests Tigers vs Bulldogs,2016
1,Conversion-Made,Kerrod Holland,,,4-36,Bulldogs,79:59,Wests Tigers vs Bulldogs,2016
2,Try,Josh Reynolds,,,4-34,Bulldogs,78:57,Wests Tigers vs Bulldogs,2016
3,Linebreak,Josh Reynolds,,,,Bulldogs,78:56,Wests Tigers vs Bulldogs,2016
4,Line Dropout,Tim Simona,,,,Wests Tigers,78:14,Wests Tigers vs Bulldogs,2016
5,Error,Jordan Rankin,,,,Wests Tigers,77:40,Wests Tigers vs Bulldogs,2016
6,Interchange,,                   James Graham,                   David Klemmer,,Bulldogs,76:45,Wests Tigers vs Bulldogs,2016
7,Error,Jordan Rankin,,,,Wests Tigers,75:49,Wests Tigers vs Bulldogs,2016
8,Error,Raymond Faitala-Mariner,,,,Bulldogs,74:52,Wests Tigers vs Bulldogs,2016
9,Interchange,,                   Aiden Tolman,                   Sam Kasiano,,Bulldogs,73:56,Wests Tigers vs Bulldogs,2016
10,Error,David Nofoaluma,,,,Wests Tigers,73:42,Wests Tigers vs Bulldogs,2016
11,Tigers Interchange,,                   Dene Halatau,                   Elijah Taylor,,Wests,73:31,Wests Tigers vs Bulldogs,2016
12,Error,Curtis Rona,,,,Bulldogs,72:28,Wests Tigers vs Bulldogs,2016
13,Linebreak,Josh Reynolds,,,,Bulldogs,71:34,Wests Tigers vs Bulldogs,2016
14,Conversion-Made,Kerrod Holland,,,4-30,Bulldogs,70:49,Wests Tigers vs Bulldogs,2016
15,Tigers Interchange,,                   Aaron Woods,                   Tim Grant,,Wests,70:48,Wests Tigers vs Bulldogs,2016
16,Try,Craig Garvey,,,4-28,Bulldogs,69:12,Wests Tigers vs Bulldogs,2016
17,Linebreak,Sam Perrett,,,,Bulldogs,69:05,Wests Tigers vs Bulldogs,2016
18,Tigers Interchange - Sin Bin Return,Luke Brooks,,,,Wests,67:57,Wests Tigers vs Bulldogs,2016
19,Error,Luke Brooks,,,,Wests Tigers,67:57,Wests Tigers vs Bulldogs,2016
20,40/20 Kick,Luke Brooks,,,,Wests Tigers,67:15,Wests Tigers vs Bulldogs,2016
21,Interchange,,                   Michael Lichaa,                   Craig Garvey,,Bulldogs,65:51,Wests Tigers vs Bulldogs,2016
22,Error,Tim Simona,,,,Wests Tigers,64:53,Wests Tigers vs Bulldogs,2016
23,Interchange,,                   Sam Kasiano,                   James Graham,,Bulldogs,63:29,Wests Tigers vs Bulldogs,2016
24,Tigers Interchange,,                   Elijah Taylor,                   Curtis Sironen,,Wests,63:19,Wests Tigers vs Bulldogs,2016
25,Penalty - 2nd Effort,Josh Morris,,,,Bulldogs,63:07,Wests Tigers vs Bulldogs,2016
26,Interchange,,                   Greg Eastwood,                   Raymond Faitala-Mariner,,Bulldogs,62:16,Wests Tigers vs Bulldogs,2016
27,Penalty - Dangerous Tackle,Tim Browne,,,,Bulldogs,60:41,Wests Tigers vs Bulldogs,2016
28,Error,Sam Kasiano,,,,Bulldogs,59:34,Wests Tigers vs Bulldogs,2016
29,Penalty - Dangerous Tackle,Mitchell Moses,,,,Wests Tigers,58:17,Wests Tigers vs Bulldogs,2016
30,Penalty - Ball Strip,Tim Browne,,,,Bulldogs,56:47,Wests Tigers vs Bulldogs,2016
31,Kick Bomb,Moses Mbye,,,,Bulldogs,56:24,Wests Tigers vs Bulldogs,2016
32,Tigers Interchange,,                   Tim Grant,                   Ava Seumanufagai,,Wests,55:35,Wests Tigers vs Bulldogs,2016
33,Interchange - Sin Bin Return,Tyrone Phillips,,,,Bulldogs,54:34,Wests Tigers vs Bulldogs,2016
34,Error,Tyrone Phillips,,,,Bulldogs,54:34,Wests Tigers vs Bulldogs,2016
35,Conversion-Missed,Kerrod Holland,,,,Bulldogs,53:19,Wests Tigers vs Bulldogs,2016
36,Try,Curtis Rona,,,4-24,Bulldogs,51:27,Wests Tigers vs Bulldogs,2016
37,Linebreak,Curtis Rona,,,,Bulldogs,51:26,Wests Tigers vs Bulldogs,2016
38,Penalty - Hand in the Ruck,Elijah Taylor,,,,Wests Tigers,50:54,Wests Tigers vs Bulldogs,2016
39,Line Dropout,Tim Simona,,,,Wests Tigers,50:29,Wests Tigers vs Bulldogs,2016
40,Error,David Nofoaluma,,,,Wests Tigers,50:07,Wests Tigers vs Bulldogs,2016
41,Interchange,,                   David Klemmer,                   Aiden Tolman,,Bulldogs,49:44,Wests Tigers vs Bulldogs,2016
42,Interchange,,                   James Graham,                   Tim Browne,,Bulldogs,49:17,Wests Tigers vs Bulldogs,2016
43,Kick Bomb,Moses Mbye,,,,Bulldogs,40:48,Wests Tigers vs Bulldogs,2016
44,Interchange - Free,,                   Raymond Faitala-Mariner,                   Moses Mbye,,Bulldogs,40:01,Wests Tigers vs Bulldogs,2016
45,Error,Kerrod Holland,,,,Bulldogs,39:37,Wests Tigers vs Bulldogs,2016
46,Penalty - Leg Pull,Tim Grant,,,,Wests Tigers,39:17,Wests Tigers vs Bulldogs,2016
47,Conversion-Missed,Kerrod Holland,,,,Bulldogs,38:08,Wests Tigers vs Bulldogs,2016
48,Try,Josh Morris,,,4-20,Bulldogs,36:43,Wests Tigers vs Bulldogs,2016
49,Linebreak,Josh Morris,,,,Bulldogs,36:42,Wests Tigers vs Bulldogs,2016
50,Interchange - Free,,                   Moses Mbye,                   Raymond Faitala-Mariner,,Bulldogs,35:38,Wests Tigers vs Bulldogs,2016
51,On Report,Justin Hunt,,,,Wests Tigers,35:38,Wests Tigers vs Bulldogs,2016
52,Penalty - Dangerous Tackle,Justin Hunt,,,,Wests Tigers,35:32,Wests Tigers vs Bulldogs,2016
53,Linebreak,Moses Mbye,,,,Bulldogs,35:30,Wests Tigers vs Bulldogs,2016
54,Tigers Interchange - HIA,,                   Josh Aloiai,                   Tim Grant,,Wests,35:04,Wests Tigers vs Bulldogs,2016
55,Conversion-Missed,Jordan Rankin,,,,Wests Tigers,32:14,Wests Tigers vs Bulldogs,2016
