,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Storm,2016
1,Conversion-Made,Michael Gordon,,,6-18,Eels,79:51,Eels vs Storm,2016
2,Try,Michael Jennings,,,4-18,Eels,78:26,Eels vs Storm,2016
3,Error,Marika Koroibete,,,,Storm,77:25,Eels vs Storm,2016
4,Interchange,,                   Tim Glasby,                   Nelson Asofa-Solomona,,Storm,77:17,Eels vs Storm,2016
5,Error,Michael Gordon,,,,Eels,77:01,Eels vs Storm,2016
6,Line Dropout,Cooper Cronk,,,,Storm,76:04,Eels vs Storm,2016
7,Interchange,,                   Cameron Smith,                   Dale Finucane,,Storm,76:00,Eels vs Storm,2016
8,Linebreak,Manu Ma'u,,,,Eels,75:18,Eels vs Storm,2016
9,Interchange,,                   Danny Wicks,                   Peni Terepo,,Eels,75:04,Eels vs Storm,2016
10,Penalty - Obstruction,Brad Takairangi,,,,Eels,72:57,Eels vs Storm,2016
11,Conversion-Missed,Cameron Smith,,,,Storm,70:49,Eels vs Storm,2016
12,Video Referee,Try,,,,Storm,69:19,Eels vs Storm,2016
13,Try,Cheyse Blair,,,0-18,Storm,69:15,Eels vs Storm,2016
14,Linebreak,Cheyse Blair,,,,Storm,69:14,Eels vs Storm,2016
15,Line Dropout,Corey Norman,,,,Eels,68:15,Eels vs Storm,2016
16,Penalty - Hand in the Ruck,Brad Takairangi,,,,Eels,66:09,Eels vs Storm,2016
17,Error,Semi Radradra,,,,Eels,65:41,Eels vs Storm,2016
18,Error,Marika Koroibete,,,,Storm,64:56,Eels vs Storm,2016
19,Linebreak,Marika Koroibete,,,,Storm,64:55,Eels vs Storm,2016
20,Interchange,,                   Peni Terepo,                   Tepai Moeroa,,Eels,63:48,Eels vs Storm,2016
21,Conversion-Made,Cameron Smith,,,0-14,Storm,63:46,Eels vs Storm,2016
22,Interchange - HIA,,                   Kenny Edwards,                   Danny Wicks,,Eels,62:40,Eels vs Storm,2016
23,Video Referee,Try,,,,Storm,62:40,Eels vs Storm,2016
24,Try,Suliasi Vunivalu,,,0-12,Storm,62:38,Eels vs Storm,2016
25,Linebreak,Suliasi Vunivalu,,,,Storm,62:38,Eels vs Storm,2016
26,Linebreak,Tim Glasby,,,,Storm,62:21,Eels vs Storm,2016
27,Line Dropout,Corey Norman,,,,Eels,62:12,Eels vs Storm,2016
28,Interchange - HIA Cleared,,                   Jordan McLean,                   Tim Glasby,,Storm,61:58,Eels vs Storm,2016
29,Kick Bomb,Cooper Cronk,,,,Storm,59:22,Eels vs Storm,2016
30,Kick Bomb,Corey Norman,,,,Eels,58:35,Eels vs Storm,2016
31,Interchange,,                   Dale Finucane,                   Kenneath Bromwich,,Storm,57:24,Eels vs Storm,2016
32,Interchange,,                   Danny Wicks,                   Junior Paulo,,Eels,56:15,Eels vs Storm,2016
33,Error,Marika Koroibete,,,,Storm,56:01,Eels vs Storm,2016
34,Interchange - Sin Bin Return,Marika Koroibete,,,,Storm,56:00,Eels vs Storm,2016
