,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Titans,2016
1,Conversion-Missed,Ashley Taylor,,,,Titans,79:06,Panthers vs Titans,2016
2,Try,Anthony Don,,,24-28,Titans,77:30,Panthers vs Titans,2016
3,Linebreak,Anthony Don,,,,Titans,77:28,Panthers vs Titans,2016
4,Interchange - Sin Bin Return,Tyrone Peachey,,,,Panthers,77:09,Panthers vs Titans,2016
5,Error,Tyrone Peachey,,,,Panthers,77:09,Panthers vs Titans,2016
6,Error,Eddy Pettybourne,,,,Titans,76:15,Panthers vs Titans,2016
7,Conversion-Made,Ashley Taylor,,,24-24,Titans,75:23,Panthers vs Titans,2016
8,Try,Ashley Taylor,,,24-22,Titans,74:01,Panthers vs Titans,2016
9,Linebreak,Ashley Taylor,,,,Titans,74:01,Panthers vs Titans,2016
10,Interchange - Sin Bin Return,Matt Moylan,,,,Panthers,73:18,Panthers vs Titans,2016
11,Error,Matt Moylan,,,,Panthers,73:18,Panthers vs Titans,2016
12,Kick Bomb,Ashley Taylor,,,,Titans,73:13,Panthers vs Titans,2016
13,Kick Bomb,Peter Wallace,,,,Panthers,72:22,Panthers vs Titans,2016
14,Interchange,,                   Luke Douglas,                   Agnatius Paasi,,Titans,71:16,Panthers vs Titans,2016
15,Conversion-Made,Jamie Soward,,,24-18,Panthers,71:09,Panthers vs Titans,2016
16,Try,Leilani Latu,,,22-18,Panthers,69:40,Panthers vs Titans,2016
17,Linebreak,Leilani Latu,,,,Panthers,69:39,Panthers vs Titans,2016
18,Penalty - Hand in the Ruck,Luke Douglas,,,,Titans,68:29,Panthers vs Titans,2016
19,Interchange,,                   Jeremy Latimore,                   Leilani Latu,,Panthers,68:06,Panthers vs Titans,2016
20,Error,Nathan Davis,,,,Titans,68:04,Panthers vs Titans,2016
21,Kick Bomb,Ashley Taylor,,,,Titans,67:58,Panthers vs Titans,2016
22,Conversion-Made,Ashley Taylor,,,18-18,Titans,64:18,Panthers vs Titans,2016
23,Interchange,,                   Leilani Latu,                   Sam McKendry,,Panthers,63:11,Panthers vs Titans,2016
24,Video Referee,Try,,,,Titans,63:11,Panthers vs Titans,2016
25,Try,Nathan Peats,,,18-16,Titans,63:08,Panthers vs Titans,2016
26,Linebreak,Nathan Peats,,,,Titans,63:08,Panthers vs Titans,2016
27,Error,Josh Mansour,,,,Panthers,61:42,Panthers vs Titans,2016
28,Kick Bomb,Greg Bird,,,,Titans,61:35,Panthers vs Titans,2016
29,Interchange,,                   Chris McQueen,                   Luke Douglas,,Titans,61:06,Panthers vs Titans,2016
30,Kick Bomb,Peter Wallace,,,,Panthers,60:40,Panthers vs Titans,2016
31,Conversion-Missed,Jamie Soward,,,,Panthers,59:23,Panthers vs Titans,2016
32,Try,Josh Mansour,,,18-12,Panthers,57:28,Panthers vs Titans,2016
33,Linebreak,Josh Mansour,,,,Panthers,57:28,Panthers vs Titans,2016
34,Penalty - Marker Not Square,Ryan James,,,,Titans,56:51,Panthers vs Titans,2016
35,Error,Matt Moylan,,,,Panthers,53:54,Panthers vs Titans,2016
36,Interchange,,                   Suaia Matagi,                   Reagan Campbell-Gillard,,Panthers,53:32,Panthers vs Titans,2016
37,Interchange,,                   Agnatius Paasi,                   Eddy Pettybourne,,Titans,53:10,Panthers vs Titans,2016
38,Kick Bomb,Jamie Soward,,,,Panthers,52:28,Panthers vs Titans,2016
39,Penalty Shot-Made,Jamie Soward,,,14-12,Panthers,50:58,Panthers vs Titans,2016
40,Penalty - Marker Not Square,Leivaha Pulu,,,,Titans,49:54,Panthers vs Titans,2016
41,Error,Greg Bird,,,,Titans,48:41,Panthers vs Titans,2016
42,Error,Anthony Don,,,,Titans,47:30,Panthers vs Titans,2016
43,Interchange - Sin Bin Return,Anthony Don,,,,Titans,47:29,Panthers vs Titans,2016
44,Interchange,,                   Tyrone Roberts,                   Leivaha Pulu,,Titans,46:23,Panthers vs Titans,2016
45,Interchange - Sin Bin Return,Josh Hoffman,,,,Titans,45:59,Panthers vs Titans,2016
46,Kick Bomb,Ashley Taylor,,,,Titans,45:54,Panthers vs Titans,2016
47,Interchange - Sin Bin Return,Bryce Cartwright,,,,Panthers,42:36,Panthers vs Titans,2016
48,Error,Matt Moylan,,,,Panthers,42:36,Panthers vs Titans,2016
49,Interchange,,                   Peta Hiku,                   Jeremy Latimore,,Panthers,42:23,Panthers vs Titans,2016
50,Penalty - Lying in the Ruck,Zeb Taia,,,,Titans,41:39,Panthers vs Titans,2016
51,Error,Greg Bird,,,,Titans,40:29,Panthers vs Titans,2016
52,Interchange - HIA Cleared,,                   Leivaha Pulu,                   Greg Bird,,Titans,40:01,Panthers vs Titans,2016
53,Interchange - HIA Cleared,,                   James Fisher-Harris,                   Jamie Soward,,Panthers,40:00,Panthers vs Titans,2016
54,Error,Chris McQueen,,,,Titans,39:32,Panthers vs Titans,2016
55,Conversion-Made,Tyrone Roberts,,,12-12,Titans,38:12,Panthers vs Titans,2016
56,Try,Agnatius Paasi,,,12-10,Titans,36:43,Panthers vs Titans,2016
