,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tuimoala
                
                  Lolohea",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,23.0,,11.0,101.0,57,,35.0,-,-,-,-,1,-,10.0,4.09s,1,9,-,,-,2,16,30.0,1.45,,100%,2.0,-,-,-,2,,2,26,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
1,,"Jonathan
                
                  Wright",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,9.0,,8.0,59.0,9,,19.0,-,-,-,-,-,-,7.0,3.07s,-,-,-,,1,-,2,10.0,0.25,,50%,1.0,-,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
2,,"Blake
                
                  Ayshford",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,31.0,,7.0,60.0,-,,19.0,-,1,1,-,-,-,6.0,3.75s,-,-,-,,-,1,4,13.0,0.57,,85.7%,18.0,2,1,-,-,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
3,,"Matthew
                
                  Allwood",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,20.0,,11.0,71.0,-,,31.0,-,-,-,-,2,1,9.0,3.81s,-,-,-,,-,-,-,11.0,-,,83.3%,15.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
4,,"David
                
                  Fusitu'a",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,10.0,,9.0,86.0,23,,29.0,-,-,-,-,1,-,8.0,3.93s,-,-,-,,-,-,1,11.0,0.11,,50%,4.0,2,2,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
5,,"Thomas
                
                  Leuluai",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,14.0,,6.0,54.0,-,,7.0,-,-,-,-,-,-,2.0,2.84s,-,-,-,,-,3,35,35.0,5.83,,84.2%,16.0,3,-,-,-,,1,38,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
6,,"Shaun
                
                  Johnson",7.0,Halfback,,80:00,,8,1,2,2,-,100%,-,,46.0,,9.0,66.0,-,,7.0,1,-,-,-,1,-,2.0,2.92s,-,-,-,,-,10,36,50.0,4,,81.5%,22.0,3,2,-,-,,13,232,3,1,7,-,2,1,,1,1,-,2,-,-,-,,80:00,-,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
7,,"Jacob
                
                  Lillyman",8.0,Prop,,41:00,,-,-,-,-,-,-,-,,29.0,,10.0,78.0,14,,26.0,-,-,-,-,-,8,10.0,3.66s,-,-,-,,-,-,1,11.0,0.1,,92.9%,26.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,06:40,34:37,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
8,,"Issac
                
                  Luke",9.0,Hooker,,65:00,,-,-,-,-,-,-,-,,50.0,,12.0,75.0,-,,14.0,-,-,-,-,1,2,3.0,4.07s,10,72,-,,1,6,69,74.0,5.75,,94.7%,36.0,1,1,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,48:45,16:16,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
9,,"Ben
                
                  Matulino",10.0,Prop,,52:00,,-,-,-,-,-,-,-,,40.0,,10.0,78.0,-,,29.0,-,-,-,-,2,9,8.0,3.2s,-,-,-,,-,-,2,11.0,0.2,,94.3%,33.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,28:48,22:32,Warriors,11,2016-05-21T07:30:00Z,Warriors vs Raiders,2016
