,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Jordan
                
                  Rankin",5.0,Fullback,,80:00,,8,-,2,3,2,80%,-,,52.0,,18,185,71,,41,1,2,1,-,2,-,13,4.27s,3,33,-,,-,-,15,30.0,0.83,,100%,5.0,-,-,-,1,,2,38,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
1,,"David
                
                  Nofoaluma",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,34.0,,12,105,12,,37,-,-,-,-,6,-,11,3.88s,4,32,-,,1,1,2,16.0,0.17,,80%,4.0,-,1,-,2,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
2,,"Tim
                
                  Simona",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,31.0,,11,102,13,,31,1,-,-,-,3,-,7,3.05s,-,-,-,,-,2,5,13.0,0.45,,91.7%,11.0,1,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
3,,"Michael
                
                  Chee-Kam",18.0,Centre,,80:00,,-,-,-,-,-,-,-,,32.0,,15,143,-,,59,-,-,-,-,-,-,12,3.25s,1,7,-,,2,1,1,17.0,0.07,,86.4%,19.0,3,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
4,,"Josh
                
                  Addo-Carr",23.0,Winger,,80:00,,4,1,-,-,-,-,-,,55.0,,15,138,10,,34,2,-,-,-,5,1,14,3.86s,4,49,-,,-,-,3,20.0,0.2,,100%,8.0,-,-,-,5,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
5,,"Mitchell
                
                  Moses",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,35.0,,6,50,-,,3,1,-,-,-,3,-,1,5.52s,-,-,-,,1,-,22,38.0,3.67,,61.9%,13.0,7,1,-,-,,11,379,-,-,2,-,-,-,,2,2,-,3,-,-,-,,80:00,-,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
6,,"Luke
                
                  Brooks",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,42.0,,14,102,-,,2,1,1,-,-,3,1,5,4.3s,2,22,-,,1,4,34,48.0,2.43,,69.2%,9.0,4,-,-,-,,7,179,1,1,2,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
7,,"Aaron
                
                  Woods",8.0,Prop,,65:00,,-,-,-,-,-,-,-,,64.0,,24,204,-,,60,-,1,-,-,1,20,15,3.55s,-,-,-,,4,3,8,28.0,0.33,,97.1%,33.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:12,35:04,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
8,,"Dene
                
                  Halatau",9.0,Hooker,,58:00,,-,-,-,-,-,-,-,,23.0,,1,34,-,,6,1,-,-,-,-,1,1,3.6s,-,-,-,,-,-,77,74.0,77,,81.1%,30.0,7,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:53,20:38,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
9,,"Ava
                
                  Seumanufagai",10.0,Prop,,32:00,,-,-,-,-,-,-,-,,24.0,,12,107,21,,44,-,-,-,-,-,10,11,3.63s,-,-,-,,-,-,1,13.0,0.08,,88.9%,16.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,12:27,19:36,Wests,11,2016-05-21T05:00:00Z,Wests Tigers vs Knights,2016
