,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Raiders vs Bulldogs,2016
1,Conversion-Made,Jarrod Croker,,,32-20,Raiders,79:33,Raiders vs Bulldogs,2016
2,Try,Joseph Tapine,,,30-20,Raiders,78:03,Raiders vs Bulldogs,2016
3,Linebreak,Joseph Tapine,,,,Raiders,78:02,Raiders vs Bulldogs,2016
4,Interchange - HIA,,                   Elliott Whitehead,                   Luke Bateman,,Raiders,77:49,Raiders vs Bulldogs,2016
5,Interchange - Sin Bin Return,Tyrone Phillips,,,,Bulldogs,77:37,Raiders vs Bulldogs,2016
6,Error,Tyrone Phillips,,,,Bulldogs,77:37,Raiders vs Bulldogs,2016
7,Kick Bomb,Josh Reynolds,,,,Bulldogs,77:31,Raiders vs Bulldogs,2016
8,Error,Sam Perrett,,,,Bulldogs,75:25,Raiders vs Bulldogs,2016
9,Line Dropout,Blake Austin,,,,Raiders,74:22,Raiders vs Bulldogs,2016
10,Interchange,,                   Shannon Boyd,                   Paul Vaughan,,Raiders,74:05,Raiders vs Bulldogs,2016
11,Error,Jarrod Croker,,,,Raiders,72:20,Raiders vs Bulldogs,2016
12,Interchange,,                   Luke Bateman,                   Shaun Fensom,,Raiders,71:38,Raiders vs Bulldogs,2016
13,Interchange,,                   Michael Lichaa,                   Craig Garvey,,Bulldogs,70:54,Raiders vs Bulldogs,2016
14,Kick Bomb,Aidan Sezer,,,,Raiders,70:37,Raiders vs Bulldogs,2016
15,Conversion-Made,Jarrod Croker,,,26-20,Raiders,69:16,Raiders vs Bulldogs,2016
16,Try,Iosia Soliola,,,24-20,Raiders,67:57,Raiders vs Bulldogs,2016
17,Linebreak,Iosia Soliola,,,,Raiders,67:56,Raiders vs Bulldogs,2016
18,Interchange - Sin Bin Return,Michael Lichaa,,,,Bulldogs,67:42,Raiders vs Bulldogs,2016
19,Interchange,,                   Edrick Lee,                   Joseph Tapine,,Raiders,66:13,Raiders vs Bulldogs,2016
20,Conversion-Missed,Jarrod Croker,,,,Raiders,66:13,Raiders vs Bulldogs,2016
21,Try,Edrick Lee,,,20-20,Raiders,64:47,Raiders vs Bulldogs,2016
22,Linebreak,Edrick Lee,,,,Raiders,64:43,Raiders vs Bulldogs,2016
23,Error,Aidan Sezer,,,,Raiders,63:54,Raiders vs Bulldogs,2016
24,Penalty - Ball Strip,Tim Browne,,,,Bulldogs,62:46,Raiders vs Bulldogs,2016
25,Error,Curtis Rona,,,,Bulldogs,62:38,Raiders vs Bulldogs,2016
26,Interchange,,                   Joseph Tapine,                   Shannon Boyd,,Raiders,62:01,Raiders vs Bulldogs,2016
27,Error,Blake Austin,,,,Raiders,61:56,Raiders vs Bulldogs,2016
28,Linebreak,Blake Austin,,,,Raiders,61:52,Raiders vs Bulldogs,2016
29,Interchange,,                   Raymond Faitala-Mariner,                   James Graham,,Bulldogs,59:14,Raiders vs Bulldogs,2016
30,Interchange,,                   Danny Fualalo,                   Adam Elliott,,Bulldogs,59:14,Raiders vs Bulldogs,2016
31,Conversion-Made,Jarrod Croker,,,16-20,Raiders,58:54,Raiders vs Bulldogs,2016
32,Try,Joseph Tapine,,,14-20,Raiders,57:12,Raiders vs Bulldogs,2016
33,Linebreak,Joseph Tapine,,,,Raiders,57:11,Raiders vs Bulldogs,2016
34,Penalty - Slow Peel,Kerrod Holland,,,,Bulldogs,56:06,Raiders vs Bulldogs,2016
35,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,54:07,Raiders vs Bulldogs,2016
36,Interchange,,                   Jeff Lima,                   Kurt Baptiste,,Raiders,54:06,Raiders vs Bulldogs,2016
37,Error,Jack Wighton,,,,Raiders,54:06,Raiders vs Bulldogs,2016
38,Interchange,,                   James Graham,                   Tim Browne,,Bulldogs,50:49,Raiders vs Bulldogs,2016
39,Error,Greg Eastwood,,,,Bulldogs,49:11,Raiders vs Bulldogs,2016
40,Linebreak,Greg Eastwood,,,,Bulldogs,49:10,Raiders vs Bulldogs,2016
41,Penalty - Flop,Joseph Tapine,,,,Raiders,48:05,Raiders vs Bulldogs,2016
42,Penalty - Ball Strip,Aiden Tolman,,,,Bulldogs,46:48,Raiders vs Bulldogs,2016
43,Conversion-Made,Kerrod Holland,,,10-20,Bulldogs,44:58,Raiders vs Bulldogs,2016
44,Try,Moses Mbye,,,10-18,Bulldogs,43:45,Raiders vs Bulldogs,2016
45,Linebreak,Moses Mbye,,,,Bulldogs,43:42,Raiders vs Bulldogs,2016
46,Interchange - Sin Bin Return,Edrick Lee,,,,Raiders,41:45,Raiders vs Bulldogs,2016
47,Error,Edrick Lee,,,,Raiders,41:45,Raiders vs Bulldogs,2016
48,Kick Bomb,Aidan Sezer,,,,Raiders,41:41,Raiders vs Bulldogs,2016
49,Interchange,,                   Sam Kasiano,                   Danny Fualalo,,Bulldogs,40:01,Raiders vs Bulldogs,2016
50,Conversion-Made,Jarrod Croker,,,10-14,Raiders,38:47,Raiders vs Bulldogs,2016
51,Try,Joseph Leilua,,,8-14,Raiders,37:18,Raiders vs Bulldogs,2016
52,Linebreak,Joseph Leilua,,,,Raiders,37:16,Raiders vs Bulldogs,2016
53,Linebreak,Sam Perrett,,,,Bulldogs,36:32,Raiders vs Bulldogs,2016
54,Interchange - Sin Bin Return,Jack Wighton,,,,Raiders,35:55,Raiders vs Bulldogs,2016
55,Error,Jack Wighton,,,,Raiders,35:55,Raiders vs Bulldogs,2016
56,Penalty - Crowding,James Graham,,,,Bulldogs,35:03,Raiders vs Bulldogs,2016
57,Error,James Graham,,,,Bulldogs,34:20,Raiders vs Bulldogs,2016
58,Penalty - Leg Pull,Jarrod Croker,,,,Raiders,33:17,Raiders vs Bulldogs,2016
59,Line Dropout,Moses Mbye,,,,Bulldogs,31:54,Raiders vs Bulldogs,2016
60,Interchange,,                   Shaun Fensom,                   Jeff Lima,,Raiders,30:51,Raiders vs Bulldogs,2016
61,Penalty - Slow Peel,Curtis Rona,,,,Bulldogs,30:06,Raiders vs Bulldogs,2016
62,Error,Curtis Rona,,,,Bulldogs,29:56,Raiders vs Bulldogs,2016
63,Penalty - Marker Not Square,Iosia Soliola,,,,Raiders,28:55,Raiders vs Bulldogs,2016
64,Conversion-Missed,Kerrod Holland,,,,Bulldogs,27:37,Raiders vs Bulldogs,2016
65,Interchange,,                   Paul Vaughan,                   Luke Bateman,,Raiders,26:21,Raiders vs Bulldogs,2016
66,Try,Reimis Smith,,,4-14,Bulldogs,26:04,Raiders vs Bulldogs,2016
67,Linebreak,Reimis Smith,,,,Bulldogs,26:04,Raiders vs Bulldogs,2016
68,Penalty - Dangerous Tackle,Jarrod Croker,,,,Raiders,25:13,Raiders vs Bulldogs,2016
69,Interchange,,                   Tim Browne,                   Sam Kasiano,,Bulldogs,25:07,Raiders vs Bulldogs,2016
70,Interchange - Sin Bin Return,Jack Wighton,,,,Raiders,24:21,Raiders vs Bulldogs,2016
71,Error,Jack Wighton,,,,Raiders,24:21,Raiders vs Bulldogs,2016
72,Conversion-Missed,Jarrod Croker,,,,Raiders,22:05,Raiders vs Bulldogs,2016
73,Try,Jordan Rapana,,,4-10,Raiders,20:32,Raiders vs Bulldogs,2016
74,Linebreak,Jordan Rapana,,,,Raiders,20:32,Raiders vs Bulldogs,2016
75,Penalty - Offside inside 10m,James Graham,,,,Bulldogs,19:25,Raiders vs Bulldogs,2016
76,Interchange,,                   Shannon Boyd,                   Joseph Tapine,,Raiders,19:23,Raiders vs Bulldogs,2016
77,Kick Bomb,Josh Reynolds,,,,Bulldogs,19:02,Raiders vs Bulldogs,2016
78,Conversion-Made,Kerrod Holland,,,0-10,Bulldogs,17:37,Raiders vs Bulldogs,2016
79,Video Referee,Try,,,,Bulldogs,16:55,Raiders vs Bulldogs,2016
80,Try,Aiden Tolman,,,0-8,Bulldogs,16:49,Raiders vs Bulldogs,2016
81,Penalty - Hand in the Ruck,Josh Hodgson,,,,Raiders,15:34,Raiders vs Bulldogs,2016
82,Interchange - Sin Bin Return,Reimis Smith,,,,Bulldogs,13:53,Raiders vs Bulldogs,2016
83,Error,James Graham,,,,Bulldogs,08:54,Raiders vs Bulldogs,2016
84,Conversion-Missed,Kerrod Holland,,,,Bulldogs,07:49,Raiders vs Bulldogs,2016
85,Try,Reimis Smith,,,0-4,Bulldogs,06:10,Raiders vs Bulldogs,2016
86,Linebreak,Reimis Smith,,,,Bulldogs,06:09,Raiders vs Bulldogs,2016
87,Interchange - Sin Bin Return,Jack Wighton,,,,Raiders,05:13,Raiders vs Bulldogs,2016
88,Error,Jack Wighton,,,,Raiders,05:13,Raiders vs Bulldogs,2016
89,Kick Bomb,Josh Reynolds,,,,Bulldogs,05:09,Raiders vs Bulldogs,2016
90,Kick Bomb,Aidan Sezer,,,,Raiders,04:26,Raiders vs Bulldogs,2016
91,Interchange - Sin Bin Return,Jack Wighton,,,,Raiders,02:34,Raiders vs Bulldogs,2016
92,Error,Jack Wighton,,,,Raiders,02:34,Raiders vs Bulldogs,2016
93,KICK OFF,,,,,,00:00,Raiders vs Bulldogs,2016
