,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Will
                
                  Hopoate",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,38.0,,19.0,216.0,126,,42,1,-,-,-,3,-,16,4.14s,2,30,-,,-,1,15.0,35.0,0.79,,50%,2.0,2,-,-,6,,1,16,1,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
1,,"Curtis
                
                  Rona",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,15.0,,12.0,94.0,-,,36,-,-,-,-,1,-,10,3.38s,2,16,-,,2,1,4.0,17.0,0.33,,60%,3.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
2,,"Josh
                
                  Morris",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,30.0,,13.0,96.0,-,,32,-,-,-,-,3,-,7,3.54s,1,13,-,,4,1,8.0,18.0,0.62,,71.4%,10.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
3,,"Kerrod
                
                  Holland",4.0,Centre,,80:00,,6,-,3,3,-,100%,-,,43.0,,12.0,102.0,-,,41,-,-,-,-,3,-,11,3.65s,1,5,-,,-,1,4.0,16.0,0.33,,91.7%,22.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
4,,"Sam
                
                  Perrett",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,17.0,,6.0,37.0,13,,15,-,-,-,-,3,-,5,4.1s,1,12,-,,1,-,11.0,17.0,1.83,,66.7%,10.0,5,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
5,,"Josh
                
                  Reynolds",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,60.0,,10.0,73.0,-,,3,1,-,-,-,1,-,2,4.66s,1,-,-,,1,3,21.0,37.0,2.1,,87.5%,21.0,2,1,-,-,,11,330,1,2,1,-,1,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
6,,"Moses
                
                  Mbye",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,33.0,,15.0,163.0,38,,29,-,-,-,-,1,-,9,4.29s,1,4,-,,-,4,31.0,48.0,2.07,,80.8%,21.0,3,2,-,2,,4,76,-,-,1,-,-,-,,1,-,-,2,-,-,-,,80:00,-,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
7,,"Aiden
                
                  Tolman",8.0,Prop,,53:00,,-,-,-,-,-,-,-,,34.0,,10.0,74.0,6,,20,-,-,-,-,1,9,9,3.25s,-,-,-,,-,-,7.0,17.0,0.7,,88.2%,30.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,23:57,28:34,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
8,,"Michael
                
                  Lichaa",9.0,Hooker,,59:00,,4,1,-,-,-,-,-,,50.0,,2.0,11.0,-,,3,-,1,1,-,-,1,-,-,1,7,-,,-,1,69.0,71.0,34.5,,95.2%,40.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,58:34,-,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
9,,"James
                
                  Graham",10.0,Prop,,67:00,,-,-,-,-,-,-,-,,60.0,,26.0,225.0,16,,61,-,-,-,-,3,22,24,3.63s,1,9,-,,1,1,7.0,32.0,0.27,,89.7%,35.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,51:25,15:56,Bulldogs,13,2016-06-06T09:00:00Z,Bulldogs vs Sharks,2016
