,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Storm,2016
1,Conversion-Missed,Tohu Harris,,,,Storm,79:59,Dragons vs Storm,2016
2,Try,Suliasi Vunivalu,,,20-10,Storm,79:27,Dragons vs Storm,2016
3,Linebreak,Suliasi Vunivalu,,,,Storm,79:24,Dragons vs Storm,2016
4,Line Dropout,Gareth Widdop,,,,Dragons,78:54,Dragons vs Storm,2016
5,Interchange - HIA Cleared,,                   Nelson Asofa-Solomona,                   Dale Finucane,,Storm,78:10,Dragons vs Storm,2016
6,Penalty - Offside inside 10m,Jason Nightingale,,,,Dragons,77:27,Dragons vs Storm,2016
7,Penalty - Dangerous Tackle,Mitch Rein,,,,Dragons,76:38,Dragons vs Storm,2016
8,Penalty - Slow Peel,Felise Kaufusi,,,,Storm,74:38,Dragons vs Storm,2016
9,Interchange,,                   Jack de Belin,                   Tariq Sims,,Dragons,74:37,Dragons vs Storm,2016
10,Error,Nelson Asofa-Solomona,,,,Storm,74:01,Dragons vs Storm,2016
11,Penalty - Offside Downtown,Mitch Rein,,,,Dragons,73:06,Dragons vs Storm,2016
12,Interchange,,                   Slade Griffin,                   Ben Hampton,,Storm,71:27,Dragons vs Storm,2016
13,Interchange,,                   Jesse Bromwich,                   Ben Hampton,,Storm,71:22,Dragons vs Storm,2016
14,Interchange,,                   Jesse Bromwich,                   Kenneath Bromwich,,Storm,71:22,Dragons vs Storm,2016
15,Conversion-Made,Gareth Widdop,,,20-6,Dragons,71:17,Dragons vs Storm,2016
16,Try,Mitch Rein,,,18-6,Dragons,69:56,Dragons vs Storm,2016
17,Linebreak,Mitch Rein,,,,Dragons,69:55,Dragons vs Storm,2016
18,Penalty - Early Tackle,Ryan Morgan,,,,Storm,68:48,Dragons vs Storm,2016
19,Conversion-Missed,Gareth Widdop,,,,Dragons,67:25,Dragons vs Storm,2016
20,Try,Kurt Mann,,,14-6,Dragons,65:54,Dragons vs Storm,2016
21,Linebreak,Kurt Mann,,,,Dragons,65:53,Dragons vs Storm,2016
22,Interchange - HIA,,                   Dale Finucane,                   Nelson Asofa-Solomona,,Storm,65:00,Dragons vs Storm,2016
23,Penalty - Marker Not Square,Felise Kaufusi,,,,Storm,64:34,Dragons vs Storm,2016
24,Interchange,,                   Russell Packer,                   Leeson Ah Mau,,Dragons,64:33,Dragons vs Storm,2016
25,Interchange,,                   Christian Welch,                   Jordan McLean,,Storm,62:53,Dragons vs Storm,2016
26,Penalty - Holding Back,Russell Packer,,,,Dragons,62:40,Dragons vs Storm,2016
27,Error,Benji Marshall,,,,Dragons,62:39,Dragons vs Storm,2016
28,Interchange,,                   Will Matthews,                   Mike Cooper,,Dragons,62:02,Dragons vs Storm,2016
29,Kick Bomb,Brodie Croft,,,,Storm,60:00,Dragons vs Storm,2016
30,Conversion-Missed,Tohu Harris,,,,Storm,58:45,Dragons vs Storm,2016
31,Video Referee,Try,,,,Storm,57:29,Dragons vs Storm,2016
32,Try,Suliasi Vunivalu,,,10-6,Storm,57:20,Dragons vs Storm,2016
33,Kick Bomb,Brodie Croft,,,,Storm,55:40,Dragons vs Storm,2016
34,Error,Dale Finucane,,,,Storm,54:04,Dragons vs Storm,2016
35,Penalty - Hand in the Ruck,Benji Marshall,,,,Dragons,53:00,Dragons vs Storm,2016
36,Interchange,,                   Kenneath Bromwich,                   Slade Griffin,,Storm,52:23,Dragons vs Storm,2016
37,Interchange,,                   Ben Hampton,                   Slade Griffin,,Storm,52:22,Dragons vs Storm,2016
38,Interchange,,                   Ben Hampton,                   Felise Kaufusi,,Storm,52:22,Dragons vs Storm,2016
39,Error,Will Matthews,,,,Dragons,52:11,Dragons vs Storm,2016
