,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Will
                
                  Hopoate",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,43.0,,21.0,140.0,64,,29,-,-,-,-,6,-,16,4.03s,-,-,-,,2,1,11.0,31.0,0.52,,80%,4.0,1,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
1,,"Brett
                
                  Morris",23.0,Winger,,80:00,,12,3,-,-,-,-,-,,56.0,,12.0,145.0,11,,32,1,-,-,-,5,-,8,3.39s,3,36,-,,-,-,4.0,16.0,0.33,,33.3%,1.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
2,,"Curtis
                
                  Rona",2.0,Centre,,80:00,,-,-,-,-,-,-,-,,40.0,,12.0,132.0,-,,20,-,1,1,-,3,-,6,3.69s,2,19,-,,2,1,6.0,15.0,0.5,,81.8%,9.0,1,1,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
3,,"Kerrod
                
                  Holland",4.0,Centre,,80:00,,12,-,6,7,-,75%,-,,42.0,,10.0,91.0,-,,29,-,-,-,-,2,-,10,3.3s,-,-,-,,-,-,9.0,19.0,0.9,,80%,16.0,3,1,-,1,,1,36,1,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
4,,"Sam
                
                  Perrett",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,10.0,,7.0,52.0,7,,15,-,-,-,-,-,1,7,3.27s,1,12,-,,-,-,10.0,18.0,1.43,,75%,9.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
5,,"Josh
                
                  Reynolds",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,40.0,,15.0,100.0,-,,22,-,-,-,-,1,-,8,3.68s,1,12,-,,3,2,25.0,45.0,1.67,,92.9%,13.0,-,1,-,1,,8,223,-,1,-,-,1,-,,1,-,-,1,-,-,-,,80:00,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
6,,"Moses
                
                  Mbye",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,64.0,,9.0,123.0,-,,10,1,1,3,-,3,-,5,3.48s,-,-,-,,-,5,37.0,50.0,4.11,,88.5%,23.0,2,1,-,-,,8,143,2,2,4,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
7,,"Aiden
                
                  Tolman",8.0,Prop,,80:00,,-,-,-,-,-,-,-,,66.0,,27.0,227.0,11,,71,-,-,-,-,1,20,24,3.14s,4,20,-,,-,-,9.0,34.0,0.33,,100%,41.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
8,,"Michael
                
                  Lichaa",9.0,Hooker,,73:00,,-,-,-,-,-,-,-,,40.0,,2.0,12.0,-,,8,-,1,-,-,1,1,2,3.22s,1,12,-,,-,4,88.0,90.0,44.0,,88.9%,40.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,73:13,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
9,,"James
                
                  Graham",10.0,Prop,,60:00,,-,-,-,-,-,-,-,,60.0,,20.0,201.0,14,,69,-,-,-,-,3,17,17,3.69s,-,-,-,,1,5,8.0,26.0,0.4,,97.1%,33.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,51:34,08:31,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
10,,"Josh
                
                  Jackson",11.0,2nd Row,,69:00,,-,-,-,-,-,-,-,,52.0,,16.0,157.0,3,,58,-,-,-,-,4,11,11,3.42s,-,-,-,,-,1,9.0,21.0,0.56,,92.9%,26.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,69:16,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
11,,"Asipeli
                
                  Fine",20.0,2nd Row,,32:00,,-,-,-,-,-,-,-,,19.0,,8.0,58.0,-,,22,-,-,-,-,1,7,6,3.01s,-,-,-,,-,-,1.0,8.0,0.12,,88.2%,15.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,20:58,10:43,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
12,,"David
                
                  Klemmer",13.0,Lock,,47:00,,4,1,-,-,-,-,-,,54.0,,14.0,149.0,39,,41,1,-,-,-,5,11,12,3.33s,-,-,-,,-,-,3.0,16.0,0.21,,100%,19.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,27:11,19:54,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
13,,"Sam
                
                  Kasiano",14.0,Interchange,,27:00,,8,2,-,-,-,-,-,,61.0,,10.0,104.0,14,,34,2,-,-,-,5,7,5,2.34s,1,5,-,,2,1,2.0,11.0,0.2,,72.7%,8.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:51,03:41,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
14,,"Tony
                
                  Williams",15.0,Interchange,,55:00,,4,1,-,-,-,-,-,,52.0,,14.0,124.0,-,,47,1,-,-,-,6,14,9,3.34s,-,-,-,,1,-,2.0,15.0,0.14,,73.7%,14.0,2,3,1,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,55:21,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
15,,"Danny
                
                  Fualalo",16.0,Interchange,,30:00,,-,-,-,-,-,-,-,,27.0,,6.0,61.0,38,,20,-,-,-,-,2,3,5,2.86s,-,-,-,,-,-,4.0,9.0,0.67,,100%,10.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:58,-,Bulldogs,16,2016-06-25T09:30:00Z,Bulldogs vs Broncos,2016
