,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Young
                
                  Tonumaipea",22.0,Fullback,,80:00,,-,-,-,-,-,-,-,,20.0,,16.0,135.0,28,,33.0,-,-,-,-,1,-,12.0,2.9s,2,22,-,,2,5,15,30.0,0.94,,66.7%,2.0,1,-,-,2,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
1,,"Suliasi
                
                  Vunivalu",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,27.0,,12.0,118.0,39,,34.0,1,-,-,-,4,-,9.0,3.16s,1,13,-,,-,-,3,19.0,0.25,,100%,1.0,-,-,-,3,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
2,,"Cheyse
                
                  Blair",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,18.0,,9.0,56.0,-,,17.0,-,1,-,-,-,2,6.0,3.41s,-,-,-,,1,-,5,14.0,0.56,,86.7%,13.0,1,1,-,-,,1,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
3,,"Ryan
                
                  Morgan",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,29.0,,5.0,84.0,18,,36.0,-,-,-,-,3,-,6.0,3.8s,-,-,-,,-,-,1,7.0,0.2,,92.9%,13.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
4,,"Marika
                
                  Koroibete",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,54.0,,13.0,284.0,69,,37.0,2,-,-,-,5,-,8.0,2.94s,1,6,-,,2,-,1,16.0,0.08,,75%,3.0,1,-,-,-,,-,-,-,-,-,-,-,-,,4,1,-,1,-,-,-,,80:00,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
5,,"Tohu
                
                  Harris",12.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,66.0,,14.0,119.0,-,,39.0,1,1,1,-,3,11,10.0,3.72s,-,-,-,,2,1,17,31.0,1.21,,88%,22.0,-,3,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
6,,"Cooper
                
                  Cronk",7.0,Halfback,,80:00,,1,-,-,-,-,-,1,,32.0,,6.0,19.0,-,,2.0,-,1,1,-,-,-,4.0,4.13s,-,-,-,,1,1,33,47.0,5.5,,76.9%,10.0,1,2,-,1,,7,175,-,2,-,-,2,-,,-,-,-,-,-,-,-,,80:00,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
7,,"Jesse
                
                  Bromwich",8.0,Prop,,59:00,,-,-,-,-,-,-,-,,41.0,,13.0,100.0,26,,36.0,-,-,-,-,1,11,10.0,3.78s,-,-,-,,3,-,5,18.0,0.38,,93.3%,28.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,30:55,28:18,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
8,,"Cameron
                
                  Smith",9.0,Hooker,,80:00,,12,-,4,4,2,100%,-,,60.0,,4.0,46.0,-,,11.0,-,1,1,-,-,-,3.0,3.97s,4,46,-,,-,6,96,99.0,24,,92.9%,39.0,2,1,-,-,,4,98,-,-,-,-,2,-,,-,-,-,1,-,-,-,,80:00,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
9,,"Jordan
                
                  McLean",10.0,Prop,,39:00,,-,-,-,-,-,-,-,,32.0,,12.0,119.0,14,,55.0,-,-,-,-,1,11,9.0,2.84s,-,-,-,,1,-,3,15.0,0.25,,100%,16.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:51,11:37,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
10,,"Kevin
                
                  Proctor",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,33.0,,10.0,118.0,-,,51.0,-,-,-,-,1,10,10.0,3.1s,-,-,-,,-,-,2,12.0,0.2,,92.6%,25.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
11,,"Felise
                
                  Kaufusi",15.0,2nd Row,,55:00,,8,2,-,-,-,-,-,,48.0,,8.0,75.0,-,,27.0,2,-,-,-,1,7,6.0,3.41s,-,-,-,,-,-,-,8.0,-,,81.8%,18.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,51:41,03:06,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
12,,"Dale
                
                  Finucane",13.0,Lock,,73:00,,-,-,-,-,-,-,-,,38.0,,11.0,115.0,-,,52.0,-,-,-,-,1,11,11.0,3.39s,-,-,-,,-,3,4,15.0,0.36,,93.3%,28.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,67:29,05:21,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
13,,"Nelson
                
                  Asofa-Solomona",14.0,Interchange,,25:00,,-,-,-,-,-,-,-,,25.0,,5.0,52.0,14,,19.0,-,-,-,-,2,4,3.0,3.12s,-,-,-,,1,-,-,5.0,-,,94.1%,16.0,1,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,25:03,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
14,,"Kenneath
                
                  Bromwich",16.0,Interchange,,28:00,,-,-,-,-,-,-,-,,19.0,,2.0,13.0,-,,3.0,-,-,-,-,-,1,2.0,3.82s,1,5,-,,-,-,1,3.0,0.5,,90.9%,20.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:05,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
15,,"Ben
                
                  Hampton",17.0,Interchange,,13:00,,-,-,-,-,-,-,-,,3.0,,3.0,27.0,-,,8.0,-,-,-,-,-,-,3.0,2.44s,-,-,-,,-,-,-,3.0,-,,55.6%,5.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,12:31,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
16,,"Christian
                
                  Welch",21.0,Interchange,,29:00,,-,-,-,-,-,-,-,,30.0,,4.0,28.0,-,,7.0,-,-,-,-,-,3,1.0,2.72s,-,-,-,,2,-,2,5.0,0.5,,96.6%,28.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,29:01,-,Storm,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
0,,"James
                
                  Tedesco",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,57.0,,15,159,22,,39,1,-,-,-,6,-,9,4.46s,-,-,-,,3,1,2,20.0,0.13,,87.5%,7.0,1,-,-,-,,1,5,-,-,1,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Wests,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
1,,"David
                
                  Nofoaluma",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,38.0,,15,109,1,,35,1,-,-,-,3,-,8,3.8s,8,59,-,,4,-,5,23.0,0.33,,55.6%,5.0,2,2,-,2,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Wests,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
2,,"Tim
                
                  Simona",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,42.0,,9,101,15,,21,1,-,-,-,-,-,7,2.85s,-,-,-,,1,-,5,16.0,0.56,,88.5%,23.0,2,1,-,-,,1,28,-,-,1,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Wests,16,2016-06-26T06:00:00Z,Storm vs Wests Tigers,2016
