,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Latrell
                
                  Mitchell",1.0,Fullback,,65:00,,4,1,-,-,-,-,-,,36.0,,12.0,154.0,50,,28.0,1,-,-,-,2,-,10.0,3.54s,-,-,-,,1,1,8,22.0,0.67,,80%,4.0,1,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,65:24,-,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
1,,"Daniel
                
                  Tupou",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,42.0,,23.0,189.0,16,,57.0,-,-,-,-,1,-,16.0,3.5s,-,-,-,,4,-,3,30.0,0.13,,55.6%,5.0,3,1,-,2,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
2,,"Blake
                
                  Ferguson",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,15.0,,9.0,86.0,10,,32.0,-,-,-,-,1,-,9.0,3.52s,-,-,-,,-,-,1,10.0,0.11,,75%,12.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
3,,"Dale
                
                  Copley",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,37.0,,11.0,111.0,-,,25.0,1,-,1,-,2,-,6.0,3.63s,-,-,-,,1,1,4,13.0,0.36,,86.7%,13.0,2,-,-,-,,1,3,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
4,,"Shaun
                
                  Kenny-Dowall",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,46.0,,17.0,167.0,17,,31.0,1,-,-,-,7,4,10.0,3.08s,2,25,-,,3,2,5,20.0,0.29,,100%,2.0,-,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
5,,"Jackson
                
                  Hastings",6.0,Five-Eighth,,80:00,,4,-,1,1,1,100%,-,,24.0,,7.0,57.0,10,,11.0,-,-,-,-,2,-,5.0,3.44s,-,-,-,,-,4,32,41.0,4.57,,64.7%,11.0,2,4,-,-,,4,47,-,2,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
6,,"Mitchell
                
                  Pearce",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,57.0,,13.0,101.0,-,,10.0,-,2,1,-,1,-,3.0,3.44s,1,13,-,,2,2,39,60.0,3,,83.3%,25.0,4,1,-,-,,14,362,-,6,2,-,1,-,,1,1,-,1,-,-,-,,80:00,-,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
7,,"Jared
                
                  Waerea-Hargreaves",8.0,Prop,,50:00,,-,-,-,-,-,-,-,,46.0,,14.0,147.0,10,,48.0,-,-,-,-,-,13,12.0,3.18s,-,-,-,,2,1,3,17.0,0.21,,91.4%,32.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:15,23:30,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
8,,"Jake
                
                  Friend",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,44.0,,3.0,17.0,-,,8.0,-,-,-,-,-,1,1.0,2.92s,2,17,-,,1,1,129,130.0,43,,90.9%,50.0,4,1,-,-,,1,24,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
9,,"Dylan
                
                  Napa",10.0,Prop,,44:00,,-,-,-,-,-,-,-,,39.0,,12.0,146.0,41,,46.0,-,-,-,-,2,9,12.0,3.79s,-,-,-,,-,-,1,13.0,0.08,,95.5%,21.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:48,18:10,Roosters,17,2016-06-30T09:50:00Z,Roosters vs Bulldogs,2016
