,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Ben
                
                  Barba",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,31.0,,11.0,96.0,65,,25.0,-,2,1,-,3,-,9.0,4.08s,-,-,-,,1,1,21,33.0,1.91,,66.7%,2.0,1,-,-,1,,2,20,1,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
1,,"Sosaia
                
                  Feki",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,59.0,,16.0,214.0,75,,60.0,2,-,-,-,4,-,13.0,3.35s,-,-,-,,-,-,-,16.0,-,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
2,,"Jack
                
                  Bird",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,48.0,,15.0,143.0,-,,32.0,-,-,-,-,7,1,11.0,3.49s,2,17,-,,1,-,8,19.0,0.53,,86.7%,13.0,-,2,-,-,,1,15,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
3,,"Ricky
                
                  Leutele",14.0,Centre,,50:00,,8,2,-,-,-,-,-,,78.0,,12.0,141.0,-,,39.0,3,1,1,-,4,-,9.0,3.75s,-,-,-,,-,1,1,16.0,0.08,,100%,13.0,-,-,-,-,,4,96,1,-,3,-,-,-,,-,-,-,-,-,-,-,,50:19,-,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
4,,"Gerard
                
                  Beale",4.0,Winger,,80:00,,8,2,-,-,-,-,-,,43.0,,7.0,37.0,-,,6.0,2,-,-,-,4,-,5.0,3.1s,-,-,-,,-,-,2,13.0,0.29,,100%,5.0,-,-,-,-,,2,36,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
5,,"James
                
                  Maloney",6.0,Five-Eighth,,80:00,,10,-,4,6,1,71.43%,-,,29.0,,8.0,78.0,-,,20.0,-,1,-,-,3,-,3.0,4.47s,-,-,-,,1,3,48,54.0,6,,58.8%,10.0,6,1,-,-,,3,75,-,1,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
6,,"Chad
                
                  Townsend",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,33.0,,8.0,48.0,8,,7.0,-,1,1,-,1,-,6.0,3.37s,-,-,-,,-,3,42,51.0,5.25,,94.7%,18.0,-,1,-,-,,3,38,-,1,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
7,,"Andrew
                
                  Fifita",8.0,Prop,,58:00,,-,-,-,-,-,-,-,,75.0,,19.0,208.0,41,,86.0,-,-,-,-,9,17,15.0,3.42s,-,-,-,,2,1,4,23.0,0.21,,93.3%,28.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,30:40,27:14,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
8,,"Michael
                
                  Ennis",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,23.0,,2.0,11.0,-,,3.0,-,-,-,-,-,-,2.0,3.52s,2,11,-,,-,8,109,115.0,54.5,,79.5%,31.0,6,2,-,-,,3,75,-,-,1,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
9,,"Matt
                
                  Prior",16.0,Prop,,27:00,,-,-,-,-,-,-,-,,15.0,,3.0,23.0,-,,8.0,-,-,-,-,-,2,2.0,3.76s,-,-,-,,-,-,1,3.0,0.33,,82.6%,19.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,21:16,06:29,Sharks,17,2016-07-02T09:30:00Z,Sharks vs Eels,2016
