,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Roosters,2016
1,Error,Joseph Manu,,,,Roosters,79:07,Eels vs Roosters,2016
2,Line Dropout,Corey Norman,,,,Eels,78:13,Eels vs Roosters,2016
3,Kick Bomb,Mitchell Pearce,,,,Roosters,77:28,Eels vs Roosters,2016
4,Penalty - Slow Peel,Kenny Edwards,,,,Eels,76:30,Eels vs Roosters,2016
5,Error,Daniel Alvaro,,,,Eels,76:23,Eels vs Roosters,2016
6,Interchange - Sin Bin Return,Daniel Alvaro,,,,Eels,76:22,Eels vs Roosters,2016
7,Interchange,,                   Rory O'Brien,                   Tim Mannah,,Eels,76:17,Eels vs Roosters,2016
8,Conversion-Missed,Michael Gordon,,,,Eels,76:16,Eels vs Roosters,2016
9,Interchange,,                   Jared Waerea-Hargreaves,                   Connor Watson,,Roosters,74:58,Eels vs Roosters,2016
10,Try,Clinton Gutherson,,,22-18,Eels,74:43,Eels vs Roosters,2016
11,Error,Jared Waerea-Hargreaves,,,,Roosters,73:21,Eels vs Roosters,2016
12,Kick Bomb,Mitchell Pearce,,,,Roosters,71:55,Eels vs Roosters,2016
13,Error,Jake Friend,,,,Roosters,70:18,Eels vs Roosters,2016
14,Error,Peni Terepo,,,,Eels,68:49,Eels vs Roosters,2016
15,Conversion-Made,Michael Gordon,,,18-18,Eels,68:08,Eels vs Roosters,2016
16,Try,Manu Ma'u,,,16-18,Eels,66:41,Eels vs Roosters,2016
17,Linebreak,Manu Ma'u,,,,Eels,66:40,Eels vs Roosters,2016
18,Interchange,,                   Danny Wicks,                   Beau Scott,,Eels,66:03,Eels vs Roosters,2016
19,Penalty - Slow Peel,Jared Waerea-Hargreaves,,,,Roosters,65:48,Eels vs Roosters,2016
20,Error,Latrell Mitchell,,,,Roosters,64:35,Eels vs Roosters,2016
21,Interchange,,                   Tim Mannah,                   Rory O'Brien,,Eels,63:43,Eels vs Roosters,2016
22,Kick Bomb,Mitchell Pearce,,,,Roosters,62:57,Eels vs Roosters,2016
23,Interchange,,                   Siosiua Taukeiaho,                   Isaac Liu,,Roosters,62:32,Eels vs Roosters,2016
24,Conversion-Made,Michael Gordon,,,12-18,Eels,60:57,Eels vs Roosters,2016
25,Interchange,,                   Beau Scott,                   Peni Terepo,,Eels,59:31,Eels vs Roosters,2016
26,Try,Manu Ma'u,,,10-18,Eels,59:31,Eels vs Roosters,2016
27,Interchange,,                   Sam Moa,                   Dylan Napa,,Roosters,58:23,Eels vs Roosters,2016
28,Penalties - Other,Boyd Cordner,,,,Roosters,58:22,Eels vs Roosters,2016
29,Interchange,,                   Kane Evans,                   Jared Waerea-Hargreaves,,Roosters,58:04,Eels vs Roosters,2016
30,Error,Bevan French,,,,Eels,55:06,Eels vs Roosters,2016
31,Error,Dale Copley,,,,Roosters,54:55,Eels vs Roosters,2016
32,Interchange - Sin Bin Return,Kenny Edwards,,,,Eels,53:18,Eels vs Roosters,2016
33,Error,Kenny Edwards,,,,Eels,53:18,Eels vs Roosters,2016
34,Interchange,,                   Rory O'Brien,                   Tepai Moeroa,,Eels,51:30,Eels vs Roosters,2016
35,Conversion-Made,Jackson Hastings,,,6-18,Roosters,51:26,Eels vs Roosters,2016
36,Try,Latrell Mitchell,,,6-16,Roosters,49:54,Eels vs Roosters,2016
37,Kick Bomb,Mitchell Pearce,,,,Roosters,49:47,Eels vs Roosters,2016
38,Linebreak,Boyd Cordner,,,,Roosters,49:12,Eels vs Roosters,2016
39,Conversion-Made,Jackson Hastings,,,6-12,Roosters,48:19,Eels vs Roosters,2016
40,Try,Boyd Cordner,,,6-10,Roosters,46:49,Eels vs Roosters,2016
41,Penalty - Hand in the Ruck,Manu Ma'u,,,,Eels,44:00,Eels vs Roosters,2016
42,Error,Corey Norman,,,,Eels,43:12,Eels vs Roosters,2016
43,Penalty - Offside inside 10m,Sam Moa,,,,Roosters,42:18,Eels vs Roosters,2016
44,Kick Bomb,Jackson Hastings,,,,Roosters,41:45,Eels vs Roosters,2016
45,Error,Clinton Gutherson,,,,Eels,38:44,Eels vs Roosters,2016
46,Error,Jake Friend,,,,Roosters,37:21,Eels vs Roosters,2016
47,Error,Michael Gordon,,,,Eels,36:45,Eels vs Roosters,2016
48,Penalty - Flop,Manu Ma'u,,,,Eels,35:52,Eels vs Roosters,2016
49,Error,Kenny Edwards,,,,Eels,34:46,Eels vs Roosters,2016
50,Interchange - HIA Cleared,,                   Tepai Moeroa,                   Tim Mannah,,Eels,32:00,Eels vs Roosters,2016
51,Penalty - Offside inside 10m,Jackson Hastings,,,,Roosters,31:45,Eels vs Roosters,2016
52,Line Dropout,Corey Norman,,,,Eels,30:46,Eels vs Roosters,2016
53,Penalty - Shoulder Charge,Danny Wicks,,,,Eels,28:52,Eels vs Roosters,2016
54,Interchange,,                   Jared Waerea-Hargreaves,                   Sam Moa,,Roosters,28:43,Eels vs Roosters,2016
55,Interchange,,                   Dylan Napa,                   Kane Evans,,Roosters,28:34,Eels vs Roosters,2016
56,Interchange - Sin Bin Return,Dale Copley,,,,Roosters,26:35,Eels vs Roosters,2016
57,Error,Dale Copley,,,,Roosters,26:35,Eels vs Roosters,2016
58,Penalty - 2nd Effort,Jeff Robson,,,,Eels,25:57,Eels vs Roosters,2016
59,Linebreak,Latrell Mitchell,,,,Roosters,25:46,Eels vs Roosters,2016
60,Interchange,,                   Isaac Liu,                   Boyd Cordner,,Roosters,25:39,Eels vs Roosters,2016
