,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Greg
                
                  Inglis",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,24.0,,8.0,78.0,36,,24.0,-,1,1,-,1,-,8.0,4.02s,-,-,-,,-,1,9,20.0,1.12,,83.3%,10.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
1,,"Alex
                
                  Johnston",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,40.0,,8.0,91.0,16,,15.0,2,-,-,-,3,-,7.0,2.98s,-,-,-,,-,-,-,8.0,-,,50%,2.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
2,,"Bryson
                
                  Goodwin",3.0,Centre,,80:00,,20,2,6,9,-,66.67%,-,,84.0,,9.0,101.0,-,,25.0,1,3,2,-,4,-,4.0,3.83s,3,27,-,,3,-,10,16.0,1.11,,83.3%,10.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
3,,"Hymel
                
                  Hunt",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,48.0,,13.0,94.0,-,,32.0,-,1,1,-,2,-,10.0,3.65s,1,14,-,,-,-,8,19.0,0.62,,87%,20.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
4,,"Aaron
                
                  Gray",5.0,Winger,,80:00,,12,3,-,-,-,-,-,,76.0,,13.0,145.0,25,,41.0,4,-,-,-,7,-,8.0,4.15s,-,-,-,,-,-,-,14.0,-,,100%,2.0,-,-,-,1,,1,14,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
5,,"Cody
                
                  Walker",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,62.0,,9.0,68.0,-,,17.0,-,1,2,-,1,-,4.0,3.02s,-,-,-,,2,2,34,48.0,3.78,,96.2%,25.0,-,1,-,-,,5,180,-,3,-,-,-,1,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
6,,"Luke
                
                  Keary",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,28.0,,10.0,86.0,-,,4.0,-,-,1,-,1,-,2.0,3.56s,-,-,-,,1,4,33,45.0,3.3,,73.9%,17.0,6,-,-,-,,4,103,1,-,-,-,1,-,,2,-,-,2,-,-,-,,80:00,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
7,,"George
                
                  Burgess",8.0,Prop,,52:00,,-,-,-,-,-,-,-,,37.0,,12.0,132.0,35,,52.0,-,-,-,-,2,10,9.0,3.68s,-,-,-,,-,-,-,12.0,-,,91.7%,22.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,27:34,19:33,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
8,,"Cameron
                
                  McInnes",9.0,Hooker,,45:00,,-,-,-,-,-,-,-,,27.0,,6.0,46.0,-,,7.0,-,-,-,-,1,3,3.0,3.73s,3,22,-,,-,3,58,60.0,9.67,,94.4%,17.0,-,1,-,-,,1,-,-,-,1,-,-,-,,1,-,-,-,-,-,-,,33:54,10:41,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
9,,"David
                
                  Tyrrell",10.0,Prop,,46:00,,-,-,-,-,-,-,-,,21.0,,15.0,128.0,59,,34.0,-,-,-,-,-,10,15.0,3.77s,-,-,-,,-,-,1,16.0,0.07,,84.6%,11.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:34,17:43,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
10,,"Paul
                
                  Carter",11.0,2nd Row,,49:00,,-,-,-,-,-,-,-,,31.0,,13.0,71.0,-,,17.0,1,-,1,-,-,12,7.0,4.38s,1,-,-,,1,5,5,18.0,0.38,,100%,21.0,-,-,-,-,,-,-,-,-,-,-,-,-,,2,1,-,2,-,-,-,,49:46,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
11,,"Kyle
                
                  Turner",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,42.0,,9.0,89.0,-,,41.0,-,-,-,-,1,9,8.0,3.87s,-,-,-,,-,1,1,13.0,0.11,,96.6%,28.0,1,-,-,-,,1,42,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
12,,"Sam
                
                  Burgess",13.0,Lock,,77:00,,-,-,-,-,-,-,-,,57.0,,22.0,137.0,-,,44.0,-,1,-,-,4,20,10.0,4.42s,-,-,-,,8,4,9,29.0,0.41,,80%,24.0,4,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,76:38,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
13,,"Damien
                
                  Cook",14.0,Interchange,,46:00,,-,-,-,-,-,-,-,,45.0,,8.0,74.0,-,,22.0,-,-,-,-,3,1,3.0,4.89s,7,74,-,,3,-,48,53.0,6,,96.2%,25.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:06,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
14,,"Jason
                
                  Clark",15.0,Interchange,,25:00,,-,-,-,-,-,-,-,,19.0,,8.0,65.0,11,,26.0,-,-,-,-,1,7,9.0,3.06s,-,-,-,,-,-,-,9.0,-,,85.7%,12.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:38,-,Rabbitohs,2,2016-03-12T06:30:00Z,Rabbitohs vs Knights,2016
