,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Dragons,2016
1,Interchange - Sin Bin Return,Siliva Havili,,,,Dragons,80:00,Sharks vs Dragons,2016
2,Interchange,,                   Jayson Bukuya,                   Sam Tagataese,,Sharks,80:00,Sharks vs Dragons,2016
3,Error,Jack de Belin,,,,Dragons,80:00,Sharks vs Dragons,2016
4,Error,Sam Tagataese,,,,Sharks,80:00,Sharks vs Dragons,2016
5,Error,Siliva Havili,,,,Dragons,80:00,Sharks vs Dragons,2016
6,Penalty - Holding Down,Ricky Leutele,,,,Sharks,80:00,Sharks vs Dragons,2016
7,Error,Benji Marshall,,,,Dragons,80:00,Sharks vs Dragons,2016
8,Kick Bomb,James Maloney,,,,Sharks,78:44,Sharks vs Dragons,2016
9,Interchange,,                   Mitch Rein,                   Leeson Ah Mau,,Dragons,77:37,Sharks vs Dragons,2016
10,Interchange,,                   Ben Barba,                   Gerard Beale,,Sharks,77:31,Sharks vs Dragons,2016
11,Conversion-Missed,James Maloney,,,,Sharks,77:22,Sharks vs Dragons,2016
12,Try,Ricky Leutele,,,30-2,Sharks,75:54,Sharks vs Dragons,2016
13,Linebreak,Ricky Leutele,,,,Sharks,75:53,Sharks vs Dragons,2016
14,Error,Kurt Mann,,,,Dragons,74:57,Sharks vs Dragons,2016
15,Interchange - Sin Bin Return,Kurt Mann,,,,Dragons,74:56,Sharks vs Dragons,2016
16,Kick Bomb,Chad Townsend,,,,Sharks,74:39,Sharks vs Dragons,2016
17,Interchange - HIA Cleared,,                   Matt Prior,                   David Fifita,,Sharks,74:14,Sharks vs Dragons,2016
18,Conversion-Made,James Maloney,,,26-2,Sharks,73:11,Sharks vs Dragons,2016
19,Video Referee,Try,,,,Sharks,71:59,Sharks vs Dragons,2016
20,Interchange - Sin Bin Return,Jack de Belin,,,,Dragons,54:05,Sharks vs Dragons,2016
21,Interchange,,,,,Dragons,54:05,Sharks vs Dragons,2016
22,Interchange,,                   Ben Creagh,                   Siliva Havili,,Dragons,54:05,Sharks vs Dragons,2016
23,Interchange,,                   Ben Creagh,                   Mike Cooper,,Dragons,54:05,Sharks vs Dragons,2016
24,Interchange - HIA,,                   David Fifita,                   Matt Prior,,Sharks,54:05,Sharks vs Dragons,2016
25,Interchange - HIA,,                   Sam Tagataese,                   Matt Prior,,Sharks,54:05,Sharks vs Dragons,2016
26,Interchange - HIA,,                   Luke Lewis,                   Matt Prior,,Sharks,54:05,Sharks vs Dragons,2016
27,Interchange,,                   David Fifita,                   Jayson Bukuya,,Sharks,54:05,Sharks vs Dragons,2016
28,Interchange,,                   Sam Tagataese,                   Jayson Bukuya,,Sharks,54:05,Sharks vs Dragons,2016
29,Interchange,,                   Luke Lewis,                   Jayson Bukuya,,Sharks,54:05,Sharks vs Dragons,2016
30,Try,Jayson Bukuya,,,24-2,Sharks,54:05,Sharks vs Dragons,2016
31,Error,Jack de Belin,,,,Dragons,54:05,Sharks vs Dragons,2016
32,Error,Kurt Mann,,,,Dragons,54:05,Sharks vs Dragons,2016
33,Penalty - Slow Peel,James Maloney,,,,Sharks,54:05,Sharks vs Dragons,2016
34,Line Dropout,Gareth Widdop,,,,Dragons,54:05,Sharks vs Dragons,2016
35,Error,Kurt Mann,,,,Dragons,54:05,Sharks vs Dragons,2016
36,Penalty Shot-Made,James Maloney,,,24-2,Sharks,54:05,Sharks vs Dragons,2016
37,Penalty - Dangerous Tackle,Leeson Ah Mau,,,,Dragons,54:05,Sharks vs Dragons,2016
38,Error,Mitch Rein,,,,Dragons,53:35,Sharks vs Dragons,2016
39,Kick Bomb,James Maloney,,,,Sharks,53:04,Sharks vs Dragons,2016
40,Interchange,,                   Josh Dugan,                   Will Matthews,,Dragons,51:39,Sharks vs Dragons,2016
41,Interchange - Sin Bin Return,Michael Ennis,,,,Sharks,50:46,Sharks vs Dragons,2016
42,Error,Michael Ennis,,,,Sharks,50:46,Sharks vs Dragons,2016
43,Interchange,,                   Jayson Bukuya,                   Andrew Fifita,,Sharks,50:27,Sharks vs Dragons,2016
44,Error,Joel Thompson,,,,Dragons,50:03,Sharks vs Dragons,2016
45,Interchange,,                   Russell Packer,                   Leeson Ah Mau,,Dragons,49:45,Sharks vs Dragons,2016
46,Error,Sosaia Feki,,,,Sharks,49:29,Sharks vs Dragons,2016
47,Interchange - Sin Bin Return,Josh Dugan,,,,Dragons,48:07,Sharks vs Dragons,2016
48,Error,Josh Dugan,,,,Dragons,48:07,Sharks vs Dragons,2016
49,Penalty - Slow Peel,Tyson Frizell,,,,Dragons,47:16,Sharks vs Dragons,2016
50,Error,Joel Thompson,,,,Dragons,46:29,Sharks vs Dragons,2016
51,Interchange - Sin Bin Return,Joel Thompson,,,,Dragons,46:28,Sharks vs Dragons,2016
52,Penalty - Flop,Michael Ennis,,,,Sharks,45:48,Sharks vs Dragons,2016
53,Line Dropout,James Maloney,,,,Sharks,45:05,Sharks vs Dragons,2016
54,Interchange - Sin Bin Return,Michael Ennis,,,,Sharks,43:11,Sharks vs Dragons,2016
55,Error,Michael Ennis,,,,Sharks,43:11,Sharks vs Dragons,2016
56,Error,Russell Packer,,,,Dragons,42:37,Sharks vs Dragons,2016
57,Error,David Fifita,,,,Sharks,41:35,Sharks vs Dragons,2016
58,Kick Bomb,Benji Marshall,,,,Dragons,40:53,Sharks vs Dragons,2016
59,Conversion-Made,James Maloney,,,18-2,Sharks,40:00,Sharks vs Dragons,2016
60,Video Referee,Try,,,,Sharks,39:39,Sharks vs Dragons,2016
61,Try,Chad Townsend,,,16-2,Sharks,39:36,Sharks vs Dragons,2016
62,Conversion-Missed,James Maloney,,,,Sharks,36:44,Sharks vs Dragons,2016
63,Video Referee,Try,,,,Sharks,35:41,Sharks vs Dragons,2016
64,Try,Valentine Holmes,,,12-2,Sharks,35:36,Sharks vs Dragons,2016
65,Conversion-Made,James Maloney,,,8-2,Sharks,34:04,Sharks vs Dragons,2016
66,Try,Ben Barba,,,6-2,Sharks,32:38,Sharks vs Dragons,2016
67,Linebreak,Ben Barba,,,,Sharks,32:38,Sharks vs Dragons,2016
68,Line Dropout,Gareth Widdop,,,,Dragons,32:09,Sharks vs Dragons,2016
69,Interchange,,                   Mike Cooper,                   Russell Packer,,Dragons,32:02,Sharks vs Dragons,2016
70,Interchange - Sin Bin Return,Sosaia Feki,,,,Sharks,30:39,Sharks vs Dragons,2016
71,Penalty - Flop,Gareth Widdop,,,,Dragons,30:04,Sharks vs Dragons,2016
72,Penalty Shot-Made,James Maloney,,,2-2,Sharks,28:51,Sharks vs Dragons,2016
73,Penalty - Offside inside 10m,Gareth Widdop,,,,Dragons,27:30,Sharks vs Dragons,2016
74,Interchange,,                   Andrew Fifita,                   David Fifita,,Sharks,27:13,Sharks vs Dragons,2016
75,Interchange,,                   Joseph Paulo,                   David Fifita,,Sharks,27:12,Sharks vs Dragons,2016
76,Error,Gareth Widdop,,,,Dragons,26:37,Sharks vs Dragons,2016
77,Interchange,,                   Russell Packer,                   Ben Creagh,,Dragons,26:14,Sharks vs Dragons,2016
