,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Rabbitohs vs Sea Eagles,2016
1,Error,Adam Reynolds,,,,Rabbitohs,79:44,Rabbitohs vs Sea Eagles,2016
2,Linebreak,Jake Trbojevic,,,,Sea Eagles,79:06,Rabbitohs vs Sea Eagles,2016
3,Interchange - Sin Bin Return,Luke Keary,,,,Rabbitohs,78:58,Rabbitohs vs Sea Eagles,2016
4,Error,Luke Keary,,,,Rabbitohs,78:58,Rabbitohs vs Sea Eagles,2016
5,Error,Cody Walker,,,,Rabbitohs,77:42,Rabbitohs vs Sea Eagles,2016
6,Error,Sam Burgess,,,,Rabbitohs,74:48,Rabbitohs vs Sea Eagles,2016
7,Penalty - Slow Peel,Jake Trbojevic,,,,Sea Eagles,73:46,Rabbitohs vs Sea Eagles,2016
8,Error,Martin Taupau,,,,Sea Eagles,72:52,Rabbitohs vs Sea Eagles,2016
9,Interchange,,                   Nathan Brown,                   George Burgess,,Rabbitohs,72:08,Rabbitohs vs Sea Eagles,2016
10,Error,Lewis Brown,,,,Sea Eagles,71:51,Rabbitohs vs Sea Eagles,2016
11,Kick Bomb,Jamie Lyon,,,,Sea Eagles,71:05,Rabbitohs vs Sea Eagles,2016
12,Interchange - Sin Bin Return,Joe Burgess,,,,Rabbitohs,69:58,Rabbitohs vs Sea Eagles,2016
13,Error,Joe Burgess,,,,Rabbitohs,69:58,Rabbitohs vs Sea Eagles,2016
14,Kick Bomb,Luke Keary,,,,Rabbitohs,69:53,Rabbitohs vs Sea Eagles,2016
15,Interchange,,                   Jason Clark,                   Thomas Burgess,,Rabbitohs,65:48,Rabbitohs vs Sea Eagles,2016
16,Eagles Interchange,,                   Darcy Lussick,                   Martin Taupau,,Sea,65:16,Rabbitohs vs Sea Eagles,2016
17,Interchange - Sin Bin Return,Alex Johnston,,,,Rabbitohs,64:57,Rabbitohs vs Sea Eagles,2016
18,Eagles Interchange - Sin Bin Return,Nate Myles,,,,Sea,63:18,Rabbitohs vs Sea Eagles,2016
19,Error,Nate Myles,,,,Sea Eagles,63:18,Rabbitohs vs Sea Eagles,2016
