,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Bulldogs vs Dragons,2016
1,Error,Curtis Rona,,,,Bulldogs,78:51,Bulldogs vs Dragons,2016
2,Interchange - Sin Bin Return,Curtis Rona,,,,Bulldogs,78:50,Bulldogs vs Dragons,2016
3,Error,Gareth Widdop,,,,Dragons,76:44,Bulldogs vs Dragons,2016
4,Penalty - Marker Not Square,Josh Jackson,,,,Bulldogs,75:41,Bulldogs vs Dragons,2016
5,Interchange,,                   David Klemmer,                   Sam Kasiano,,Bulldogs,74:49,Bulldogs vs Dragons,2016
6,Line Dropout,Benji Marshall,,,,Dragons,74:33,Bulldogs vs Dragons,2016
7,Error,Jason Nightingale,,,,Dragons,72:20,Bulldogs vs Dragons,2016
8,Kick Bomb,Moses Mbye,,,,Bulldogs,72:15,Bulldogs vs Dragons,2016
9,Interchange - Sin Bin Return,Adam Quinlan,,,,Dragons,71:16,Bulldogs vs Dragons,2016
10,Error,Adam Quinlan,,,,Dragons,71:16,Bulldogs vs Dragons,2016
11,Line Dropout,Moses Mbye,,,,Bulldogs,70:53,Bulldogs vs Dragons,2016
12,Interchange,,                   Russell Packer,                   Tariq Sims,,Dragons,69:36,Bulldogs vs Dragons,2016
13,Error,Josh Morris,,,,Bulldogs,68:51,Bulldogs vs Dragons,2016
14,Error,Josh Reynolds,,,,Bulldogs,66:39,Bulldogs vs Dragons,2016
15,Interchange - HIA Cleared,,                   Danny Fualalo,                   Josh Jackson,,Bulldogs,65:23,Bulldogs vs Dragons,2016
16,Penalty - Hand in the Ruck,Joel Thompson,,,,Dragons,65:21,Bulldogs vs Dragons,2016
17,Interchange,,                   Tariq Sims,                   Jack de Belin,,Dragons,63:06,Bulldogs vs Dragons,2016
18,Interchange,,                   Tim Browne,                   James Graham,,Bulldogs,61:57,Bulldogs vs Dragons,2016
19,Kick Bomb,Benji Marshall,,,,Dragons,61:45,Bulldogs vs Dragons,2016
20,Conversion-Made,Gareth Widdop,,,13-10,Dragons,60:21,Bulldogs vs Dragons,2016
21,Try,Euan Aitken,,,13-8,Dragons,59:04,Bulldogs vs Dragons,2016
22,Penalties - Other,Josh Reynolds,,,,Bulldogs,58:02,Bulldogs vs Dragons,2016
23,Penalty - Scrum Infringement,David Klemmer,,,,Bulldogs,58:02,Bulldogs vs Dragons,2016
24,Error,Michael Lichaa,,,,Bulldogs,57:17,Bulldogs vs Dragons,2016
25,Interchange,,                   Jack de Belin,                   Mike Cooper,,Dragons,56:11,Bulldogs vs Dragons,2016
26,Error,Curtis Rona,,,,Bulldogs,54:52,Bulldogs vs Dragons,2016
