,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"James
                
                  Tedesco",1.0,Fullback,,61:00,,-,-,-,-,-,-,-,,32.0,,10.0,76.0,13,,19.0,-,-,1,-,5,-,8.0,3.07s,-,-,-,,2,1,8,20.0,0.8,,25%,1.0,2,1,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,59:14,-,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
1,,"David
                
                  Nofoaluma",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,84.0,,16.0,159.0,49,,31.0,2,-,-,-,13,1,11.0,3.4s,1,6,-,,3,-,5,24.0,0.31,,66.7%,4.0,2,-,-,2,,1,3,-,-,1,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
2,,"Tim
                
                  Simona",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,32.0,,12.0,118.0,-,,34.0,-,-,-,-,3,-,9.0,3.15s,3,31,-,,1,1,3,16.0,0.25,,100%,10.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
3,,"Kevin
                
                  Naiqama",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,46.0,,12.0,120.0,-,,20.0,-,1,1,-,2,-,8.0,3.21s,-,-,-,,2,-,4,16.0,0.33,,76.5%,13.0,1,3,1,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
4,,"Jordan
                
                  Rankin",5.0,Winger,,80:00,,2,-,-,-,1,100%,-,,25.0,,14.0,149.0,53,,30.0,1,-,-,-,2,-,13.0,3.52s,2,6,-,,-,-,32,46.0,2.29,,100%,2.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
5,,"Mitchell
                
                  Moses",6.0,Five-Eighth,,80:00,,4,-,1,3,1,40%,-,,22.0,,5.0,37.0,-,,1.0,-,-,-,-,-,-,1.0,4.76s,-,-,-,,-,1,27,46.0,5.4,,75%,15.0,3,2,-,-,,13,298,2,1,3,-,1,-,,4,2,-,-,-,-,-,,80:00,-,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
6,,"Jack
                
                  Littlejohn",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,35.0,,6.0,54.0,18,,7.0,-,-,-,-,2,1,3.0,3.45s,-,-,-,,2,-,14,23.0,2.33,,90.5%,19.0,-,2,-,1,,2,48,1,-,1,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
7,,"Aaron
                
                  Woods",8.0,Prop,,49:00,,-,-,-,-,-,-,-,,56.0,,28.0,228.0,11,,60.0,-,-,-,-,2,21,17.0,3.37s,-,-,-,,3,-,8,30.0,0.29,,100%,22.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:51,22:42,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
8,,"Dene
                
                  Halatau",9.0,Hooker,,53:00,,-,-,-,-,-,-,-,,24.0,,4.0,26.0,-,,10.0,-,-,-,-,-,1,3.0,3.89s,3,22,-,,-,1,83,82.0,20.75,,88%,22.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:16,22:28,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
9,,"Sauaso
                
                  Sue",10.0,Prop,,40:00,,-,-,-,-,-,-,-,,29.0,,14.0,135.0,38,,41.0,-,-,-,-,1,10,12.0,3.47s,-,-,-,,-,-,2,15.0,0.14,,93.8%,15.0,-,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,24:22,17:00,Wests,23,2016-08-13T05:00:00Z,Wests Tigers vs Titans,2016
