,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Lachlan
                
                  Coote",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,25.0,,6.0,39,14,,8,-,-,-,-,1,-,5,3.56s,-,-,-,,-,2,27.0,41.0,4.5,,83.3%,10.0,2,-,-,1,,8,283,2,-,3,-,-,1,,1,-,-,-,-,-,-,,80:00,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
1,,"Kyle
                
                  Feldt",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,34.0,,8.0,73,6,,24,-,-,-,-,1,-,5,3.44s,-,-,-,,1,-,6.0,16.0,0.75,,100%,7.0,-,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,79:38,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
2,,"Justin
                
                  O'Neill",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,25.0,,8.0,75,-,,22,1,-,-,-,2,-,7,3.73s,-,-,-,,-,1,2.0,12.0,0.25,,71.4%,10.0,3,1,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
3,,"Kane
                
                  Linnett",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,23.0,,13.0,140,-,,54,-,-,-,-,2,-,12,2.85s,-,-,-,,1,-,2.0,16.0,0.15,,66.7%,4.0,1,1,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
4,,"Antonio
                
                  Winterstein",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,13.0,,15.0,189,75,,68,-,-,-,-,1,-,15,4.07s,1,16,-,,-,-,4.0,22.0,0.27,,33.3%,1.0,2,-,-,1,,-,-,-,-,-,-,-,-,,3,1,-,-,-,-,-,,80:00,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
5,,"Michael
                
                  Morgan",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,57.0,,6.0,58,-,,17,1,-,1,-,4,-,2,4.06s,-,-,-,,1,1,21.0,31.0,3.5,,91.7%,22.0,2,-,-,-,,5,76,-,1,4,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
6,,"Johnathan
                
                  Thurston",7.0,Halfback,,80:00,,10,-,5,6,-,83.33%,-,,62.0,,7.0,19,-,,-,-,3,3,-,3,-,3,4.67s,-,-,-,,-,5,52.0,62.0,7.43,,100%,15.0,-,-,-,-,,8,120,3,1,5,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
7,,"Scott
                
                  Bolton",16.0,Prop,,48:00,,-,-,-,-,-,-,-,,42.0,,18.0,189,-,,83,-,-,-,-,3,18,18,3.26s,-,-,-,,-,-,1.0,19.0,0.06,,93.8%,15.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:05,19:34,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
8,,"Rory
                
                  Kostjasyn",14.0,Hooker,,51:00,,-,-,-,-,-,-,-,,16.0,,1.0,-,-,,-,-,-,-,-,-,-,-,-,1,-,-,,1,2,99.0,98.0,99.0,,95.7%,22.0,1,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,2,-,-,-,,50:32,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
9,,"James
                
                  Tamou",10.0,Prop,,46:00,,-,-,-,-,-,-,-,,52.0,,22.0,226,102,,69,-,-,-,-,4,14,18,3.91s,-,-,-,,1,-,1.0,22.0,0.05,,94.1%,16.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:58,19:53,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
10,,"Gavin
                
                  Cooper",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,27.0,,11.0,83,6,,31,-,-,-,-,-,10,10,3.32s,-,-,-,,-,-,6.0,18.0,0.55,,90.5%,19.0,1,1,-,1,,1,26,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
11,,"Ethan
                
                  Lowe",12.0,2nd Row,,61:00,,-,-,-,-,-,-,-,,40.0,,13.0,122,-,,54,-,-,-,-,-,13,13,3.7s,-,-,-,,-,1,4.0,17.0,0.31,,100%,28.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:25,00:22,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
12,,"Jason
                
                  Taumalolo",13.0,Lock,,57:00,,4,1,-,-,-,-,-,,62.0,,20.0,212,-,,86,1,-,-,-,4,20,18,3.74s,-,-,-,,-,-,4.0,24.0,0.2,,100%,19.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,45:43,11:34,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
13,,"Ray
                
                  Thompson",9.0,Interchange,,29:00,,4,1,-,-,-,-,-,,32.0,,2.0,19,-,,-,1,-,-,-,3,-,-,-,1,11,-,,-,-,42.0,41.0,21.0,,100%,10.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:28,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
14,,"Coen
                
                  Hess",15.0,Interchange,,52:00,,-,-,-,-,-,-,-,,30.0,,6.0,49,-,,20,-,-,-,-,-,6,7,3.5s,-,-,-,,-,-,1.0,10.0,0.17,,96.3%,26.0,-,1,-,-,,1,-,1,-,1,-,-,-,,-,-,-,-,-,-,-,,51:55,-,Cowboys,24,2016-08-20T09:30:00Z,Cowboys vs Warriors,2016
