,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Bevan
                
                  French",1.0,Fullback,,78:00,,12,3,-,-,-,-,-,,57.0,,13.0,143.0,49,,12.0,2,-,-,-,4,-,8.0,3.82s,1,7,-,,-,2,10,22.0,0.77,,33.3%,1.0,2,-,-,1,,1,22,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
1,,"Semi
                
                  Radradra",2.0,Winger,,78:00,,-,-,-,-,-,-,-,,38.0,,14.0,174.0,89,,40.0,-,1,1,-,3,-,11.0,3.59s,-,-,-,,1,1,4,20.0,0.29,,70%,7.0,1,2,-,2,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,78:00,-,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
2,,"Michael
                
                  Jennings",3.0,Centre,,78:00,,-,-,-,-,-,-,-,,19.0,,10.0,91.0,-,,23.0,-,-,-,-,-,-,9.0,3.98s,2,16,-,,-,-,4,13.0,0.4,,85.7%,12.0,-,2,-,-,,1,8,-,-,1,-,-,-,,-,-,-,1,-,-,-,,78:00,-,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
3,,"Brad
                
                  Takairangi",4.0,Centre,,71:00,,-,-,-,-,-,-,-,,28.0,,8.0,62.0,-,,13.0,1,-,2,-,-,-,2.0,2.8s,-,-,-,,1,-,8,16.0,1,,92.9%,13.0,-,1,1,-,,3,32,-,-,2,-,-,-,,4,1,-,-,-,-,-,,72:38,-,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
4,,"Michael
                
                  Gordon",5.0,Winger,,78:00,,14,1,5,5,-,100%,-,,37.0,,12.0,108.0,39,,19.0,-,1,-,-,2,-,9.0,3.68s,3,26,-,,-,-,4,17.0,0.33,,75%,3.0,-,1,-,2,,1,6,-,-,-,-,-,-,,2,-,-,-,-,-,-,,78:00,-,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
5,,"Clinton
                
                  Gutherson",6.0,Five-Eighth,,78:00,,-,-,-,-,-,-,-,,45.0,,6.0,48.0,-,,12.0,-,2,1,-,1,-,3.0,4.85s,-,-,-,,3,5,18,30.0,3,,78.3%,18.0,1,4,-,-,,7,181,-,2,1,-,-,-,,-,-,-,1,-,-,-,,78:00,-,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
6,,"Jeff
                
                  Robson",7.0,Halfback,,73:00,,-,-,-,-,-,-,-,,41.0,,9.0,61.0,-,,6.0,-,-,-,-,-,-,3.0,3.41s,-,-,-,,-,8,41,54.0,4.56,,90.9%,30.0,3,-,-,-,,10,223,-,5,-,-,2,-,,-,-,-,-,-,-,-,,74:30,-,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
7,,"Peni
                
                  Terepo",16.0,Prop,,48:00,,-,-,-,-,-,-,-,,29.0,,14.0,122.0,14,,25.0,-,-,-,-,-,13,13.0,3.1s,-,-,-,,-,1,-,15.0,-,,100%,21.0,-,-,-,-,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,22:09,15:44,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
8,,"Isaac
                
                  De Gois",9.0,Hooker,,72:00,,-,-,-,-,-,-,-,,29.0,,4.0,36.0,-,,9.0,-,-,-,-,-,1,3.0,3.72s,3,34,-,,-,2,106,109.0,26.5,,77.8%,42.0,6,6,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,68:26,04:30,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
9,,"Tim
                
                  Mannah",10.0,Prop,,52:00,,-,-,-,-,-,-,-,,43.0,,13.0,158.0,31,,43.0,-,-,-,-,1,11,12.0,3.2s,-,-,-,,1,1,1,14.0,0.08,,96.2%,25.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,21:22,20:50,Eels,25,2016-08-29T09:00:00Z,Eels vs Dragons,2016
