,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Dragons,2016
1,Linebreak,Timoteo Lafai,,,,Dragons,79:31,Eels vs Dragons,2016
2,Conversion-Made,Gareth Widdop,,,30-18,Dragons,78:48,Eels vs Dragons,2016
3,Try,Kurt Mann,,,30-16,Dragons,77:44,Eels vs Dragons,2016
4,Conversion-Made,Gareth Widdop,,,30-12,Dragons,76:29,Eels vs Dragons,2016
5,Try,Kurt Mann,,,30-10,Dragons,75:06,Eels vs Dragons,2016
6,Linebreak,Kurt Mann,,,,Dragons,75:03,Eels vs Dragons,2016
7,Error,Kaysa Pritchard,,,,Eels,74:52,Eels vs Dragons,2016
8,Interchange - HIA,,                   Jeff Robson,                   Isaac De Gois,,Eels,74:30,Eels vs Dragons,2016
9,Interchange - Sin Bin Return,Gareth Widdop,,,,Dragons,74:03,Eels vs Dragons,2016
10,Error,Gareth Widdop,,,,Dragons,74:03,Eels vs Dragons,2016
11,Interchange,,                   Leeson Ah Mau,                   Mitch Rein,,Dragons,73:49,Eels vs Dragons,2016
12,Interchange,,                   Brad Takairangi,                   Tepai Moeroa,,Eels,72:38,Eels vs Dragons,2016
13,Linebreak,Jake Marketo,,,,Dragons,71:53,Eels vs Dragons,2016
14,Interchange - Sin Bin Return,Semi Radradra,,,,Eels,71:11,Eels vs Dragons,2016
15,Error,Semi Radradra,,,,Eels,71:11,Eels vs Dragons,2016
16,Interchange - Sin Bin Return,Mike Cooper,,,,Dragons,70:33,Eels vs Dragons,2016
17,Error,Mike Cooper,,,,Dragons,70:33,Eels vs Dragons,2016
18,Conversion-Made,Michael Gordon,,,30-6,Eels,69:20,Eels vs Dragons,2016
19,Interchange,,                   Isaac De Gois,                   Kaysa Pritchard,,Eels,68:26,Eels vs Dragons,2016
20,Try,Michael Gordon,,,28-6,Eels,67:38,Eels vs Dragons,2016
21,Error,Josh Dugan,,,,Dragons,66:59,Eels vs Dragons,2016
22,Error,Michael Gordon,,,,Eels,65:50,Eels vs Dragons,2016
23,Interchange,,                   Daniel Alvaro,                   Peni Terepo,,Eels,63:16,Eels vs Dragons,2016
24,Conversion-Made,Michael Gordon,,,24-6,Eels,63:11,Eels vs Dragons,2016
25,Try,Bevan French,,,22-6,Eels,61:39,Eels vs Dragons,2016
