,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Bulldogs vs Eels,2016
1,Interchange - HIA Cleared,,                   Danny Wicks,                   Tim Mannah,,Eels,78:17,Bulldogs vs Eels,2016
2,Conversion-Made,Moses Mbye,,,6-20,Bulldogs,77:05,Bulldogs vs Eels,2016
3,Interchange,,                   Josh Reynolds,                   Tony Williams,,Bulldogs,77:02,Bulldogs vs Eels,2016
4,Try,Will Hopoate,,,4-20,Bulldogs,76:30,Bulldogs vs Eels,2016
5,Linebreak,Will Hopoate,,,,Bulldogs,76:30,Bulldogs vs Eels,2016
6,Penalty - Late Tackle,Kenny Edwards,,,,Eels,75:52,Bulldogs vs Eels,2016
7,Interchange,,                   Kieran Foran,                   Tepai Moeroa,,Eels,74:49,Bulldogs vs Eels,2016
8,Conversion-Made,Michael Gordon,,,0-20,Eels,74:48,Bulldogs vs Eels,2016
9,Try,Semi Radradra,,,0-18,Eels,73:20,Bulldogs vs Eels,2016
10,Linebreak,Semi Radradra,,,,Eels,73:13,Bulldogs vs Eels,2016
11,Error,Craig Garvey,,,,Bulldogs,71:02,Bulldogs vs Eels,2016
12,Error,Junior Paulo,,,,Eels,70:15,Bulldogs vs Eels,2016
13,Conversion-Made,Michael Gordon,,,0-14,Eels,69:01,Bulldogs vs Eels,2016
14,Try,Semi Radradra,,,0-12,Eels,67:33,Bulldogs vs Eels,2016
15,Linebreak,Corey Norman,,,,Eels,67:27,Bulldogs vs Eels,2016
16,Linebreak,Michael Jennings,,,,Eels,67:13,Bulldogs vs Eels,2016
17,Interchange - HIA,,                   Tim Mannah,                   Peni Terepo,,Eels,66:08,Bulldogs vs Eels,2016
18,Interchange - HIA,,                   Sam Kasiano,                   Aiden Tolman,,Bulldogs,66:03,Bulldogs vs Eels,2016
19,Kick Bomb,Kieran Foran,,,,Eels,65:51,Bulldogs vs Eels,2016
20,Kick Bomb,Moses Mbye,,,,Bulldogs,64:57,Bulldogs vs Eels,2016
21,Interchange,,                   Tepai Moeroa,                   Tim Mannah,,Eels,63:56,Bulldogs vs Eels,2016
22,Interchange,,                   Isaac De Gois,                   Kaysa Pritchard,,Eels,62:45,Bulldogs vs Eels,2016
23,Interchange,,                   David Klemmer,                   Lloyd Perrett,,Bulldogs,62:16,Bulldogs vs Eels,2016
24,Interchange,,                   Tony Williams,                   Adam Elliott,,Bulldogs,61:48,Bulldogs vs Eels,2016
25,Penalty - Escorts,Tepai Moeroa,,,,Eels,61:25,Bulldogs vs Eels,2016
26,Error,Curtis Rona,,,,Bulldogs,59:29,Bulldogs vs Eels,2016
27,Interchange - Sin Bin Return,Junior Paulo,,,,Eels,57:06,Bulldogs vs Eels,2016
28,Error,Junior Paulo,,,,Eels,57:06,Bulldogs vs Eels,2016
29,Error,Sam Kasiano,,,,Bulldogs,56:23,Bulldogs vs Eels,2016
30,Interchange,,                   Peni Terepo,                   Junior Paulo,,Eels,55:30,Bulldogs vs Eels,2016
31,Error,Semi Radradra,,,,Eels,55:30,Bulldogs vs Eels,2016
32,Interchange,,                   Tim Browne,                   Sam Kasiano,,Bulldogs,53:51,Bulldogs vs Eels,2016
33,Error,Clinton Gutherson,,,,Eels,53:51,Bulldogs vs Eels,2016
34,Penalty - Offside Downtown,Craig Garvey,,,,Bulldogs,52:34,Bulldogs vs Eels,2016
35,Interchange,,                   Aiden Tolman,                   James Graham,,Bulldogs,51:51,Bulldogs vs Eels,2016
36,Interchange,,                   Beau Scott,                   David Gower,,Eels,50:45,Bulldogs vs Eels,2016
37,Penalty Shot-Made,Michael Gordon,,,0-8,Eels,50:08,Bulldogs vs Eels,2016
38,Penalty - Ball Strip,David Klemmer,,,,Bulldogs,48:54,Bulldogs vs Eels,2016
39,Penalty - Flop,Josh Reynolds,,,,Bulldogs,48:08,Bulldogs vs Eels,2016
40,Penalty - 2nd Effort,Curtis Rona,,,,Bulldogs,44:21,Bulldogs vs Eels,2016
41,Kick Bomb,Moses Mbye,,,,Bulldogs,44:13,Bulldogs vs Eels,2016
42,Error,Kenny Edwards,,,,Eels,43:12,Bulldogs vs Eels,2016
43,Kick Bomb,Kieran Foran,,,,Eels,43:04,Bulldogs vs Eels,2016
44,Error,Aiden Tolman,,,,Bulldogs,42:12,Bulldogs vs Eels,2016
45,Kick Bomb,Moses Mbye,,,,Bulldogs,40:57,Bulldogs vs Eels,2016
46,Penalty - Obstruction,Kieran Foran,,,,Eels,36:24,Bulldogs vs Eels,2016
47,Interchange - Sin Bin Return,Sam Perrett,,,,Bulldogs,33:35,Bulldogs vs Eels,2016
48,Error,Sam Perrett,,,,Bulldogs,33:35,Bulldogs vs Eels,2016
49,Penalty - Verbal Dissent,Corey Norman,,,,Eels,31:02,Bulldogs vs Eels,2016
50,Error,Michael Jennings,,,,Eels,30:52,Bulldogs vs Eels,2016
51,Linebreak,Michael Jennings,,,,Eels,30:15,Bulldogs vs Eels,2016
52,Kick Bomb,Kieran Foran,,,,Eels,29:18,Bulldogs vs Eels,2016
53,Interchange - HIA Cleared,,                   David Gower,                   Tepai Moeroa,,Eels,29:09,Bulldogs vs Eels,2016
54,Interchange,,                   Junior Paulo,                   Peni Terepo,,Eels,28:48,Bulldogs vs Eels,2016
55,Line Dropout,Chase Stanley,,,,Bulldogs,25:49,Bulldogs vs Eels,2016
56,Error,Josh Jackson,,,,Bulldogs,23:52,Bulldogs vs Eels,2016
57,Interchange - Sin Bin Return,Josh Jackson,,,,Bulldogs,23:51,Bulldogs vs Eels,2016
58,Interchange,,                   Tim Mannah,                   Danny Wicks,,Eels,22:28,Bulldogs vs Eels,2016
59,Interchange,,                   James Graham,                   David Klemmer,,Bulldogs,21:40,Bulldogs vs Eels,2016
60,Penalty - Holding Down,Tim Mannah,,,,Eels,19:28,Bulldogs vs Eels,2016
61,Error,Semi Radradra,,,,Eels,19:11,Bulldogs vs Eels,2016
62,Penalty - Slow Peel,James Graham,,,,Bulldogs,18:20,Bulldogs vs Eels,2016
