,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"David
                
                  Mead",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,31.0,,19.0,162.0,29,,60.0,-,-,-,-,4,1,16.0,3.47s,4,41,-,,-,5,7,26.0,0.37,,50%,4.0,4,-,-,3,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
1,,"Anthony
                
                  Don",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,11.0,,8.0,58.0,10,,20.0,-,-,-,-,-,1,10.0,3.74s,1,1,-,,-,-,4,12.0,0.5,,83.3%,5.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
2,,"Josh
                
                  Hoffman",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,32.0,,12.0,71.0,-,,26.0,-,-,-,-,5,-,11.0,3.28s,4,26,-,,-,-,3,16.0,0.25,,100%,12.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
3,,"John
                
                  Olive",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,-1.0,,12.0,98.0,-,,42.0,-,-,-,-,-,-,9.0,3.19s,5,48,-,,1,-,3,12.0,0.25,,28.6%,2.0,5,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
4,,"Nene
                
                  Macdonald",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,24.0,,14.0,101.0,15,,53.0,-,-,-,-,3,-,14.0,3.5s,4,33,-,,1,-,1,19.0,0.07,,40%,2.0,2,1,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
5,,"Greg
                
                  Bird",13.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,24.0,,10.0,79.0,-,,37.0,-,-,-,-,1,1,9.0,3.91s,-,-,-,,-,1,18,32.0,1.8,,94.4%,17.0,1,-,-,-,,4,79,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
6,,"Ashley
                
                  Taylor",7.0,Halfback,,80:00,,4,-,2,3,-,66.67%,-,,53.0,,2.0,7.0,-,,1.0,-,-,1,-,1,-,1.0,3.6s,-,-,-,,-,4,21,38.0,10.5,,82.6%,19.0,3,1,-,-,,17,513,1,7,3,-,1,2,,1,-,-,-,-,-,-,,80:00,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
7,,"Luke
                
                  Douglas",14.0,Prop,,45:00,,-,-,-,-,-,-,-,,35.0,,9.0,80.0,19,,28.0,-,-,-,-,-,8,9.0,3.33s,-,-,-,,-,-,-,9.0,-,,89.2%,33.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:45,17:38,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
8,,"Nathan
                
                  Friend",9.0,Hooker,,47:00,,-,-,-,-,-,-,-,,35.0,,2.0,13.0,-,,1.0,-,-,-,-,-,-,1.0,3.56s,2,13,-,,-,7,62,63.0,31,,92.7%,38.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:09,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
9,,"Ryan
                
                  James",10.0,Prop,,65:00,,-,-,-,-,-,-,-,,68.0,,14.0,108.0,-,,35.0,-,-,-,-,3,13,10.0,3.27s,-,-,-,,2,3,5,18.0,0.36,,100%,49.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,55:40,09:01,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
10,,"Zeb
                
                  Taia",11.0,2nd Row,,80:00,,8,2,-,-,-,-,-,,56.0,,14.0,113.0,-,,43.0,2,-,-,-,2,13,10.0,3.66s,-,-,-,,1,-,4,18.0,0.29,,81%,17.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
11,,"Chris
                
                  McQueen",12.0,2nd Row,,74:00,,-,-,-,-,-,-,-,,41.0,,7.0,57.0,-,,23.0,-,-,-,-,1,7,7.0,3.5s,-,-,-,,-,2,1,8.0,0.14,,92.3%,36.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,74:23,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
12,,"Agnatius
                
                  Paasi",15.0,Lock,,41:00,,-,-,-,-,-,-,-,,33.0,,9.0,79.0,14,,29.0,-,-,-,-,2,8,7.0,4.14s,-,-,-,,1,-,2,12.0,0.22,,89.7%,26.0,3,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,17:12,24:20,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
13,,"Leivaha
                
                  Pulu",16.0,Interchange,,40:00,,-,-,-,-,-,-,-,,28.0,,7.0,54.0,22,,17.0,-,-,-,-,1,6,5.0,3.26s,-,-,-,,1,1,-,7.0,-,,86.7%,26.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,33:50,05:37,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
14,,"Daniel
                
                  Mortimer",17.0,Interchange,,33:00,,-,-,-,-,-,-,-,,39.0,,7.0,55.0,-,,18.0,-,2,2,-,1,4,5.0,2.87s,3,27,-,,-,5,40,48.0,5.71,,95.5%,21.0,1,-,-,-,,1,16,-,-,-,-,-,-,,1,1,-,-,-,-,-,,32:51,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
15,,"Eddy
                
                  Pettybourne",18.0,Interchange,,35:00,,-,-,-,-,-,-,-,,30.0,,10.0,92.0,23,,32.0,-,-,-,-,-,8,8.0,3.5s,-,-,-,,3,-,1,12.0,0.1,,100%,19.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,35:35,-,Titans,5,2016-04-01T09:05:00Z,Titans vs Broncos,2016
