,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Broncos vs Dragons,2016
1,Penalty - Holding Back,Matt Gillett,,,,Broncos,79:24,Broncos vs Dragons,2016
2,Penalty - Hand in the Ruck,Joe Ofahengaue,,,,Broncos,78:25,Broncos vs Dragons,2016
3,Line Dropout,Ben Hunt,,,,Broncos,77:58,Broncos vs Dragons,2016
4,Error,Corey Parker,,,,Broncos,76:24,Broncos vs Dragons,2016
5,Conversion-Made,Corey Parker,,,26-0,Broncos,75:42,Broncos vs Dragons,2016
6,Try,Jordan Kahu,,,24-0,Broncos,74:17,Broncos vs Dragons,2016
7,Linebreak,Ben Hunt,,,,Broncos,74:14,Broncos vs Dragons,2016
8,Conversion-Made,Corey Parker,,,20-0,Broncos,73:01,Broncos vs Dragons,2016
9,Video Referee,Try,,,,Broncos,72:04,Broncos vs Dragons,2016
10,Try,Anthony Milford,,,18-0,Broncos,71:57,Broncos vs Dragons,2016
11,Interchange,,                   Adam Blair,                   Joe Ofahengaue,,Broncos,71:40,Broncos vs Dragons,2016
12,Penalty - Slow Peel,Josh McCrone,,,,Dragons,70:51,Broncos vs Dragons,2016
13,Interchange - Sin Bin Return,Josh Dugan,,,,Dragons,70:15,Broncos vs Dragons,2016
14,Error,Josh Dugan,,,,Dragons,70:15,Broncos vs Dragons,2016
15,Penalty Shot-Made,Corey Parker,,,14-0,Broncos,68:12,Broncos vs Dragons,2016
16,Interchange,,                   Dunamis Lui,                   Jake Marketo,,Dragons,67:19,Broncos vs Dragons,2016
17,Penalty - Ball Strip,Josh Dugan,,,,Dragons,66:53,Broncos vs Dragons,2016
18,Interchange,,                   Sam Thaiday,                   Corey Parker,,Broncos,65:43,Broncos vs Dragons,2016
19,Interchange,,                   Russell Packer,                   Mike Cooper,,Dragons,64:16,Broncos vs Dragons,2016
20,Error,Gareth Widdop,,,,Dragons,63:10,Broncos vs Dragons,2016
21,Interchange - Sin Bin Return,Gareth Widdop,,,,Dragons,63:09,Broncos vs Dragons,2016
22,Interchange - Sin Bin Return,Jarrod Wallace,,,,Broncos,62:09,Broncos vs Dragons,2016
