,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Greg
                
                  Inglis",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,44.0,,20.0,151.0,52,,37,-,-,-,-,5,1,18.0,3.91s,-,-,-,,3,2,12,33.0,0.6,,87.5%,7.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
1,,"Bryson
                
                  Goodwin",2.0,Winger,,80:00,,2,-,1,2,-,50%,-,,39.0,,15.0,127.0,18,,20,-,-,-,-,5,1,14.0,3.49s,4,40,-,,2,-,1,18.0,0.07,,50%,1.0,-,1,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
2,,"Kirisome
                
                  Auva'a",3.0,Centre,,66:00,,-,-,-,-,-,-,-,,15.0,,10.0,65.0,-,,14,-,-,-,-,2,-,9.0,3.46s,-,-,-,,1,-,3,14.0,0.3,,70%,7.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,63:01,02:52,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
3,,"Hymel
                
                  Hunt",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,26.0,,11.0,73.0,-,,11,-,1,1,-,-,-,8.0,2.89s,1,8,-,,1,-,10,17.0,0.91,,84.2%,16.0,1,2,-,-,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
4,,"Aaron
                
                  Gray",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,38.0,,18.0,151.0,39,,20,1,-,-,-,1,1,17.0,3.47s,-,-,-,,-,1,4,24.0,0.22,,83.3%,5.0,-,1,-,1,,2,48,1,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
5,,"Cody
                
                  Walker",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,41.0,,9.0,58.0,-,,10,-,-,-,-,5,2,7.0,3.19s,-,-,-,,-,5,33,50.0,3.67,,77.8%,14.0,3,1,-,-,,9,193,-,2,5,-,-,1,,1,1,-,1,-,-,-,,80:00,-,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
6,,"Luke
                
                  Keary",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,40.0,,9.0,43.0,-,,2,-,-,-,-,-,-,5.0,3.69s,1,7,-,,2,3,38,54.0,4.22,,83.3%,25.0,3,2,-,-,,10,313,-,1,1,-,1,-,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
7,,"George
                
                  Burgess",8.0,Prop,,27:00,,-,-,-,-,-,-,-,,36.0,,9.0,111.0,68,,13,-,-,-,-,2,5,9.0,3.61s,-,-,-,,-,-,-,9.0,-,,95%,19.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,16:12,11:11,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
8,,"Cameron
                
                  McInnes",9.0,Hooker,,66:00,,-,-,-,-,-,-,-,,43.0,,4.0,34.0,-,,5,-,-,-,-,2,-,3.0,3.43s,4,34,-,,-,6,92,96.0,23,,88.6%,39.0,3,2,-,-,,2,77,-,-,-,-,-,-,,1,-,-,-,-,-,-,,51:33,14:06,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
9,,"Sam
                
                  Burgess",10.0,Prop,,72:00,,-,-,-,-,-,-,-,,48.0,,16.0,141.0,20,,19,-,-,-,-,1,15,15.0,3.47s,-,-,-,,-,3,4,21.0,0.25,,89.6%,43.0,4,1,-,-,,1,11,1,-,1,-,-,-,,1,-,-,1,-,-,-,,71:38,-,Rabbitohs,6,2016-04-08T09:50:00Z,Rabbitohs vs Roosters,2016
