,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Rabbitohs vs Roosters,2016
1,Line Dropout,Latrell Mitchell,,,,Roosters,79:06,Rabbitohs vs Roosters,2016
2,Conversion-Made,Bryson Goodwin,,,10-17,Rabbitohs,77:15,Rabbitohs vs Roosters,2016
3,Interchange - HIA Cleared,,                   Cameron McInnes,                   Kirisome Auva'a,,Rabbitohs,77:07,Rabbitohs vs Roosters,2016
4,Interchange,,                   Eloni Vunakece,                   Sam Moa,,Roosters,76:53,Rabbitohs vs Roosters,2016
5,Try,Cody Walker,,,8-17,Rabbitohs,76:35,Rabbitohs vs Roosters,2016
6,Error,Shaun Kenny-Dowall,,,,Roosters,76:30,Rabbitohs vs Roosters,2016
7,Drop Goal-Made,Jackson Hastings,,,4-17,Roosters,74:16,Rabbitohs vs Roosters,2016
8,Line Dropout,Greg Inglis,,,,Rabbitohs,73:24,Rabbitohs vs Roosters,2016
9,Interchange,,                   Chris Grevsmuhl,                   Paul Carter,,Rabbitohs,73:12,Rabbitohs vs Roosters,2016
10,Interchange,,                   Kane Evans,                   Isaac Liu,,Roosters,72:53,Rabbitohs vs Roosters,2016
11,Drop Goal-Missed,Jackson Hastings,,,,Roosters,72:50,Rabbitohs vs Roosters,2016
12,Drop Goal-Missed,Jackson Hastings,,,,Roosters,72:13,Rabbitohs vs Roosters,2016
13,Line Dropout,Greg Inglis,,,,Rabbitohs,71:43,Rabbitohs vs Roosters,2016
14,Interchange - HIA Cleared,,                   Sam Burgess,                   Kyle Turner,,Rabbitohs,71:38,Rabbitohs vs Roosters,2016
15,Penalty - Working on the Ground,Luke Keary,,,,Rabbitohs,69:48,Rabbitohs vs Roosters,2016
16,Kick Bomb,Cody Walker,,,,Rabbitohs,69:21,Rabbitohs vs Roosters,2016
17,Interchange,,                   Thomas Burgess,                   George Burgess,,Rabbitohs,68:48,Rabbitohs vs Roosters,2016
18,Kick Bomb,Jackson Hastings,,,,Roosters,68:31,Rabbitohs vs Roosters,2016
19,Interchange - HIA Cleared,,                   Isaac Liu,                   Kane Evans,,Roosters,66:33,Rabbitohs vs Roosters,2016
20,Interchange - Sin Bin Return,Latrell Mitchell,,,,Roosters,64:52,Rabbitohs vs Roosters,2016
21,Error,Latrell Mitchell,,,,Roosters,64:52,Rabbitohs vs Roosters,2016
22,Interchange,,                   Sam Moa,                   Eloni Vunakece,,Roosters,64:14,Rabbitohs vs Roosters,2016
23,Interchange - HIA,,                   Kirisome Auva'a,                   Cameron McInnes,,Rabbitohs,63:01,Rabbitohs vs Roosters,2016
24,Penalty - Offside General,Jayden Nikorima,,,,Roosters,62:28,Rabbitohs vs Roosters,2016
25,Error,Jake Friend,,,,Roosters,62:26,Rabbitohs vs Roosters,2016
