,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Titans,2016
1,Penalty - Marker Not Square,Michael Ennis,,,,Sharks,79:47,Sharks vs Titans,2016
2,Line Dropout,Valentine Holmes,,,,Sharks,79:13,Sharks vs Titans,2016
3,Kick Bomb,Ashley Taylor,,,,Titans,78:32,Sharks vs Titans,2016
4,Penalty - Dangerous Tackle,Jack Bird,,,,Sharks,77:19,Sharks vs Titans,2016
5,Interchange,,                   Chris Heighington,                   Matt Prior,,Sharks,76:53,Sharks vs Titans,2016
6,Kick Bomb,Ashley Taylor,,,,Titans,76:10,Sharks vs Titans,2016
7,Error,Gerard Beale,,,,Sharks,75:04,Sharks vs Titans,2016
8,Interchange - Sin Bin Return,Gerard Beale,,,,Sharks,75:03,Sharks vs Titans,2016
9,Interchange,,                   David Shillington,                   Leivaha Pulu,,Titans,73:54,Sharks vs Titans,2016
10,Interchange,,                   Andrew Fifita,                   Sam Tagataese,,Sharks,73:02,Sharks vs Titans,2016
11,Conversion-Missed,Valentine Holmes,,,,Sharks,71:57,Sharks vs Titans,2016
12,Video Referee,Try,,,,Sharks,70:48,Sharks vs Titans,2016
13,Try,Valentine Holmes,,,25-20,Sharks,70:43,Sharks vs Titans,2016
14,Linebreak,Valentine Holmes,,,,Sharks,70:43,Sharks vs Titans,2016
15,Penalty - Ball Strip,Ryan James,,,,Titans,69:34,Sharks vs Titans,2016
16,Interchange,,                   Luke Douglas,                   Agnatius Paasi,,Titans,68:49,Sharks vs Titans,2016
17,Drop Goal-Made,Chad Townsend,,,21-20,Sharks,68:35,Sharks vs Titans,2016
18,Interchange,,                   Matt Prior,                   Paul Gallen,,Sharks,68:08,Sharks vs Titans,2016
19,Penalty - Ball Strip,Matt Prior,,,,Sharks,66:14,Sharks vs Titans,2016
20,Penalty Shot-Made,Ashley Taylor,,,20-20,Titans,65:22,Sharks vs Titans,2016
21,Penalty - Offside General,Chad Townsend,,,,Sharks,64:11,Sharks vs Titans,2016
22,Error,Ben Barba,,,,Sharks,64:10,Sharks vs Titans,2016
23,Kick Bomb,Cameron Cullen,,,,Titans,64:05,Sharks vs Titans,2016
24,Interchange,,                   Chris McQueen,                   David Shillington,,Titans,63:39,Sharks vs Titans,2016
25,Error,Andrew Fifita,,,,Sharks,62:43,Sharks vs Titans,2016
26,Interchange,,                   Paul Gallen,                   Chris Heighington,,Sharks,62:41,Sharks vs Titans,2016
27,Linebreak,Andrew Fifita,,,,Sharks,62:35,Sharks vs Titans,2016
28,Interchange - Sin Bin Return,Michael Ennis,,,,Sharks,61:18,Sharks vs Titans,2016
29,Error,Michael Ennis,,,,Sharks,61:18,Sharks vs Titans,2016
30,Conversion-Made,Valentine Holmes,,,20-18,Sharks,56:57,Sharks vs Titans,2016
31,Interchange,,                   Leivaha Pulu,                   Ryan James,,Titans,55:53,Sharks vs Titans,2016
32,Interchange,,                   Agnatius Paasi,                   Ryan James,,Titans,55:51,Sharks vs Titans,2016
33,Interchange,,                   Agnatius Paasi,                   Zeb Taia,,Titans,55:51,Sharks vs Titans,2016
34,Try,Andrew Fifita,,,18-18,Sharks,55:26,Sharks vs Titans,2016
35,Error,Leivaha Pulu,,,,Titans,53:55,Sharks vs Titans,2016
36,Interchange - Sin Bin Return,Leivaha Pulu,,,,Titans,53:54,Sharks vs Titans,2016
37,Interchange - Sin Bin Return,Valentine Holmes,,,,Sharks,52:58,Sharks vs Titans,2016
38,Error,Valentine Holmes,,,,Sharks,52:58,Sharks vs Titans,2016
39,Kick Bomb,Chad Townsend,,,,Sharks,51:29,Sharks vs Titans,2016
40,Interchange - Sin Bin Return,Josh Hoffman,,,,Titans,50:09,Sharks vs Titans,2016
41,Error,Josh Hoffman,,,,Titans,50:09,Sharks vs Titans,2016
42,Line Dropout,Valentine Holmes,,,,Sharks,49:44,Sharks vs Titans,2016
43,Penalties - Other,Valentine Holmes,,,,Sharks,47:18,Sharks vs Titans,2016
44,Conversion-Made,Ashley Taylor,,,14-18,Titans,46:51,Sharks vs Titans,2016
45,Interchange,,                   Sam Tagataese,                   Matt Prior,,Sharks,46:50,Sharks vs Titans,2016
46,Interchange,,                   Chris Heighington,                   Andrew Fifita,,Sharks,46:50,Sharks vs Titans,2016
47,Try,Ashley Taylor,,,14-16,Titans,45:26,Sharks vs Titans,2016
48,Linebreak,Ashley Taylor,,,,Titans,45:26,Sharks vs Titans,2016
49,Line Dropout,Valentine Holmes,,,,Sharks,44:32,Sharks vs Titans,2016
50,Error,Sam Tagataese,,,,Sharks,43:12,Sharks vs Titans,2016
