,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Broncos vs Rabbitohs,2016
1,Error,Adam Reynolds,,,,Rabbitohs,79:24,Broncos vs Rabbitohs,2016
2,Penalty - 2nd Effort,Jordan Kahu,,,,Broncos,79:09,Broncos vs Rabbitohs,2016
3,Penalty - Obstruction,Greg Inglis,,,,Rabbitohs,77:54,Broncos vs Rabbitohs,2016
4,Penalty - Working on the Ground,Jarrod Wallace,,,,Broncos,76:42,Broncos vs Rabbitohs,2016
5,Interchange,,                   Adam Blair,                   Jarrod Wallace,,Broncos,74:14,Broncos vs Rabbitohs,2016
6,Conversion-Made,Jordan Kahu,,,30-8,Broncos,74:10,Broncos vs Rabbitohs,2016
7,Interchange,,                   Chris Grevsmuhl,                   Thomas Burgess,,Rabbitohs,73:51,Broncos vs Rabbitohs,2016
8,Interchange - HIA,,                   Aaron Gray,                   Damien Cook,,Rabbitohs,73:21,Broncos vs Rabbitohs,2016
9,Try,Corey Parker,,,28-8,Broncos,72:37,Broncos vs Rabbitohs,2016
10,Linebreak,Corey Parker,,,,Broncos,72:36,Broncos vs Rabbitohs,2016
11,Penalty - Hand in the Ruck,Sam Burgess,,,,Rabbitohs,71:39,Broncos vs Rabbitohs,2016
12,Conversion-Made,Corey Parker,,,24-8,Broncos,70:55,Broncos vs Rabbitohs,2016
13,Try,Jordan Kahu,,,22-8,Broncos,69:00,Broncos vs Rabbitohs,2016
14,Error,Paul Carter,,,,Rabbitohs,68:04,Broncos vs Rabbitohs,2016
15,Interchange,,                   Matt Gillett,                   Adam Blair,,Broncos,67:17,Broncos vs Rabbitohs,2016
16,Interchange - Free,,                   Damien Cook,                   Adam Reynolds,,Rabbitohs,66:34,Broncos vs Rabbitohs,2016
17,Interchange - Free,,                   Nathan Brown,                   Paul Carter,,Rabbitohs,66:20,Broncos vs Rabbitohs,2016
18,Kick Bomb,Ben Hunt,,,,Broncos,65:55,Broncos vs Rabbitohs,2016
19,Conversion-Missed,Corey Parker,,,,Broncos,64:22,Broncos vs Rabbitohs,2016
