,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Cowboys vs Eels,2016
1,Conversion-Missed,Johnathan Thurston,,,,Cowboys,80:00,Cowboys vs Eels,2016
2,Video Referee,Try,,,,Cowboys,79:33,Cowboys vs Eels,2016
3,Try,Michael Morgan,,,32-16,Cowboys,79:33,Cowboys vs Eels,2016
4,Linebreak,Kyle Feldt,,,,Cowboys,79:28,Cowboys vs Eels,2016
5,Penalty - Slow Peel,Matthew Scott,,,,Cowboys,76:30,Cowboys vs Eels,2016
6,Error,Antonio Winterstein,,,,Cowboys,76:14,Cowboys vs Eels,2016
7,Error,Peni Terepo,,,,Eels,76:04,Cowboys vs Eels,2016
8,Error,Matthew Scott,,,,Cowboys,75:35,Cowboys vs Eels,2016
9,Interchange - Sin Bin Return,Corey Norman,,,,Eels,75:11,Cowboys vs Eels,2016
10,Interchange,,                   Tepai Moeroa,                   Beau Scott,,Eels,75:05,Cowboys vs Eels,2016
11,Conversion-Made,Johnathan Thurston,,,28-16,Cowboys,75:04,Cowboys vs Eels,2016
12,Try,Michael Morgan,,,26-16,Cowboys,74:00,Cowboys vs Eels,2016
13,Linebreak,Michael Morgan,,,,Cowboys,73:57,Cowboys vs Eels,2016
14,Interchange,,                   Danny Wicks,                   Peni Terepo,,Eels,73:55,Cowboys vs Eels,2016
15,Error,Clinton Gutherson,,,,Eels,73:09,Cowboys vs Eels,2016
16,Conversion-Made,Johnathan Thurston,,,22-16,Cowboys,71:31,Cowboys vs Eels,2016
17,Interchange,,                   Rory Kostjasyn,                   Jake Granville,,Cowboys,71:02,Cowboys vs Eels,2016
18,Video Referee,Try,,,,Cowboys,70:28,Cowboys vs Eels,2016
19,Try,Antonio Winterstein,,,20-16,Cowboys,70:24,Cowboys vs Eels,2016
20,Linebreak,Antonio Winterstein,,,,Cowboys,70:24,Cowboys vs Eels,2016
21,Penalty - Marker Not Square,Manu Ma'u,,,,Eels,69:04,Cowboys vs Eels,2016
22,Penalty Shot-Made,Johnathan Thurston,,,16-16,Cowboys,65:56,Cowboys vs Eels,2016
23,Interchange,,,,,Eels,65:06,Cowboys vs Eels,2016
24,Interchange - HIA,,                   Ben Hannant,                   Jason Taumalolo,,Cowboys,65:06,Cowboys vs Eels,2016
25,Sin Bin,Corey Norman,,,,Eels,65:06,Cowboys vs Eels,2016
26,Penalty - Professional Foul,Corey Norman,,,,Eels,65:01,Cowboys vs Eels,2016
27,Error,Brad Takairangi,,,,Eels,64:07,Cowboys vs Eels,2016
28,Interchange,,                   Beau Scott,                   Tepai Moeroa,,Eels,64:02,Cowboys vs Eels,2016
29,Interchange,,                   Nathan Peats,                   Isaac De Gois,,Eels,63:51,Cowboys vs Eels,2016
30,Penalty - Dangerous Tackle,Nathan Peats,,,,Eels,62:10,Cowboys vs Eels,2016
31,Conversion-Made,Michael Gordon,,,14-16,Eels,60:32,Cowboys vs Eels,2016
32,Try,Michael Jennings,,,14-14,Eels,58:57,Cowboys vs Eels,2016
33,Error,Johnathan Thurston,,,,Cowboys,58:45,Cowboys vs Eels,2016
34,Error,Junior Paulo,,,,Eels,57:28,Cowboys vs Eels,2016
35,Interchange - Sin Bin Return,Junior Paulo,,,,Eels,57:27,Cowboys vs Eels,2016
36,Conversion-Missed,Michael Gordon,,,,Eels,56:33,Cowboys vs Eels,2016
37,Interchange,,                   Patrick Kaufusi,                   James Tamou,,Cowboys,55:09,Cowboys vs Eels,2016
38,Interchange,,                   Scott Bolton,                   Matthew Scott,,Cowboys,55:09,Cowboys vs Eels,2016
39,Video Referee,Try,,,,Eels,55:09,Cowboys vs Eels,2016
40,Try,Semi Radradra,,,14-10,Eels,55:04,Cowboys vs Eels,2016
41,Linebreak,Kieran Foran,,,,Eels,54:51,Cowboys vs Eels,2016
42,Interchange,,                   Peni Terepo,                   Junior Paulo,,Eels,54:11,Cowboys vs Eels,2016
43,Kick Bomb,Lachlan Coote,,,,Cowboys,53:53,Cowboys vs Eels,2016
44,Error,Manu Ma'u,,,,Eels,52:29,Cowboys vs Eels,2016
45,Interchange,,                   Jake Granville,                   Rory Kostjasyn,,Cowboys,52:19,Cowboys vs Eels,2016
46,Penalty - Verbal Dissent,Lachlan Coote,,,,Cowboys,51:55,Cowboys vs Eels,2016
47,Error,Lachlan Coote,,,,Cowboys,51:49,Cowboys vs Eels,2016
48,Interchange - Sin Bin Return,Lachlan Coote,,,,Cowboys,51:48,Cowboys vs Eels,2016
49,Kick Bomb,Corey Norman,,,,Eels,51:36,Cowboys vs Eels,2016
50,Error,Scott Bolton,,,,Cowboys,50:40,Cowboys vs Eels,2016
51,Interchange - Sin Bin Return,Scott Bolton,,,,Cowboys,50:39,Cowboys vs Eels,2016
52,Error,Peni Terepo,,,,Eels,49:17,Cowboys vs Eels,2016
