,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Roosters,2016
1,Interchange - Sin Bin Return,Jake Friend,,,,Roosters,80:00,Dragons vs Roosters,2016
2,Interchange - Sin Bin Return,Kalifa Faifai Loa,,,,Dragons,80:00,Dragons vs Roosters,2016
3,Penalty - Leg Pull,Siliva Havili,,,,Dragons,79:37,Dragons vs Roosters,2016
4,Error,Siliva Havili,,,,Dragons,79:20,Dragons vs Roosters,2016
5,Interchange - Free,,                   Taane Milne,                   Will Matthews,,Dragons,78:22,Dragons vs Roosters,2016
6,Interchange - HIA,,                   Boyd Cordner,                   Mitchell Frei,,Roosters,78:21,Dragons vs Roosters,2016
7,On Report,Dylan Napa,,,,Roosters,78:21,Dragons vs Roosters,2016
8,Penalty - Dangerous Tackle,Dylan Napa,,,,Roosters,78:04,Dragons vs Roosters,2016
9,Error,Boyd Cordner,,,,Roosters,75:59,Dragons vs Roosters,2016
10,Conversion-Made,Jackson Hastings,,,20-18,Roosters,74:36,Dragons vs Roosters,2016
11,Try,Ryan Matterson,,,20-16,Roosters,73:53,Dragons vs Roosters,2016
12,Linebreak,Ryan Matterson,,,,Roosters,73:52,Dragons vs Roosters,2016
13,Kick Bomb,Ryan Matterson,,,,Roosters,73:46,Dragons vs Roosters,2016
14,Interchange,,                   Kane Evans,                   Ryan Matterson,,Roosters,73:05,Dragons vs Roosters,2016
15,Linebreak,Jason Nightingale,,,,Dragons,67:57,Dragons vs Roosters,2016
16,Interchange,,                   Ryan Matterson,                   Jake Friend,,Roosters,67:25,Dragons vs Roosters,2016
17,Interchange - Sin Bin Return,Mike Cooper,,,,Dragons,66:45,Dragons vs Roosters,2016
18,Error,Mike Cooper,,,,Dragons,66:45,Dragons vs Roosters,2016
19,Linebreak,Joe Burgess,,,,Roosters,65:39,Dragons vs Roosters,2016
20,Interchange - HIA,,                   Eloni Vunakece,                   Dylan Napa,,Roosters,65:02,Dragons vs Roosters,2016
