,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Knights vs Sea Eagles,2016
1,Conversion-Made,Jamie Lyon,,,10-26,Sea Eagles,78:43,Knights vs Sea Eagles,2016
2,Try,Jake Trbojevic,,,10-24,Sea Eagles,77:15,Knights vs Sea Eagles,2016
3,Linebreak,Jake Trbojevic,,,,Sea Eagles,77:14,Knights vs Sea Eagles,2016
4,Interchange - Sin Bin Return,Tyler Randell,,,,Knights,76:15,Knights vs Sea Eagles,2016
5,Error,Tyler Randell,,,,Knights,76:15,Knights vs Sea Eagles,2016
6,Eagles Interchange,,                   Addin Fonua-Blake,                   Siosaia Vave,,Sea,75:10,Knights vs Sea Eagles,2016
7,Error,Jacob Saifiti,,,,Knights,74:37,Knights vs Sea Eagles,2016
8,Error,Addin Fonua-Blake,,,,Sea Eagles,73:38,Knights vs Sea Eagles,2016
9,Eagles Interchange - Sin Bin Return,Addin Fonua-Blake,,,,Sea,73:37,Knights vs Sea Eagles,2016
10,Interchange - Sin Bin Return,Josh King,,,,Knights,72:47,Knights vs Sea Eagles,2016
11,Error,Josh King,,,,Knights,72:47,Knights vs Sea Eagles,2016
12,Eagles Interchange - Sin Bin Return,Jamie Lyon,,,,Sea,72:07,Knights vs Sea Eagles,2016
13,Error,Jamie Lyon,,,,Sea Eagles,72:07,Knights vs Sea Eagles,2016
14,Interchange - Sin Bin Return,Sione Mata'utia,,,,Knights,70:23,Knights vs Sea Eagles,2016
15,Error,Sione Mata'utia,,,,Knights,70:23,Knights vs Sea Eagles,2016
16,Penalty - Dangerous Tackle,Lewis Brown,,,,Sea Eagles,69:30,Knights vs Sea Eagles,2016
17,Eagles Interchange - Sin Bin Return,Jamie Lyon,,,,Sea,68:24,Knights vs Sea Eagles,2016
18,Error,Jamie Lyon,,,,Sea Eagles,68:24,Knights vs Sea Eagles,2016
19,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,68:21,Knights vs Sea Eagles,2016
20,Eagles Interchange,,                   Tom Trbojevic,                   Jake Trbojevic,,Sea,67:46,Knights vs Sea Eagles,2016
21,Eagles Interchange,,,,,Sea,65:58,Knights vs Sea Eagles,2016
22,Interchange,,,,,Knights,65:58,Knights vs Sea Eagles,2016
23,Error,Sam Mataora,,,,Knights,65:52,Knights vs Sea Eagles,2016
24,Linebreak,Jarrod Mullen,,,,Knights,65:49,Knights vs Sea Eagles,2016
25,Interchange,,                   Jeremy Smith,                   David Bhana,,Knights,65:42,Knights vs Sea Eagles,2016
26,On Report,Sam Mataora,,,,Knights,64:02,Knights vs Sea Eagles,2016
27,Penalty - Dangerous Tackle,Sam Mataora,,,,Knights,63:55,Knights vs Sea Eagles,2016
28,Eagles Interchange,,                   Brenton Lawrence,                   Darcy Lussick,,Sea,63:34,Knights vs Sea Eagles,2016
29,Kick Bomb,Jarrod Mullen,,,,Knights,63:17,Knights vs Sea Eagles,2016
30,Conversion-Missed,Trent Hodkinson,,,,Knights,61:57,Knights vs Sea Eagles,2016
31,Video Referee,Try,,,,Knights,60:56,Knights vs Sea Eagles,2016
32,Try,Tyler Randell,,,10-20,Knights,60:44,Knights vs Sea Eagles,2016
33,Eagles Interchange - Sin Bin Return,Jamie Lyon,,,,Sea,60:40,Knights vs Sea Eagles,2016
34,Error,Jamie Lyon,,,,Sea Eagles,60:40,Knights vs Sea Eagles,2016
35,Conversion-Made,Jamie Lyon,,,6-20,Sea Eagles,60:10,Knights vs Sea Eagles,2016
36,Video Referee,Try,,,,Sea Eagles,59:04,Knights vs Sea Eagles,2016
37,Try,Tom Trbojevic,,,6-18,Sea Eagles,59:03,Knights vs Sea Eagles,2016
38,Linebreak,Tom Trbojevic,,,,Sea Eagles,59:02,Knights vs Sea Eagles,2016
39,Penalty - Flop,Josh King,,,,Knights,56:52,Knights vs Sea Eagles,2016
40,Penalty - Holding Down,Tom Symonds,,,,Sea Eagles,55:03,Knights vs Sea Eagles,2016
41,Error,Dylan Walker,,,,Sea Eagles,54:14,Knights vs Sea Eagles,2016
42,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,53:11,Knights vs Sea Eagles,2016
43,Interchange,,                   Daniel Saifiti,                   Sam Mataora,,Knights,53:10,Knights vs Sea Eagles,2016
44,Try,Brayden Wiliame,,,6-14,Sea Eagles,51:47,Knights vs Sea Eagles,2016
45,Linebreak,Brayden Wiliame,,,,Sea Eagles,51:47,Knights vs Sea Eagles,2016
46,Error,Tariq Sims,,,,Knights,51:17,Knights vs Sea Eagles,2016
47,Interchange,,                   Jacob Saifiti,                   Josh King,,Knights,51:15,Knights vs Sea Eagles,2016
48,Interchange - Sin Bin Return,Danny Levi,,,,Knights,49:47,Knights vs Sea Eagles,2016
49,Error,Danny Levi,,,,Knights,49:47,Knights vs Sea Eagles,2016
50,Line Dropout,Dylan Walker,,,,Sea Eagles,48:41,Knights vs Sea Eagles,2016
51,Eagles Interchange,,                   Siosaia Vave,                   Addin Fonua-Blake,,Sea,48:21,Knights vs Sea Eagles,2016
52,Penalty - Offside inside 10m,Steve Matai,,,,Sea Eagles,46:47,Knights vs Sea Eagles,2016
53,Eagles Interchange,,                   Brett Stewart,                   Lewis Brown,,Sea,44:01,Knights vs Sea Eagles,2016
54,Penalty - Holding Down,Tom Trbojevic,,,,Sea Eagles,41:53,Knights vs Sea Eagles,2016
55,Linebreak,Jarrod Mullen,,,,Knights,41:47,Knights vs Sea Eagles,2016
56,Penalty - Lying in the Ruck,Danny Levi,,,,Knights,40:30,Knights vs Sea Eagles,2016
57,Conversion-Made,Jamie Lyon,,,6-10,Sea Eagles,40:00,Knights vs Sea Eagles,2016
58,Video Referee,Try,,,,Sea Eagles,39:26,Knights vs Sea Eagles,2016
59,Try,Brenton Lawrence,,,6-8,Sea Eagles,39:19,Knights vs Sea Eagles,2016
60,Linebreak,Brenton Lawrence,,,,Sea Eagles,39:19,Knights vs Sea Eagles,2016
61,Penalty - Working on the Ground,Tariq Sims,,,,Knights,38:27,Knights vs Sea Eagles,2016
62,Error,Jacob Saifiti,,,,Knights,37:24,Knights vs Sea Eagles,2016
63,Penalty - Hand in the Ruck,Dylan Walker,,,,Sea Eagles,36:47,Knights vs Sea Eagles,2016
64,Eagles Interchange - Sin Bin Return,Brett Stewart,,,,Sea,36:23,Knights vs Sea Eagles,2016
65,Error,Brett Stewart,,,,Sea Eagles,36:23,Knights vs Sea Eagles,2016
66,Error,Trent Hodkinson,,,,Knights,35:05,Knights vs Sea Eagles,2016
67,Eagles Interchange - Sin Bin Return,Brenton Lawrence,,,,Sea,33:38,Knights vs Sea Eagles,2016
68,Eagles Interchange - Sin Bin Return,Brayden Wiliame,,,,Sea,32:31,Knights vs Sea Eagles,2016
69,Error,Brayden Wiliame,,,,Sea Eagles,32:31,Knights vs Sea Eagles,2016
70,Line Dropout,Jarrod Mullen,,,,Knights,31:45,Knights vs Sea Eagles,2016
71,Interchange - Sin Bin Return,Tariq Sims,,,,Knights,29:29,Knights vs Sea Eagles,2016
72,Error,Tariq Sims,,,,Knights,29:29,Knights vs Sea Eagles,2016
73,Penalty - Verbal Dissent,Steve Matai,,,,Sea Eagles,28:48,Knights vs Sea Eagles,2016
74,Penalty - Late Tackle,Steve Matai,,,,Sea Eagles,28:38,Knights vs Sea Eagles,2016
75,Conversion-Made,Trent Hodkinson,,,6-4,Knights,27:39,Knights vs Sea Eagles,2016
76,Video Referee,Try,,,,Knights,26:33,Knights vs Sea Eagles,2016
77,Try,Nathan Ross,,,4-4,Knights,26:29,Knights vs Sea Eagles,2016
78,Interchange,,                   Peter Mata'utia,                   Tyler Randell,,Knights,25:50,Knights vs Sea Eagles,2016
79,Interchange,,                   David Bhana,                   Tyler Randell,,Knights,25:49,Knights vs Sea Eagles,2016
80,Interchange,,                   David Bhana,                   Jacob Saifiti,,Knights,25:49,Knights vs Sea Eagles,2016
81,Eagles Interchange - Sin Bin Return,Steve Matai,,,,Sea,25:28,Knights vs Sea Eagles,2016
82,Eagles Interchange - Sin Bin Return,Tom Symonds,,,,Sea,25:20,Knights vs Sea Eagles,2016
83,Error,Tom Symonds,,,,Sea Eagles,25:20,Knights vs Sea Eagles,2016
84,Eagles Interchange,,                   Nate Myles,                   Siosaia Vave,,Sea,24:20,Knights vs Sea Eagles,2016
85,Penalty - Ball Strip,David Bhana,,,,Knights,24:08,Knights vs Sea Eagles,2016
86,Interchange,,                   Sam Mataora,                   Daniel Saifiti,,Knights,22:35,Knights vs Sea Eagles,2016
87,Penalty - Dangerous Tackle,Tom Symonds,,,,Sea Eagles,22:16,Knights vs Sea Eagles,2016
88,Penalty Shot-Made,Jamie Lyon,,,0-4,Sea Eagles,20:57,Knights vs Sea Eagles,2016
89,Penalty - Hand in the Ruck,David Bhana,,,,Knights,19:28,Knights vs Sea Eagles,2016
90,Error,Dane Gagai,,,,Knights,18:53,Knights vs Sea Eagles,2016
91,Eagles Interchange,,                   Darcy Lussick,                   Brenton Lawrence,,Sea,18:21,Knights vs Sea Eagles,2016
92,Error,Apisai Koroisau,,,,Sea Eagles,17:05,Knights vs Sea Eagles,2016
93,Error,Akuila Uate,,,,Knights,16:23,Knights vs Sea Eagles,2016
94,Eagles Interchange,,,,,Sea,15:28,Knights vs Sea Eagles,2016
95,Sin Bin,Steve Matai,,,,Sea Eagles,15:28,Knights vs Sea Eagles,2016
96,Penalty - Professional Foul,Steve Matai,,,,Sea Eagles,15:12,Knights vs Sea Eagles,2016
97,Linebreak,Korbin Sims,,,,Knights,15:02,Knights vs Sea Eagles,2016
98,Error,Tom Symonds,,,,Sea Eagles,14:30,Knights vs Sea Eagles,2016
99,Error,Nathan Ross,,,,Knights,13:34,Knights vs Sea Eagles,2016
100,Penalty - Flop,Daly Cherry-Evans,,,,Sea Eagles,12:05,Knights vs Sea Eagles,2016
101,Linebreak,Jake Trbojevic,,,,Sea Eagles,11:23,Knights vs Sea Eagles,2016
102,Error,Apisai Koroisau,,,,Sea Eagles,09:11,Knights vs Sea Eagles,2016
103,Kick Bomb,Jarrod Mullen,,,,Knights,06:44,Knights vs Sea Eagles,2016
104,Penalties - Other,Dane Gagai,,,,Knights,04:07,Knights vs Sea Eagles,2016
105,Penalty Shot-Made,Jamie Lyon,,,0-2,Sea Eagles,03:28,Knights vs Sea Eagles,2016
106,Penalty - Holding Down,Jarrod Mullen,,,,Knights,02:27,Knights vs Sea Eagles,2016
107,Error,Dane Gagai,,,,Knights,01:55,Knights vs Sea Eagles,2016
108,KICK OFF,,,,,,00:00,Knights vs Sea Eagles,2016
