,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Ben
                
                  Barba",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,32,,12,108,30,,26,1,-,-,-,4,-,5,4.45s,1,9,-,,3,1,13,24,1.08,,60%,3,2,-,-,2,,1,19,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
1,,"Sosaia
                
                  Feki",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,21,,16,164,83,,74,-,-,-,-,1,1,15,3.8s,-,-,-,,-,-,-,18,-,,66.7%,2,-,1,-,4,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
2,,"Jack
                
                  Bird",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,39,,9,63,-,,13,-,1,1,-,5,-,5,4.39s,-,-,-,,1,-,2,10,0.22,,78.3%,18,4,1,-,-,,1,22,-,-,-,-,1,-,,1,-,-,-,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
3,,"Ricky
                
                  Leutele",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,32,,12,115,-,,39,-,-,-,-,2,1,11,3.28s,-,-,-,,1,-,5,14,0.42,,86.4%,19,3,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
4,,"Valentine
                
                  Holmes",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,41,,11,177,-,,22,1,-,-,-,3,-,8,3.3s,2,20,-,,1,-,1,15,0.09,,100%,4,-,-,-,1,,1,13,-,-,-,-,-,1,,2,1,-,-,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
5,,"James
                
                  Maloney",6.0,Five-Eighth,,80:00,,12,1,2,3,2,80%,-,,43,,9,83,4,,19,-,-,-,-,1,-,6,3.8s,-,-,-,,-,-,28,44,3.11,,64%,16,5,4,-,2,,8,249,1,2,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
6,,"Chad
                
                  Townsend",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,53,,9,95,1,,25,1,-,1,-,3,-,5,3.49s,-,-,-,,-,3,17,26,1.89,,89.7%,26,1,2,-,1,,4,118,-,1,1,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
7,,"Andrew
                
                  Fifita",8.0,Prop,,56:00,,-,-,-,-,-,-,-,,68,,15,191,88,,68,-,-,-,-,4,10,10,3.62s,-,-,-,,3,-,1,15,0.07,,94.3%,33,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,27:56,27:34,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
8,,"Michael
                
                  Ennis",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,56,,8,54,-,,9,1,-,-,-,3,-,3,6.16s,7,54,-,,2,3,94,102,11.75,,74.4%,29,1,9,-,-,,1,21,-,-,1,-,-,1,,-,-,-,1,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
9,,"Matt
                
                  Prior",16.0,Prop,,48:00,,-,-,-,-,-,-,-,,36,,6,61,-,,23,-,-,-,-,1,5,4,3.66s,-,-,-,,1,-,1,6,0.17,,87.9%,29,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:07,23:02,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
10,,"Jayson
                
                  Bukuya",11.0,2nd Row,,25:00,,-,-,-,-,-,-,-,,23,,5,38,-,,15,-,-,-,-,2,5,3,4.29s,-,-,-,,1,-,1,6,0.2,,92.3%,12,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:07,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
11,,"Wade
                
                  Graham",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,43,,14,127,5,,45,-,1,-,-,1,12,8,4.38s,-,-,-,,1,1,7,19,0.5,,76.2%,32,4,6,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
12,,"Paul
                
                  Gallen",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,77,,24,245,21,,101,-,-,-,-,3,21,18,3.35s,-,-,-,,2,-,1,24,0.04,,89.6%,43,1,4,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
13,,"Sam
                
                  Tagataese",10.0,Interchange,,27:00,,-,-,-,-,-,-,-,,24,,7,48,-,,18,-,-,-,-,3,7,4,2.54s,-,-,-,,2,-,1,8,0.14,,100%,11,-,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,27:19,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
14,,"Gerard
                
                  Beale",14.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
15,,"Chris
                
                  Heighington",15.0,Interchange,,29:00,,-,-,-,-,-,-,-,,18,,8,58,-,,22,-,-,-,-,1,7,7,3.62s,-,-,-,,-,-,3,10,0.38,,82.4%,14,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:01,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
16,,"Luke
                
                  Lewis",17.0,Interchange,,55:00,,-,-,-,-,-,-,-,,37,,8,75,-,,28,-,-,-,-,3,6,6,3.31s,-,-,-,,-,-,3,9,0.38,,87.1%,27,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,54:53,-,Sharks,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
0,,"Matt
                
                  Moylan",1.0,Fullback,,80:00,,4,1,-,1,-,-,-,,28.0,,13,93,32,,14,-,1,1,-,1,-,6,4.42s,-,-,-,,1,-,28,41,2.15,,63.6%,7.0,4,-,-,2,,2,48,1,-,1,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
1,,"Josh
                
                  Mansour",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,30.0,,16,164,29,,63,-,-,-,-,5,-,14,3s,3,21,-,,1,1,1,16,0.06,,50%,2.0,2,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
2,,"Waqa
                
                  Blake",3.0,Centre,,08:00,,-,-,-,-,-,-,-,,-3.0,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,25%,1.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,07:45,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
3,,"Peta
                
                  Hiku",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,22.0,,12,97,-,,28,-,-,-,-,-,-,7,4.5s,2,16,-,,4,-,7,14,0.58,,73.3%,11.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
4,,"Dallin
                
                  Watene-Zelezniak",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,26.0,,10,77,24,,22,-,-,-,-,4,-,8,3.77s,1,11,-,,1,-,3,14,0.3,,100%,5.0,-,-,-,2,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
5,,"Te Maire
                
                  Martin",6.0,Five-Eighth,,35:00,,-,-,-,-,-,-,-,,10.0,,4,20,-,,3,-,-,-,-,-,-,3,3.67s,-,-,-,,-,-,7,11,1.75,,71.4%,10.0,1,3,-,-,,1,17,1,-,1,-,-,-,,-,-,-,-,-,-,-,,34:26,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
6,,"Jamie
                
                  Soward",7.0,Halfback,,80:00,,2,-,1,3,-,33.33%,-,,35.0,,4,38,-,,-,1,-,2,-,-,-,-,-,-,-,-,,-,4,28,42,7,,53.8%,7.0,4,2,-,-,,14,397,-,5,2,-,2,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
7,,"Leilani
                
                  Latu",8.0,Prop,,38:00,,-,-,-,-,-,-,-,,22.0,,11,75,-,,12,-,-,-,-,-,10,8,3.76s,-,-,-,,2,-,3,13,0.27,,62.5%,15.0,2,7,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:07,13:22,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
8,,"Peter
                
                  Wallace",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,38.0,,9,72,-,,13,-,1,1,-,-,4,5,4.95s,3,23,-,,-,1,112,119,12.44,,86.5%,32.0,3,2,-,-,,1,45,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
9,,"Reagan
                
                  Campbell-Gillard",10.0,Prop,,47:00,,-,-,-,-,-,-,-,,31.0,,12,100,44,,20,-,-,-,-,-,8,10,3.63s,-,-,-,,1,-,2,13,0.17,,89.3%,25.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,29:16,17:47,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
10,,"Bryce
                
                  Cartwright",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,46.0,,15,174,-,,71,1,-,-,-,2,10,5,4.03s,-,-,-,,4,2,15,27,1,,76.7%,23.0,3,4,-,-,,1,4,-,-,1,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
11,,"Isaah
                
                  Yeo",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,44.0,,13,136,-,,46,1,1,-,-,1,12,11,3.66s,-,-,-,,1,1,9,20,0.69,,88.2%,15.0,1,1,-,1,,1,3,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
12,,"Trent
                
                  Merrin",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,57.0,,26,209,-,,75,-,-,-,-,1,24,20,3.55s,-,-,-,,3,1,4,27,0.15,,83.3%,40.0,6,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
13,,"Tyrone
                
                  Peachey",14.0,Interchange,,72:00,,-,-,-,-,-,-,-,,52.0,,16,182,-,,60,-,-,-,-,5,16,15,3.67s,-,-,-,,1,-,2,18,0.12,,84%,21.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,72:14,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
14,,"Suaia
                
                  Matagi",16.0,Interchange,,31:00,,-,-,-,-,-,-,-,,31.0,,10,84,22,,26,-,1,-,-,1,7,6,3.77s,-,-,-,,2,-,1,10,0.1,,94.7%,18.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,26:55,04:09,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
15,,"James
                
                  Fisher-Harris",17.0,Interchange,,55:00,,8,2,-,-,-,-,-,,72.0,,15,145,-,,52,1,-,-,-,5,14,11,2.79s,1,4,-,,1,-,1,16,0.07,,86.2%,25.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,54:53,-,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
16,,"Jeremy
                
                  Latimore",21.0,Interchange,,33:00,,-,-,-,-,-,-,-,,35.0,,8,87,33,,31,-,-,-,-,2,6,8,3.4s,-,-,-,,-,-,-,8,-,,89.3%,25.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:38,10:26,Panthers,8,2016-04-24T06:00:00Z,Sharks vs Panthers,2016
