,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Greg
                
                  Inglis",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,67.0,,23.0,274.0,123,,121.0,-,1,1,-,6,-,17.0,3.4s,-,-,-,,4,3,18,41.0,0.78,,100%,5.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
1,,"Dane
                
                  Nielsen",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,34.0,,12.0,93.0,6,,24.0,1,-,-,-,1,-,9.0,3.45s,3,25,-,,2,-,10,24.0,0.83,,100%,4.0,-,-,-,4,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
2,,"Kirisome
                
                  Auva'a",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,42.0,,11.0,94.0,-,,35.0,-,-,-,-,5,-,9.0,4.21s,1,16,-,,-,1,8,19.0,0.73,,83.3%,15.0,2,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
3,,"Bryson
                
                  Goodwin",4.0,Centre,,80:00,,8,2,-,-,-,-,-,,47.0,,12.0,106.0,-,,36.0,-,-,-,-,4,-,10.0,3.23s,2,9,-,,1,2,9,22.0,0.75,,100%,10.0,-,-,-,-,,1,32,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
4,,"Aaron
                
                  Gray",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,28.0,,14.0,140.0,29,,46.0,-,-,-,-,3,-,12.0,3.32s,1,11,-,,1,-,1,15.0,0.07,,71.4%,5.0,2,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,37.0,,8.0,83.0,-,,30.0,-,-,-,-,2,1,7.0,3.02s,-,-,-,,-,2,37,48.0,4.62,,91.3%,21.0,1,1,-,-,,4,86,1,2,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
6,,"Adam
                
                  Reynolds",7.0,Halfback,,80:00,,6,-,3,4,-,75%,-,,55.0,,9.0,62.0,-,,15.0,-,-,1,-,1,-,6.0,4.59s,-,-,-,,1,10,24,48.0,2.67,,75%,21.0,6,1,-,1,,16,515,1,6,1,-,1,-,,1,-,-,-,-,-,-,,80:00,-,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
7,,"Thomas
                
                  Burgess",8.0,Prop,,46:00,,-,-,-,-,-,-,-,,39.0,,11.0,98.0,-,,34.0,-,-,-,-,1,11,9.0,3.16s,-,-,-,,2,-,1,12.0,0.09,,90.6%,29.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:36,23:16,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
8,,"Damien
                
                  Cook",9.0,Hooker,,72:00,,-,-,-,-,-,-,-,,62.0,,8.0,53.0,-,,2.0,-,1,-,-,2,2,2.0,4.2s,5,49,-,,2,3,90,97.0,11.25,,93.9%,46.0,2,1,-,-,,3,101,-,-,-,-,-,1,,1,1,-,-,-,-,-,,55:26,16:31,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
9,,"David
                
                  Tyrrell",10.0,Prop,,12:00,,-,-,-,-,-,-,-,,8.0,,2.0,16.0,-,,8.0,-,-,-,-,-,2,2.0,2.98s,-,-,-,,-,-,-,2.0,-,,90%,9.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,12:25,-,Rabbitohs,9,2016-04-28T09:50:00Z,Rabbitohs vs Wests Tigers,2016
