,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Ben
                
                  Barba",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,21.0,,11.0,80.0,18,,22.0,-,1,1,-,1,-,8.0,4.19s,-,-,-,,1,-,15,25.0,1.36,,40%,2,1,2,-,3,,1,4,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
1,,"Sosaia
                
                  Feki",2.0,Winger,,40:00,,8,2,-,-,-,-,-,,26.0,,6.0,82.0,27,,31.0,1,-,-,-,1,1,4.0,3.28s,-,-,-,,-,-,-,8.0,-,,-,-,-,-,-,1,,-,-,-,-,-,-,-,-,,2,-,-,1,-,-,-,,40:01,-,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
2,,"Jack
                
                  Bird",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,20.0,,12.0,100.0,-,,48.0,-,1,-,-,1,-,10.0,3.87s,2,20,-,,1,-,9,22.0,0.75,,75%,12,3,1,-,-,,1,23,1,-,1,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
3,,"Gerard
                
                  Beale",14.0,Centre,,80:00,,-,-,-,-,-,-,-,,25.0,,14.0,132.0,5,,46.0,-,-,1,-,-,-,13.0,2.95s,-,-,-,,2,-,6,21.0,0.43,,80%,4,1,-,-,1,,1,16,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
4,,"Valentine
                
                  Holmes",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,28.0,,9.0,118.0,33,,35.0,1,-,-,-,3,1,11.0,3.43s,1,8,-,,-,-,3,16.0,0.33,,85.7%,6,1,-,-,2,,1,10,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
5,,"James
                
                  Maloney",6.0,Five-Eighth,,80:00,,14,1,4,5,1,83.33%,-,,42.0,,8.0,68.0,-,,13.0,1,-,1,-,1,1,4.0,3.39s,-,-,-,,-,-,23,35.0,2.88,,76%,19,5,1,-,-,,7,71,1,3,3,-,1,-,,1,1,-,2,-,-,-,,80:00,-,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
6,,"Chad
                
                  Townsend",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,29.0,,6.0,42.0,-,,12.0,-,-,-,-,1,-,3.0,2.57s,-,-,-,,-,2,34,46.0,5.67,,85%,17,2,1,-,-,,6,109,-,3,1,-,1,-,,1,-,-,1,-,-,-,,80:00,-,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
7,,"Andrew
                
                  Fifita",8.0,Prop,,53:00,,-,-,-,-,-,-,-,,49.0,,15.0,122.0,10,,36.0,-,-,-,-,2,13,10.0,2.76s,-,-,-,,4,-,3,18.0,0.2,,91.2%,31,1,2,-,-,,1,-,-,-,1,-,-,-,,-,-,-,3,-,-,-,,26:39,25:59,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
8,,"Michael
                
                  Ennis",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,45.0,,5.0,26.0,-,,11.0,-,1,2,-,-,-,2.0,4.74s,5,26,-,,1,2,94,100.0,18.8,,88.6%,31,1,3,-,-,,1,11,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
9,,"Matt
                
                  Prior",16.0,Prop,,44:00,,-,-,-,-,-,-,-,,15.0,,5.0,37.0,12,,12.0,-,-,-,-,-,4,5.0,4.31s,-,-,-,,-,-,-,5.0,-,,83.3%,20,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:14,20:03,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
10,,"Jayson
                
                  Bukuya",11.0,2nd Row,,41:00,,-,-,-,-,-,-,-,,27.0,,10.0,84.0,11,,33.0,-,-,-,-,2,9,9.0,3.37s,-,-,-,,-,-,-,10.0,-,,89.5%,17,-,2,-,-,,-,-,-,-,-,-,-,-,,1,-,-,1,1,-,-,,34:12,07:14,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
11,,"Wade
                
                  Graham",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,44.0,,16.0,118.0,-,,46.0,-,-,-,-,4,15,13.0,3.55s,1,5,-,,2,1,7,22.0,0.44,,84.4%,27,3,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Sharks,9,2016-05-01T06:00:00Z,Sharks vs Broncos,2016
