,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,84:00,Cowboys vs Raiders,2017
1,Video Referee,Try,,,,Cowboys,84:00,Cowboys vs Raiders,2017
2,Try,Gavin Cooper,,,20-16,Cowboys,83:47,Cowboys vs Raiders,2017
3,Drop Goal-Missed,Johnathan Thurston,,,,Cowboys,83:42,Cowboys vs Raiders,2017
4,Linebreak,Jason Taumalolo,,,,Cowboys,83:16,Cowboys vs Raiders,2017
5,Error,Jordan Rapana,,,,Raiders,81:34,Cowboys vs Raiders,2017
6,Drop Goal-Missed,Michael Morgan,,,,Cowboys,80:50,Cowboys vs Raiders,2017
7,Interchange,,                   Luke Bateman,                   Clay Priest,,Raiders,80:01,Cowboys vs Raiders,2017
8,Drop Goal-Missed,Johnathan Thurston,,,,Cowboys,79:50,Cowboys vs Raiders,2017
9,Conversion-Made,Aidan Sezer,,,16-16,Raiders,78:00,Cowboys vs Raiders,2017
10,Try,Joseph Leilua,,,16-14,Raiders,76:34,Cowboys vs Raiders,2017
11,Error,Javid Bowen,,,,Cowboys,76:33,Cowboys vs Raiders,2017
12,Penalty - Early Tackle,Kyle Feldt,,,,Cowboys,75:12,Cowboys vs Raiders,2017
13,Interchange,,                   Joseph Tapine,                   Shannon Boyd,,Raiders,74:47,Cowboys vs Raiders,2017
14,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,72:10,Cowboys vs Raiders,2017
15,Error,Jordan Rapana,,,,Raiders,72:10,Cowboys vs Raiders,2017
16,Interchange,,                   Ben Hampton,                   Jake Granville,,Cowboys,71:58,Cowboys vs Raiders,2017
17,Conversion-Missed,Johnathan Thurston,,,,Cowboys,71:41,Cowboys vs Raiders,2017
18,Try,Javid Bowen,,,16-10,Cowboys,70:06,Cowboys vs Raiders,2017
19,Error,Joseph Leilua,,,,Raiders,69:57,Cowboys vs Raiders,2017
20,Interchange,,                   Clay Priest,                   Adam Clydsdale,,Raiders,69:31,Cowboys vs Raiders,2017
21,Error,Johnathan Thurston,,,,Cowboys,69:21,Cowboys vs Raiders,2017
22,Penalty - 2nd Effort,Blake Austin,,,,Raiders,67:50,Cowboys vs Raiders,2017
23,Conversion-Made,Johnathan Thurston,,,12-10,Cowboys,66:36,Cowboys vs Raiders,2017
24,Try,Coen Hess,,,10-10,Cowboys,65:05,Cowboys vs Raiders,2017
25,Linebreak,Coen Hess,,,,Cowboys,65:05,Cowboys vs Raiders,2017
26,Line Dropout,Blake Austin,,,,Raiders,64:11,Cowboys vs Raiders,2017
27,Interchange,,                   Jeff Lima,                   Joseph Tapine,,Raiders,64:07,Cowboys vs Raiders,2017
28,Interchange,,                   Patrick Kaufusi,                   Jason Taumalolo,,Cowboys,63:53,Cowboys vs Raiders,2017
29,Error,Jeff Lima,,,,Raiders,62:50,Cowboys vs Raiders,2017
30,Error,Gavin Cooper,,,,Cowboys,61:52,Cowboys vs Raiders,2017
31,Interchange - Sin Bin Return,Clay Priest,,,,Raiders,60:38,Cowboys vs Raiders,2017
32,Interchange,,                   John Asiata,                   Scott Bolton,,Cowboys,59:31,Cowboys vs Raiders,2017
33,Conversion-Missed,Aidan Sezer,,,,Raiders,58:48,Cowboys vs Raiders,2017
34,Video Referee,Try,,,,Raiders,57:49,Cowboys vs Raiders,2017
35,Try,Joseph Leilua,,,6-10,Raiders,57:47,Cowboys vs Raiders,2017
36,Linebreak,Joseph Leilua,,,,Raiders,57:46,Cowboys vs Raiders,2017
37,Line Dropout,Kyle Feldt,,,,Cowboys,57:00,Cowboys vs Raiders,2017
38,Interchange,,                   Ethan Lowe,                   Matthew Scott,,Cowboys,56:58,Cowboys vs Raiders,2017
39,Error,Coen Hess,,,,Cowboys,56:32,Cowboys vs Raiders,2017
40,Error,John Asiata,,,,Cowboys,55:03,Cowboys vs Raiders,2017
41,Penalty - Dangerous Tackle,Joseph Leilua,,,,Raiders,54:11,Cowboys vs Raiders,2017
42,Interchange,,                   Shannon Boyd,                   Jeff Lima,,Raiders,53:15,Cowboys vs Raiders,2017
43,Interchange,,                   Joseph Tapine,                   Luke Bateman,,Raiders,52:34,Cowboys vs Raiders,2017
44,Interchange,,,,,Raiders,50:27,Cowboys vs Raiders,2017
45,Sin Bin,Clay Priest,,,,Raiders,50:27,Cowboys vs Raiders,2017
46,Penalty - Crowding,Clay Priest,,,,Raiders,50:19,Cowboys vs Raiders,2017
47,Interchange,,                   Jason Taumalolo,                   Coen Hess,,Cowboys,49:31,Cowboys vs Raiders,2017
48,Penalty - Dangerous Tackle,Clay Priest,,,,Raiders,49:28,Cowboys vs Raiders,2017
49,Error,Josh Hodgson,,,,Raiders,48:34,Cowboys vs Raiders,2017
50,Interchange,,                   Dunamis Lui,                   Clay Priest,,Raiders,47:47,Cowboys vs Raiders,2017
51,Error,Kyle Feldt,,,,Cowboys,47:31,Cowboys vs Raiders,2017
52,Error,Michael Morgan,,,,Cowboys,47:06,Cowboys vs Raiders,2017
53,Penalty - Holding Down,Iosia Soliola,,,,Raiders,45:54,Cowboys vs Raiders,2017
54,Interchange - HIA,,                   Jake Granville,                   Ben Hampton,,Cowboys,45:30,Cowboys vs Raiders,2017
55,Error,Iosia Soliola,,,,Raiders,45:01,Cowboys vs Raiders,2017
56,Kick Bomb,Blake Austin,,,,Raiders,40:52,Cowboys vs Raiders,2017
57,Penalty - Offside inside 10m,John Asiata,,,,Cowboys,35:55,Cowboys vs Raiders,2017
58,Error,Jake Granville,,,,Cowboys,35:05,Cowboys vs Raiders,2017
59,Error,Joseph Leilua,,,,Raiders,33:54,Cowboys vs Raiders,2017
60,Interchange,,                   Matthew Scott,                   John Asiata,,Cowboys,33:23,Cowboys vs Raiders,2017
61,Interchange - Sin Bin Return,Aidan Sezer,,,,Raiders,32:18,Cowboys vs Raiders,2017
62,Error,Aidan Sezer,,,,Raiders,32:18,Cowboys vs Raiders,2017
63,Penalty - Offside Downtown,Gavin Cooper,,,,Cowboys,31:15,Cowboys vs Raiders,2017
64,Kick Bomb,Johnathan Thurston,,,,Cowboys,31:14,Cowboys vs Raiders,2017
65,Interchange - HIA Cleared,,                   Luke Bateman,                   Shannon Boyd,,Raiders,30:04,Cowboys vs Raiders,2017
66,Conversion-Made,Johnathan Thurston,,,6-6,Cowboys,29:39,Cowboys vs Raiders,2017
67,Try,Lachlan Coote,,,4-6,Cowboys,28:06,Cowboys vs Raiders,2017
68,Linebreak,Lachlan Coote,,,,Cowboys,28:06,Cowboys vs Raiders,2017
69,Penalty - Slow Peel,Dunamis Lui,,,,Raiders,27:24,Cowboys vs Raiders,2017
70,Interchange,,                   Scott Bolton,                   Patrick Kaufusi,,Cowboys,27:15,Cowboys vs Raiders,2017
71,Error,Elliott Whitehead,,,,Raiders,26:18,Cowboys vs Raiders,2017
72,Line Dropout,Blake Austin,,,,Raiders,25:05,Cowboys vs Raiders,2017
73,Line Dropout,Blake Austin,,,,Raiders,23:25,Cowboys vs Raiders,2017
74,Interchange,,                   Clay Priest,                   Dunamis Lui,,Raiders,23:17,Cowboys vs Raiders,2017
75,Penalty - Hand in the Ruck,Joseph Leilua,,,,Raiders,21:16,Cowboys vs Raiders,2017
76,Error,Iosia Soliola,,,,Raiders,21:10,Cowboys vs Raiders,2017
77,Interchange - Sin Bin Return,Iosia Soliola,,,,Raiders,21:09,Cowboys vs Raiders,2017
78,Kick Bomb,Blake Austin,,,,Raiders,21:05,Cowboys vs Raiders,2017
79,Error,Kyle Feldt,,,,Cowboys,19:19,Cowboys vs Raiders,2017
80,Penalty - Slow Peel,Luke Bateman,,,,Raiders,18:13,Cowboys vs Raiders,2017
81,Penalty - Dangerous Tackle,Josh Papalii,,,,Raiders,17:05,Cowboys vs Raiders,2017
82,Interchange - Sin Bin Return,Iosia Soliola,,,,Raiders,16:47,Cowboys vs Raiders,2017
83,Error,Iosia Soliola,,,,Raiders,16:47,Cowboys vs Raiders,2017
84,Penalty - Slow Peel,Kane Linnett,,,,Cowboys,15:55,Cowboys vs Raiders,2017
85,Interchange - HIA,,                   Shannon Boyd,                   Joseph Tapine,,Raiders,15:24,Cowboys vs Raiders,2017
86,Interchange - Sin Bin Return,Kyle Feldt,,,,Cowboys,14:53,Cowboys vs Raiders,2017
87,Error,Kyle Feldt,,,,Cowboys,14:53,Cowboys vs Raiders,2017
88,Conversion-Made,Aidan Sezer,,,0-6,Raiders,13:15,Cowboys vs Raiders,2017
89,Try,Zac Santo,,,0-4,Raiders,11:41,Cowboys vs Raiders,2017
90,Linebreak,Josh Papalii,,,,Raiders,11:33,Cowboys vs Raiders,2017
91,Penalty - Offside inside 10m,Josh Hodgson,,,,Raiders,09:13,Cowboys vs Raiders,2017
92,Error,Blake Austin,,,,Raiders,08:59,Cowboys vs Raiders,2017
93,Error,Gavin Cooper,,,,Cowboys,07:23,Cowboys vs Raiders,2017
94,Error,Blake Austin,,,,Raiders,06:39,Cowboys vs Raiders,2017
95,Interchange - Sin Bin Return,Kyle Feldt,,,,Cowboys,04:06,Cowboys vs Raiders,2017
96,Error,Kyle Feldt,,,,Cowboys,04:06,Cowboys vs Raiders,2017
97,Error,Johnathan Thurston,,,,Cowboys,00:40,Cowboys vs Raiders,2017
98,Penalty - Slow Peel,Luke Bateman,,,,Raiders,00:11,Cowboys vs Raiders,2017
99,KICK OFF,,,,,,00:00,Cowboys vs Raiders,2017
