,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Knights vs Raiders,2017
1,Conversion-Made,Brock Lamb,,,34-20,Knights,79:18,Knights vs Raiders,2017
2,Try,Brock Lamb,,,32-20,Knights,77:42,Knights vs Raiders,2017
3,Error,Elliott Whitehead,,,,Raiders,75:54,Knights vs Raiders,2017
4,Interchange,,                   Josh Starling,                   Daniel Saifiti,,Knights,75:09,Knights vs Raiders,2017
5,Conversion-Made,Aidan Sezer,,,28-20,Raiders,75:01,Knights vs Raiders,2017
6,Try,Nick Cotric,,,28-18,Raiders,74:07,Knights vs Raiders,2017
7,Linebreak,Nick Cotric,,,,Raiders,74:07,Knights vs Raiders,2017
8,Error,Junior Paulo,,,,Raiders,72:03,Knights vs Raiders,2017
9,Linebreak,Jarrod Croker,,,,Raiders,71:51,Knights vs Raiders,2017
10,Penalty Shot-Missed,Brock Lamb,,,,Knights,69:59,Knights vs Raiders,2017
11,Interchange,,                   Tyler Randell,                   Danny Levi,,Knights,69:19,Knights vs Raiders,2017
12,Penalty - Verbal Dissent,Shannon Boyd,,,,Raiders,68:47,Knights vs Raiders,2017
13,Penalty - Ball Strip,Shannon Boyd,,,,Raiders,68:42,Knights vs Raiders,2017
14,Interchange,,                   Clay Priest,                   Adam Clydsdale,,Raiders,67:25,Knights vs Raiders,2017
15,Conversion-Made,Brock Lamb,,,28-14,Knights,67:23,Knights vs Raiders,2017
16,Try,Peter Mata'utia,,,26-14,Knights,65:50,Knights vs Raiders,2017
17,Linebreak,Peter Mata'utia,,,,Knights,65:49,Knights vs Raiders,2017
18,Penalty - Holding Down,Josh Hodgson,,,,Raiders,64:23,Knights vs Raiders,2017
19,Error,Jordan Rapana,,,,Raiders,63:58,Knights vs Raiders,2017
20,Interchange,,                   Anthony Tupou,                   Josh King,,Knights,63:10,Knights vs Raiders,2017
21,Error,Elliott Whitehead,,,,Raiders,62:57,Knights vs Raiders,2017
22,Linebreak,Elliott Whitehead,,,,Raiders,62:56,Knights vs Raiders,2017
23,Conversion-Made,Brock Lamb,,,22-14,Knights,60:55,Knights vs Raiders,2017
24,Try,Sione Mata'utia,,,20-14,Knights,59:39,Knights vs Raiders,2017
25,Interchange - Sin Bin Return,Joseph Leilua,,,,Raiders,59:37,Knights vs Raiders,2017
26,Error,Joseph Leilua,,,,Raiders,59:37,Knights vs Raiders,2017
27,Conversion-Made,Brock Lamb,,,16-14,Knights,56:53,Knights vs Raiders,2017
28,Interchange,,                   Iosia Soliola,                   Junior Paulo,,Raiders,56:52,Knights vs Raiders,2017
29,Try,Joe Wardle,,,14-14,Knights,55:24,Knights vs Raiders,2017
30,Linebreak,Joe Wardle,,,,Knights,55:23,Knights vs Raiders,2017
31,Interchange,,                   Daniel Saifiti,                   Josh Starling,,Knights,54:46,Knights vs Raiders,2017
32,Penalty - Slow Peel,Shannon Boyd,,,,Raiders,54:21,Knights vs Raiders,2017
33,Error,Elliott Whitehead,,,,Raiders,53:51,Knights vs Raiders,2017
