,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Matt
                
                  Moylan",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,62.0,,22.0,209.0,78,,47.0,1,2,-,-,5,-,16.0,3.51s,-,-,-,,2,12,29,53.0,1.32,,80%,8.0,1,1,-,2,,4,77,-,1,2,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
1,,"Peta
                
                  Hiku",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,26.0,,20.0,191.0,48,,74.0,-,-,-,-,1,1,15.0,3.71s,-,-,-,,3,-,2,22.0,0.1,,80%,4.0,1,-,-,-,,1,13,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
2,,"Dean
                
                  Whare",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,9.0,91.0,-,,37.0,-,-,-,-,2,-,8.0,3.16s,2,10,-,,1,2,7,14.0,0.78,,80%,4.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
3,,"Waqa
                
                  Blake",4.0,Centre,,71:00,,4,1,-,-,-,-,-,,50.0,,8.0,159.0,-,,35.0,2,-,-,-,4,-,6.0,3.16s,-,-,-,,1,1,1,9.0,0.12,,81.8%,9.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,1,-,,71:00,-,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
4,,"Dallin
                
                  Watene-Zelezniak",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,58.0,,19.0,176.0,53,,44.0,2,-,-,-,6,1,12.0,2.62s,1,10,-,,3,3,6,24.0,0.32,,75%,3.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
5,,"Bryce
                
                  Cartwright",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,20.0,,6.0,47.0,-,,17.0,-,1,2,-,-,-,4.0,5.06s,-,-,-,,-,5,15,21.0,2.5,,80%,12.0,3,-,-,-,,2,14,-,-,-,-,2,-,,1,1,-,-,-,-,-,,80:00,-,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
6,,"Nathan
                
                  Cleary",7.0,Halfback,,80:00,,12,-,6,6,-,100%,-,,45.0,,7.0,57.0,-,,27.0,-,-,-,-,1,-,6.0,2.58s,-,-,-,,1,6,27,51.0,3.86,,93.8%,15.0,1,-,-,-,,15,295,1,7,3,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
7,,"James
                
                  Tamou",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,45.0,,9.0,93.0,-,,37.0,-,-,-,-,3,9,7.0,2.75s,-,-,-,,1,-,-,9.0,-,,93.1%,27.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:05,17:25,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
8,,"Peter
                
                  Wallace",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,32.0,,3.0,31.0,-,,7.0,-,-,-,-,-,-,3.0,4.09s,3,31,-,,-,3,120,124.0,40,,91.2%,31.0,2,1,-,-,,1,52,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
9,,"Reagan
                
                  Campbell-Gillard",10.0,Prop,,46:00,,-,-,-,-,-,-,-,,30.0,,11.0,142.0,91,,45.0,-,-,-,-,-,6,11.0,3.72s,-,-,-,,-,-,-,11.0,-,,87%,20.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:50,20:57,Panthers,10,2017-05-13T05:00:00Z,Panthers vs Warriors,2017
