,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Eels,2017
1,Interchange - Sin Bin Return,Blake Ferguson,,,,Roosters,79:00,Roosters vs Eels,2017
2,Error,Blake Ferguson,,,,Roosters,79:00,Roosters vs Eels,2017
3,Error,Nathan Brown,,,,Eels,77:59,Roosters vs Eels,2017
4,Kick Bomb,Mitchell Pearce,,,,Roosters,77:54,Roosters vs Eels,2017
5,Conversion-Missed,Michael Gordon,,,,Roosters,76:53,Roosters vs Eels,2017
6,Interchange,,                   Dylan Napa,                   Jared Waerea-Hargreaves,,Roosters,75:35,Roosters vs Eels,2017
7,Try,Blake Ferguson,,,48-10,Roosters,75:31,Roosters vs Eels,2017
8,Linebreak,Blake Ferguson,,,,Roosters,75:31,Roosters vs Eels,2017
9,Interchange - Sin Bin Return,Semi Radradra,,,,Eels,74:38,Roosters vs Eels,2017
10,Error,Semi Radradra,,,,Eels,74:38,Roosters vs Eels,2017
11,Conversion-Missed,Michael Gordon,,,,Roosters,73:21,Roosters vs Eels,2017
12,Try,Joseph Manu,,,44-10,Roosters,71:13,Roosters vs Eels,2017
13,Interchange,,                   Suaia Matagi,                   Siosaia Vave,,Eels,69:40,Roosters vs Eels,2017
14,Kick Bomb,Luke Keary,,,,Roosters,69:09,Roosters vs Eels,2017
15,Interchange,,                   Tim Mannah,                   Daniel Alvaro,,Eels,68:16,Roosters vs Eels,2017
16,Conversion-Made,Michael Gordon,,,40-10,Roosters,67:52,Roosters vs Eels,2017
17,Video Referee,Try,,,,Roosters,66:14,Roosters vs Eels,2017
18,Interchange,,                   Jake Friend,                   Connor Watson,,Roosters,66:12,Roosters vs Eels,2017
19,Try,Blake Ferguson,,,38-10,Roosters,66:09,Roosters vs Eels,2017
20,Linebreak,Blake Ferguson,,,,Roosters,66:09,Roosters vs Eels,2017
21,Conversion-Made,Clinton Gutherson,,,34-10,Eels,61:43,Roosters vs Eels,2017
22,Try,Michael Jennings,,,34-8,Eels,61:07,Roosters vs Eels,2017
23,Linebreak,Michael Jennings,,,,Eels,61:06,Roosters vs Eels,2017
24,Error,Joseph Manu,,,,Roosters,60:02,Roosters vs Eels,2017
25,Interchange - Sin Bin Return,Latrell Mitchell,,,,Roosters,58:54,Roosters vs Eels,2017
26,Kick Bomb,Mitchell Pearce,,,,Roosters,58:51,Roosters vs Eels,2017
27,Kick Bomb,Mitchell Pearce,,,,Roosters,57:09,Roosters vs Eels,2017
28,Interchange,,                   Aidan Guerra,                   Siosiua Taukeiaho,,Roosters,56:45,Roosters vs Eels,2017
29,Interchange,,                   Zane Tetevano,                   Dylan Napa,,Roosters,56:34,Roosters vs Eels,2017
30,Interchange - Sin Bin Return,Tepai Moeroa,,,,Eels,55:41,Roosters vs Eels,2017
31,Error,Tepai Moeroa,,,,Eels,55:41,Roosters vs Eels,2017
32,Penalty - Dangerous Tackle,Kane Evans,,,,Roosters,54:38,Roosters vs Eels,2017
33,Interchange,,                   Siosaia Vave,                   David Gower,,Eels,53:53,Roosters vs Eels,2017
34,Error,Boyd Cordner,,,,Roosters,53:35,Roosters vs Eels,2017
35,Interchange,,                   Jared Waerea-Hargreaves,                   Kane Evans,,Roosters,53:24,Roosters vs Eels,2017
36,Error,Clinton Gutherson,,,,Eels,53:11,Roosters vs Eels,2017
37,Interchange - Sin Bin Return,Michael Gordon,,,,Roosters,51:46,Roosters vs Eels,2017
38,Error,Michael Gordon,,,,Roosters,51:46,Roosters vs Eels,2017
39,Penalty - Dangerous Tackle,Nathan Brown,,,,Eels,50:48,Roosters vs Eels,2017
40,Error,Siosaia Vave,,,,Eels,50:45,Roosters vs Eels,2017
41,Interchange,,                   Corey Norman,                   Tepai Moeroa,,Eels,50:38,Roosters vs Eels,2017
42,Kick Bomb,Will Smith,,,,Eels,49:22,Roosters vs Eels,2017
43,Interchange,,                   Daniel Alvaro,                   Suaia Matagi,,Eels,48:39,Roosters vs Eels,2017
44,Kick Bomb,Mitchell Pearce,,,,Roosters,48:26,Roosters vs Eels,2017
45,Error,Semi Radradra,,,,Eels,46:44,Roosters vs Eels,2017
46,Error,Jake Friend,,,,Roosters,46:12,Roosters vs Eels,2017
47,Conversion-Made,Michael Gordon,,,34-4,Roosters,45:20,Roosters vs Eels,2017
48,Try,Daniel Tupou,,,32-4,Roosters,43:37,Roosters vs Eels,2017
49,Linebreak,Luke Keary,,,,Roosters,43:29,Roosters vs Eels,2017
50,Kick Bomb,Corey Norman,,,,Eels,40:49,Roosters vs Eels,2017
51,Interchange - HIA Cleared,,                   Tepai Moeroa,                   Manu Ma'u,,Eels,40:01,Roosters vs Eels,2017
52,Conversion-Made,Michael Gordon,,,28-4,Roosters,37:56,Roosters vs Eels,2017
53,Try,Blake Ferguson,,,26-4,Roosters,36:12,Roosters vs Eels,2017
54,Linebreak,Blake Ferguson,,,,Roosters,36:11,Roosters vs Eels,2017
55,Line Dropout,Corey Norman,,,,Eels,35:37,Roosters vs Eels,2017
56,Error,Tepai Moeroa,,,,Eels,33:29,Roosters vs Eels,2017
57,Kick Bomb,Mitchell Pearce,,,,Roosters,33:06,Roosters vs Eels,2017
58,Conversion-Made,Michael Gordon,,,22-4,Roosters,31:46,Roosters vs Eels,2017
59,Interchange,,                   Dylan Napa,                   Aidan Guerra,,Roosters,30:28,Roosters vs Eels,2017
60,Interchange,,                   Siosiua Taukeiaho,                   Aidan Guerra,,Roosters,30:27,Roosters vs Eels,2017
61,Interchange,,                   Siosiua Taukeiaho,                   Zane Tetevano,,Roosters,30:27,Roosters vs Eels,2017
62,Video Referee,Try,,,,Roosters,30:17,Roosters vs Eels,2017
63,Try,Daniel Tupou,,,20-4,Roosters,30:13,Roosters vs Eels,2017
64,Error,Kenny Edwards,,,,Eels,30:05,Roosters vs Eels,2017
65,Penalty Shot-Made,Michael Gordon,,,16-4,Roosters,28:11,Roosters vs Eels,2017
66,Penalty - Hand in the Ruck,Siosaia Vave,,,,Eels,26:44,Roosters vs Eels,2017
67,Interchange - HIA,,                   Manu Ma'u,                   Siosaia Vave,,Eels,26:19,Roosters vs Eels,2017
