,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Will
                
                  Hopoate",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,23.0,,16.0,117.0,20,,56,-,-,-,-,3,-,14,3.14s,7,64,-,,-,2,20,36.0,1.25,,50%,3.0,2,1,-,4,,1,11,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
1,,"Marcelo
                
                  Montoya",20.0,Winger,,80:00,,-,-,-,-,-,-,-,,14.0,,12.0,89.0,24,,32,-,-,-,-,1,-,11,3.53s,1,7,-,,-,-,-,12.0,-,,100%,5.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
2,,"Josh
                
                  Morris",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,20.0,,9.0,86.0,-,,44,-,-,-,-,4,-,5,3.14s,-,-,-,,2,-,3,13.0,0.33,,72.7%,8.0,2,1,-,-,,-,-,-,-,-,-,-,-,,4,1,-,-,-,-,-,,80:00,-,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
3,,"Brenko
                
                  Lee",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,25.0,,9.0,87.0,-,,20,1,-,-,-,7,-,5,4.33s,-,-,-,,-,1,6,10.0,0.67,,58.8%,10.0,6,1,-,-,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,80:00,-,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
4,,"Kerrod
                
                  Holland",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,3.0,,4.0,16.0,-,,6,-,-,-,-,-,-,4,3.59s,1,2,-,,-,-,6,11.0,1.5,,60%,6.0,2,2,-,2,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
5,,"Matt
                
                  Frawley",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,27.0,,8.0,25.0,-,,-,-,-,-,-,-,-,1,3.56s,-,-,-,,-,6,24,28.0,3,,83.3%,30.0,2,4,-,-,,3,78,-,1,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
6,,"Moses
                
                  Mbye",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,32.0,,8.0,31.0,-,,6,-,-,-,-,1,-,3,4.35s,-,-,-,,-,4,27,36.0,3.38,,80.8%,21.0,4,1,-,1,,6,251,-,-,-,-,1,1,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
7,,"Aiden
                
                  Tolman",8.0,Prop,,53:00,,-,-,-,-,-,-,-,,33.0,,8.0,63.0,-,,29,-,-,-,-,-,8,7,3.97s,-,-,-,,1,3,6,14.0,0.75,,89.2%,33.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,47:18,05:23,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
8,,"Michael
                
                  Lichaa",9.0,Hooker,,62:00,,-,-,-,-,-,-,-,,29.0,,1.0,14.0,-,,2,-,-,-,-,-,-,1,3.56s,1,14,-,,-,-,60,60.0,60,,91.4%,32.0,3,-,-,-,,1,39,-,-,-,-,-,-,,-,-,-,-,-,-,-,,61:31,-,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
9,,"Sam
                
                  Kasiano",14.0,Prop,,48:00,,-,-,-,-,-,-,-,,19.0,,6.0,38.0,-,,20,-,-,-,-,1,4,4,3s,-,-,-,,-,-,3,9.0,0.5,,87.5%,21.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,18:30,29:31,Bulldogs,13,2017-06-04T06:00:00Z,Bulldogs vs Panthers,2017
