,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Will
                
                  Hopoate",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,51,,19,140,21,,33,1,-,1,-,5,-,15,4.61s,4,33,-,,2,1,25,42,1.32,,100%,7,-,-,-,4,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
1,,"Brett
                
                  Morris",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,18,,11,78,-,,29,-,-,-,-,3,-,11,3.11s,4,35,-,,1,-,4,18,0.36,,66.7%,4,1,1,-,-,,1,16,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
2,,"Josh
                
                  Morris",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,45,,17,155,-,,52,-,-,-,-,4,-,13,3.47s,1,8,-,,2,-,5,20,0.29,,85.7%,12,1,1,-,-,,1,8,-,-,1,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
3,,"Chase
                
                  Stanley",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,25,,10,81,-,,33,-,-,-,-,1,-,10,3.53s,2,19,-,,1,-,7,19,0.7,,87.5%,14,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
4,,"Marcelo
                
                  Montoya",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,42,,16,160,25,,46,-,-,-,-,4,-,13,3.8s,3,30,-,,1,-,1,17,0.06,,100%,6,-,-,-,2,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
5,,"Matt
                
                  Frawley",17.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,30,,8,53,-,,5,-,-,-,-,-,-,1,3.96s,-,-,-,,1,5,39,57,4.88,,73.3%,22,5,3,-,-,,12,304,3,3,2,-,1,-,,1,1,-,1,-,-,-,,80:00,-,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
6,,"Moses
                
                  Mbye",7.0,Halfback,,80:00,,4,-,2,3,-,66.67%,-,,60,,12,86,17,,19,-,-,-,-,4,-,9,3.82s,-,-,-,,1,7,27,42,2.25,,96.7%,29,1,-,-,2,,5,157,-,3,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
7,,"Aiden
                
                  Tolman",8.0,Prop,,62:00,,-,-,-,-,-,-,-,,34,,18,151,11,,65,-,-,-,-,-,16,18,3.96s,1,7,-,,-,1,10,30,0.56,,90%,27,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,48:16,13:48,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
8,,"Michael
                
                  Lichaa",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,46,,6,64,-,,24,1,-,-,-,-,-,3,6.17s,6,64,-,,-,14,107,111,17.83,,82.1%,32,2,5,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
9,,"James
                
                  Graham",10.0,Prop,,57:00,,-,-,-,-,-,-,-,,40,,18,152,32,,49,-,-,-,-,-,13,16,3.96s,-,-,-,,-,1,12,28,0.67,,100%,25,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:39,33:38,Bulldogs,14,2017-06-12T06:00:00Z,Bulldogs vs Dragons,2017
