,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Josh
                
                  Dugan",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,79.0,,17,254,64,,74,1,1,-,-,14,-,12,3.94s,1,6,-,,1,1,4,20,0.24,,20%,1,3,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
1,,"Nene
                
                  Macdonald",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,27.0,,14,141,39,,50,-,-,-,-,3,-,10,3.49s,3,22,-,,1,-,4,18,0.29,,100%,3,-,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
2,,"Kurt
                
                  Mann",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,41.0,,8,94,-,,28,1,-,-,-,6,-,7,2.99s,2,16,-,,-,-,3,11,0.38,,75%,9,3,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
3,,"Timoteo
                
                  Lafai",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,38.0,,12,113,9,,34,-,2,1,-,5,1,8,3.54s,-,-,-,,2,-,10,17,0.83,,77.8%,7,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
4,,"Jason
                
                  Nightingale",5.0,Winger,,80:00,,12,3,-,-,-,-,-,,64.0,,15,138,26,,21,2,-,-,-,3,-,9,3.73s,3,8,-,,2,-,7,22,0.47,,100%,6,-,-,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
5,,"Gareth
                
                  Widdop",6.0,Five-Eighth,,80:00,,8,-,4,6,-,66.67%,-,,52.0,,9,81,6,,12,3,2,4,-,-,-,3,4.09s,-,-,-,,1,5,25,37,2.78,,50%,6,5,1,-,-,,7,129,-,1,4,-,-,2,,2,1,-,-,-,-,-,,80:00,-,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
6,,"Josh
                
                  McCrone",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,20.0,,6,45,-,,14,-,1,-,-,1,-,-,-,-,-,-,,1,6,23,33,3.83,,62.5%,10,3,3,-,-,,6,197,-,-,1,-,-,1,,1,-,-,1,-,-,-,,80:00,-,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
7,,"Russell
                
                  Packer",8.0,Prop,,56:00,,-,-,-,-,-,-,-,,59.0,,13,134,55,,44,-,-,-,-,5,9,10,2.94s,-,-,-,,2,-,5,17,0.38,,93.5%,29,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,32:26,24:04,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
8,,"Cameron
                
                  McInnes",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,39.0,,2,11,-,,-,-,-,-,-,1,-,2,5.28s,2,11,-,,-,3,102,103,51,,95.3%,41,1,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
9,,"Paul
                
                  Vaughan",10.0,Prop,,02:00,,-,-,-,-,-,-,-,,2.0,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,100%,2,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,02:01,-,Dragons,16,2017-06-25T04:00:00Z,Dragons vs Knights,2017
