,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Valentine
                
                  Holmes",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,23.0,,16.0,129.0,49,,46.0,1,-,-,-,2,1,12.0,3.41s,-,-,-,,1,1,7,24.0,0.44,,60%,6.0,4,-,-,3,,1,5,-,-,1,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
1,,"Sosaia
                
                  Feki",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,26.0,,8.0,75.0,11,,26.0,1,-,-,-,2,-,6.0,3.59s,-,-,-,,-,-,3,12.0,0.38,,100%,4.0,-,-,-,1,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
2,,"Jack
                
                  Bird",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,40.0,,18.0,117.0,16,,40.0,-,-,-,-,6,-,11.0,4.24s,1,7,-,,-,-,9,22.0,0.5,,88.9%,16.0,1,1,-,1,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
3,,"Ricky
                
                  Leutele",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,27.0,,9.0,111.0,-,,48.0,-,-,-,-,3,1,8.0,2.78s,-,-,-,,-,-,5,13.0,0.56,,83.3%,15.0,2,1,-,-,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
4,,"Gerard
                
                  Beale",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,20.0,,8.0,64.0,-,,19.0,-,-,-,-,-,-,9.0,2.99s,-,-,-,,-,-,4,14.0,0.5,,100%,10.0,-,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
5,,"James
                
                  Maloney",6.0,Five-Eighth,,80:00,,6,-,3,3,-,100%,-,,24.0,,8.0,49.0,-,,6.0,-,2,2,-,1,-,2.0,3.36s,-,-,-,,-,1,34,41.0,4.25,,72%,18.0,7,-,-,-,,3,23,-,-,3,-,-,1,,3,1,-,1,-,-,-,,80:00,-,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
6,,"Chad
                
                  Townsend",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,30.0,,3.0,23.0,-,,4.0,-,-,-,-,1,-,2.0,4.22s,-,-,-,,-,3,29,35.0,9.67,,90.5%,19.0,1,1,-,-,,6,161,-,4,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
7,,"Andrew
                
                  Fifita",8.0,Prop,,55:00,,-,-,-,-,-,-,-,,42.0,,11.0,79.0,11,,18.0,-,-,-,-,2,8,7.0,3.25s,-,-,-,,2,-,3,13.0,0.27,,81.6%,40.0,6,3,-,1,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,29:38,25:11,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
8,,"Jayden
                
                  Brailey",9.0,Hooker,,48:00,,-,-,-,-,-,-,-,,23.0,,1.0,13.0,-,,4.0,-,-,-,-,-,-,1.0,3.2s,1,13,-,,-,-,53,54.0,53,,82.8%,24.0,1,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:55,-,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
9,,"Jayson
                
                  Bukuya",14.0,Prop,,40:00,,-,-,-,-,-,-,-,,14.0,,7.0,51.0,-,,18.0,-,-,-,-,1,7,7.0,3.28s,-,-,-,,-,-,-,7.0,-,,72.7%,16.0,5,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:51,15:31,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
10,,"Luke
                
                  Lewis",11.0,2nd Row,,68:00,,4,1,-,-,-,-,-,,42.0,,9.0,138.0,6,,13.0,-,-,-,-,1,6,4.0,4.64s,1,6,-,,1,-,2,12.0,0.22,,82.6%,19.0,1,3,1,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,67:50,-,Sharks,16,2017-06-25T06:00:00Z,Sharks vs Sea Eagles,2017
