,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Jack
                
                  Wighton",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,17.0,,15.0,133.0,77,,38.0,-,-,-,-,-,-,13.0,3.49s,1,7,-,,-,3,12,30.0,0.8,,83.3%,10.0,1,1,-,2,,1,12,-,-,1,-,-,-,,3,1,-,-,-,-,-,,80:00,-,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
1,,"Nick
                
                  Cotric",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,55.0,,12.0,147.0,1,,34.0,1,1,-,-,7,-,11.0,2.91s,2,20,-,,1,-,-,14.0,-,,66.7%,4.0,1,1,-,2,,1,4,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
2,,"Jarrod
                
                  Croker",3.0,Centre,,24:00,,2,-,1,1,-,100%,-,,18.0,,3.0,23.0,-,,6.0,1,-,-,-,2,1,3.0,5s,-,-,-,,-,-,1,3.0,0.33,,75%,6.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:31,-,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
3,,"Joseph
                
                  Leilua",4.0,Centre,,78:00,,-,-,-,-,-,-,-,,49.0,,14.0,114.0,-,,52.0,-,-,-,-,11,1,7.0,2.72s,3,29,-,,3,1,5,18.0,0.36,,93.3%,14.0,1,-,-,-,,1,-,-,-,1,-,-,-,,4,1,-,-,-,1,-,,78:00,-,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
4,,"Jordan
                
                  Rapana",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,20.0,,15.0,93.0,-,,31.0,1,-,-,-,2,1,7.0,3.42s,7,47,-,,2,2,11,26.0,0.73,,83.3%,5.0,1,-,-,-,,-,-,-,-,-,-,-,-,,2,-,-,1,-,-,-,,80:00,-,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
5,,"Blake
                
                  Austin",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,33.0,,8.0,64.0,-,,23.0,-,-,-,-,2,-,5.0,3.06s,-,-,-,,1,2,8,20.0,1,,81.2%,13.0,2,1,-,1,,6,193,-,1,-,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
6,,"Aidan
                
                  Sezer",7.0,Halfback,,80:00,,4,-,2,2,-,100%,-,,28.0,,8.0,62.0,3,,15.0,-,1,-,-,2,-,4.0,4.17s,-,-,-,,1,6,36,47.0,4.5,,81.8%,18.0,4,-,-,1,,4,66,-,1,1,-,-,-,,3,2,-,-,-,-,-,,80:00,-,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
7,,"Junior
                
                  Paulo",8.0,Prop,,50:00,,-,-,-,-,-,-,-,,45.0,,10.0,113.0,31,,60.0,-,-,-,-,2,7,8.0,3.23s,-,-,-,,1,-,1,12.0,0.1,,91.2%,31.0,3,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,33:23,17:21,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
8,,"Kurt
                
                  Baptiste",14.0,Hooker,,70:00,,-,-,-,-,-,-,-,,33.0,,2.0,14.0,-,,2.0,-,-,-,-,-,-,1.0,2.72s,2,14,-,,-,1,56,56.0,28,,90.5%,38.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,62:45,07:31,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
9,,"Shannon
                
                  Boyd",10.0,Prop,,31:00,,-,-,-,-,-,-,-,,28.0,,5.0,54.0,-,,28.0,-,-,-,-,-,5,5.0,2.72s,-,-,-,,-,-,-,5.0,-,,96.2%,25.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,20:44,09:43,Raiders,17,2017-07-01T09:30:00Z,Raiders vs Cowboys,2017
