,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Michael
                
                  Gordon",1.0,Fullback,,80:00,,4,-,2,2,-,100%,-,,33.0,,13.0,120.0,81,,21,-,-,-,-,2,-,8,2.94s,-,-,-,,1,-,11,23.0,0.85,,81.8%,9.0,2,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
1,,"Daniel
                
                  Tupou",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,32.0,,11.0,123.0,15,,41,1,-,-,-,2,-,12,2.19s,-,-,-,,-,-,1,14.0,0.09,,66.7%,2.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
2,,"Latrell
                
                  Mitchell",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,27.0,,8.0,75.0,-,,18,-,2,-,-,4,1,4,4.32s,-,-,-,,2,-,6,15.0,0.75,,77.8%,7.0,1,1,-,1,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,80:00,-,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
3,,"Joseph
                
                  Manu",4.0,Centre,,70:00,,-,-,-,-,-,-,-,,33.0,,6.0,79.0,5,,19,1,-,-,-,2,-,5,3.55s,-,-,-,,-,1,2,10.0,0.33,,87.5%,21.0,3,-,-,2,,1,32,-,-,-,-,-,-,,1,-,-,-,-,-,-,,69:45,-,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
4,,"Blake
                
                  Ferguson",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,26.0,,16.0,154.0,-,,65,-,-,-,-,4,-,12,2.78s,-,-,-,,1,-,-,17.0,-,,83.3%,5.0,1,-,-,-,,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,,80:00,-,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,46.0,,4.0,53.0,-,,2,1,1,2,-,2,-,1,4.32s,-,-,-,,1,1,20,26.0,5,,94.7%,18.0,1,-,-,-,,3,69,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
6,,"Mitchell
                
                  Pearce",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,40.0,,8.0,48.0,4,,13,-,-,-,-,2,-,3,3.95s,-,-,-,,-,1,27,42.0,3.38,,88.9%,24.0,3,-,-,-,,10,283,1,1,2,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
7,,"Jared
                
                  Waerea-Hargreaves",8.0,Prop,,54:00,,-,-,-,-,-,-,-,,19.0,,11.0,109.0,17,,41,-,-,-,-,-,10,11,3.37s,-,-,-,,-,-,-,11.0,-,,75%,21.0,4,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,27:55,25:51,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
8,,"Jake
                
                  Friend",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,56.0,,2.0,9.0,-,,-,-,-,-,-,-,-,-,-,2,9,-,,-,1,91,89.0,45.5,,87.8%,65.0,4,5,-,-,,2,60,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
9,,"Dylan
                
                  Napa",10.0,Prop,,54:00,,-,-,-,-,-,-,-,,37.0,,7.0,62.0,23,,19,-,-,-,-,-,5,6,3.04s,-,-,-,,1,-,1,8.0,0.14,,85.4%,35.0,2,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,27:52,25:57,Roosters,17,2017-07-01T05:00:00Z,Roosters vs Sharks,2017
