,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Titans vs Dragons,2017
1,Interchange - Sin Bin Return,Anthony Don,,,,Titans,78:26,Titans vs Dragons,2017
2,Error,Anthony Don,,,,Titans,78:26,Titans vs Dragons,2017
3,Penalty Shot-Made,Ashley Taylor,,,20-10,Titans,78:19,Titans vs Dragons,2017
4,Penalties - Other,Gareth Widdop,,,,Dragons,76:35,Titans vs Dragons,2017
5,Line Dropout,Gareth Widdop,,,,Dragons,76:34,Titans vs Dragons,2017
6,Error,Jason Nightingale,,,,Dragons,76:23,Titans vs Dragons,2017
7,Interchange - Sin Bin Return,Jason Nightingale,,,,Dragons,76:22,Titans vs Dragons,2017
8,Penalty - Scrum Infringement,Timoteo Lafai,,,,Dragons,74:59,Titans vs Dragons,2017
9,Interchange,,                   Tyrone Roberts,                   Pat Politoni,,Titans,74:26,Titans vs Dragons,2017
10,Interchange,,                   Russell Packer,                   Hame Sele,,Dragons,73:50,Titans vs Dragons,2017
11,Linebreak,Jarryd Hayne,,,,Titans,73:05,Titans vs Dragons,2017
12,Line Dropout,Gareth Widdop,,,,Dragons,72:49,Titans vs Dragons,2017
13,Penalty - Dangerous Tackle,Russell Packer,,,,Dragons,70:53,Titans vs Dragons,2017
14,Penalty Shot-Made,Tyrone Roberts,,,18-10,Titans,69:47,Titans vs Dragons,2017
15,Penalty - Offside inside 10m,Leeson Ah Mau,,,,Dragons,68:16,Titans vs Dragons,2017
16,Error,Timoteo Lafai,,,,Dragons,67:21,Titans vs Dragons,2017
17,Interchange - Sin Bin Return,Anthony Don,,,,Titans,66:59,Titans vs Dragons,2017
18,Kick Bomb,Tyrone Roberts,,,,Titans,66:56,Titans vs Dragons,2017
19,Kick Bomb,Gareth Widdop,,,,Dragons,66:09,Titans vs Dragons,2017
20,Error,Jason Nightingale,,,,Dragons,62:53,Titans vs Dragons,2017
21,Interchange,,                   Agnatius Paasi,                   Nathaniel Peteru,,Titans,61:54,Titans vs Dragons,2017
