,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Jahrome
                
                  Hughes",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,44.0,,18.0,193.0,134,,38.0,1,-,-,-,4,2,11,3.45s,1,8,-,,2,3,24,41.0,1.33,,40%,2.0,3,-,-,5,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
1,,"Suliasi
                
                  Vunivalu",2.0,Winger,,71:00,,-,-,-,-,-,-,-,,24.0,,14.0,122.0,19,,23.0,1,-,1,-,3,2,9,3.25s,-,-,-,,2,-,2,17.0,0.14,,50%,3.0,3,-,-,2,,1,16,-,-,1,-,-,-,,1,-,-,1,-,1,-,,71:00,-,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
2,,"Young
                
                  Tonumaipea",19.0,Centre,,80:00,,-,-,-,-,-,-,-,,27.0,,14.0,105.0,10,,26.0,-,-,-,-,2,1,10,4.2s,2,20,-,,2,-,4,17.0,0.29,,73.7%,14.0,4,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
3,,"Cheyse
                
                  Blair",4.0,Centre,,25:00,,-,-,-,-,-,-,-,,7.0,,2.0,21.0,-,,7.0,-,-,-,-,-,-,2,2.46s,-,-,-,,-,-,2,4.0,1,,100%,5.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:06,-,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
4,,"Josh
                
                  Addo-Carr",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,13.0,,10.0,59.0,-,,10.0,1,-,-,-,2,-,7,3.59s,2,12,-,,-,-,6,20.0,0.6,,60%,6.0,3,1,-,1,,2,30,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
5,,"Ryley
                
                  Jacks",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,22.0,,5.0,27.0,-,,4.0,-,-,-,-,-,-,3,3.45s,-,-,-,,-,-,14,25.0,2.8,,86.2%,25.0,3,1,-,-,,5,75,-,3,-,-,1,-,,1,1,-,-,-,-,-,,80:00,-,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
6,,"Brodie
                
                  Croft",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,41.0,,6.0,46.0,1,,6.0,-,1,-,-,3,-,-,-,-,-,-,,1,5,20,35.0,3.33,,85%,17.0,3,-,-,1,,11,292,2,4,2,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
7,,"Jesse
                
                  Bromwich",8.0,Prop,,67:00,,-,-,-,-,-,-,-,,47.0,,15.0,179.0,23,,44.0,1,-,-,-,4,12,12,3.3s,-,-,-,,1,-,7,20.0,0.47,,77.8%,28.0,7,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,28:28,31:10,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
8,,"Slade
                
                  Griffin",9.0,Hooker,,66:00,,-,-,-,-,-,-,-,,51.0,,8.0,63.0,-,,18.0,-,-,-,-,-,1,6,3.05s,7,56,-,,-,2,66,68.0,8.25,,97.9%,47.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:20,25:24,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
9,,"Nate
                
                  Myles",15.0,Prop,,53:00,,-,-,-,-,-,-,-,,29.0,,7.0,67.0,17,,16.0,-,-,-,-,-,5,4,3.37s,-,-,-,,1,-,3,9.0,0.43,,86.8%,33.0,5,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,19:56,27:06,Storm,18,2017-07-08T09:30:00Z,Storm vs Eels,2017
