,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Cody
                
                  Walker",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,42.0,,15.0,74.0,22,,35.0,1,-,-,-,3,-,15.0,3.77s,1,6,-,,-,-,19,40.0,1.27,,92.9%,13,1,-,-,5,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
1,,"Alex
                
                  Johnston",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,5.0,,6.0,41.0,9,,16.0,-,-,-,-,2,1,3.0,3.57s,1,16,-,,-,-,1,7.0,0.17,,-,-,2,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
2,,"Bryson
                
                  Goodwin",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,24.0,,8.0,74.0,-,,33.0,-,-,-,-,2,1,6.0,3.42s,-,-,-,,1,1,2,9.0,0.25,,100%,11,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
3,,"Robert
                
                  Jennings",4.0,Centre,,70:00,,-,-,-,-,-,-,-,,37.0,,12.0,108.0,-,,49.0,-,1,1,-,1,-,11.0,3.27s,-,-,-,,-,1,5,13.0,0.42,,100%,21,-,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,70:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
4,,"Braidon
                
                  Burns",23.0,Winger,,80:00,,4,1,-,-,-,-,-,,24.0,,10.0,66.0,10,,24.0,1,-,-,-,2,-,9.0,3.08s,2,20,-,,-,-,1,14.0,0.1,,100%,5,-,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,2,-,-,-,,80:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
5,,"John
                
                  Sutton",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,25.0,,10.0,49.0,-,,15.0,-,-,-,-,1,-,2.0,3.92s,-,-,-,,2,4,25,32.0,2.5,,90%,18,1,1,-,-,,1,9,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
6,,"Adam
                
                  Reynolds",7.0,Halfback,,80:00,,2,-,1,2,-,50%,-,,40.0,,4.0,45.0,-,,24.0,-,1,1,-,1,-,3.0,3.6s,1,8,-,,-,2,32,47.0,8,,84%,21,4,-,-,-,,11,309,1,2,3,-,1,1,,2,1,-,-,-,-,-,,80:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
7,,"Thomas
                
                  Burgess",8.0,Prop,,40:00,,-,-,-,-,-,-,-,,36.0,,13.0,134.0,26,,63.0,-,-,-,-,2,10,13.0,2.93s,-,-,-,,-,-,-,15.0,-,,93.1%,27,2,-,-,-,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,21:08,19:19,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
8,,"Robbie
                
                  Farah",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,46.0,,5.0,59.0,-,,24.0,-,-,-,-,1,-,2.0,2.94s,5,59,-,,1,5,87,95.0,17.4,,89.4%,42,4,1,-,-,,3,97,-,-,1,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
9,,"David
                
                  Tyrrell",10.0,Prop,,40:00,,-,-,-,-,-,-,-,,18.0,,4.0,30.0,-,,11.0,-,-,-,-,-,3,3.0,2.69s,-,-,-,,-,-,1,4.0,0.25,,86.2%,25,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,23:52,15:54,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
10,,"Tyrell
                
                  Fuimaono",11.0,2nd Row,,39:00,,-,-,-,-,-,-,-,,19.0,,6.0,50.0,-,,24.0,-,-,-,-,2,6,6.0,2.42s,-,-,-,,-,-,-,6.0,-,,83.3%,10,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:46,09:43,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
11,,"Angus
                
                  Crichton",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,67.0,,18.0,145.0,-,,51.0,1,-,-,-,8,15,10.0,2.69s,1,6,-,,4,-,6,22.0,0.33,,82.5%,33,6,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
12,,"Sam
                
                  Burgess",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,41.0,,22.0,152.0,-,,63.0,-,-,-,-,2,17,12.0,2.98s,1,8,-,,3,-,4,22.0,0.18,,81.1%,30,6,1,-,-,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
13,,"Jason
                
                  Clark",15.0,Interchange,,43:00,,-,-,-,-,-,-,-,,24.0,,5.0,30.0,-,,11.0,-,-,-,-,-,5,3.0,3.12s,-,-,-,,2,-,2,8.0,0.4,,87.1%,27,4,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,42:58,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
14,,"Zane
                
                  Musgrove",16.0,Interchange,,31:00,,-,-,-,-,-,-,-,,29.0,,6.0,68.0,22,,27.0,-,-,-,-,-,5,5.0,3.46s,-,-,-,,1,-,-,6.0,-,,95.8%,23,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:54,-,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
15,,"George
                
                  Burgess",17.0,Interchange,,32:00,,-,-,-,-,-,-,-,,29.0,,8.0,100.0,17,,38.0,1,-,-,-,1,7,6.0,3.91s,-,-,-,,-,-,1,10.0,0.12,,87%,20,3,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,23:29,08:25,Rabbitohs,19,2017-07-16T06:00:00Z,Rabbitohs vs Cowboys,2017
