,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,87:00,Broncos vs Cowboys,2017
1,Drop Goal-Made,Johnathan Thurston,,,20-21,Cowboys,86:57,Broncos vs Cowboys,2017
2,Interchange,,                   Herman Ese'ese,                   Alex Glenn,,Broncos,85:01,Broncos vs Cowboys,2017
3,Error,Tautau Moga,,,,Broncos,84:02,Broncos vs Cowboys,2017
4,Drop Goal-Missed,Anthony Milford,,,,Broncos,83:52,Broncos vs Cowboys,2017
5,Interchange,,                   Jai Arrow,                   Adam Blair,,Broncos,83:26,Broncos vs Cowboys,2017
6,Line Dropout,Kyle Feldt,,,,Cowboys,83:19,Broncos vs Cowboys,2017
7,Drop Goal-Missed,Anthony Milford,,,,Broncos,82:33,Broncos vs Cowboys,2017
8,Error,Michael Morgan,,,,Cowboys,82:00,Broncos vs Cowboys,2017
9,Kick Bomb,Johnathan Thurston,,,,Cowboys,80:50,Broncos vs Cowboys,2017
10,Interchange,,                   Lachlan Coote,                   John Asiata,,Cowboys,80:01,Broncos vs Cowboys,2017
11,Interchange,,                   Patrick Kaufusi,                   John Asiata,,Cowboys,79:57,Broncos vs Cowboys,2017
12,Interchange - HIA Cleared,,                   Patrick Kaufusi,                   Scott Bolton,,Cowboys,79:57,Broncos vs Cowboys,2017
13,Error,Herman Ese'ese,,,,Broncos,79:33,Broncos vs Cowboys,2017
14,Line Dropout,Kyle Feldt,,,,Cowboys,79:20,Broncos vs Cowboys,2017
15,Drop Goal-Missed,Johnathan Thurston,,,,Cowboys,77:38,Broncos vs Cowboys,2017
16,Error,Tautau Moga,,,,Broncos,75:58,Broncos vs Cowboys,2017
17,Kick Bomb,Ben Hunt,,,,Broncos,74:35,Broncos vs Cowboys,2017
18,Penalty Shot-Made,Anthony Milford,,,20-20,Broncos,73:14,Broncos vs Cowboys,2017
19,Penalty - Ball Strip,Coen Hess,,,,Cowboys,72:26,Broncos vs Cowboys,2017
20,Interchange,,                   Adam Blair,                   Herman Ese'ese,,Broncos,72:14,Broncos vs Cowboys,2017
21,Penalty - Holding Down,Jake Granville,,,,Cowboys,71:45,Broncos vs Cowboys,2017
22,Interchange,,                   Matthew Scott,                   Patrick Kaufusi,,Cowboys,68:14,Broncos vs Cowboys,2017
23,Penalty - Slow Peel,Darius Boyd,,,,Broncos,67:58,Broncos vs Cowboys,2017
24,Error,Corey Oates,,,,Broncos,67:44,Broncos vs Cowboys,2017
25,Linebreak,Corey Oates,,,,Broncos,67:36,Broncos vs Cowboys,2017
26,Interchange - HIA,,                   Scott Bolton,                   Jason Taumalolo,,Cowboys,66:42,Broncos vs Cowboys,2017
27,Error,Kyle Feldt,,,,Cowboys,66:11,Broncos vs Cowboys,2017
28,Error,Sam Thaiday,,,,Broncos,66:04,Broncos vs Cowboys,2017
29,Error,Adam Blair,,,,Broncos,65:20,Broncos vs Cowboys,2017
