,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Warriors vs Storm,2017
1,Interchange - Sin Bin Return,Josh Addo-Carr,,,,Storm,79:01,Warriors vs Storm,2017
2,Error,Josh Addo-Carr,,,,Storm,79:01,Warriors vs Storm,2017
3,Linebreak,Suliasi Vunivalu,,,,Storm,78:58,Warriors vs Storm,2017
4,Kick Bomb,Shaun Johnson,,,,Warriors,78:24,Warriors vs Storm,2017
5,Conversion-Made,Cameron Smith,,,10-26,Storm,76:32,Warriors vs Storm,2017
6,Try,Cooper Cronk,,,10-24,Storm,75:05,Warriors vs Storm,2017
7,Linebreak,Cameron Munster,,,,Storm,75:03,Warriors vs Storm,2017
8,Interchange - Sin Bin Return,Ata Hingano,,,,Warriors,74:32,Warriors vs Storm,2017
9,Error,Ata Hingano,,,,Warriors,74:32,Warriors vs Storm,2017
10,Interchange,,                   Simon Mannering,                   Erin Clark,,Warriors,73:59,Warriors vs Storm,2017
11,Line Dropout,Cameron Smith,,,,Storm,71:53,Warriors vs Storm,2017
12,Interchange,,                   Vincent Leuluai,                   Dale Finucane,,Storm,71:15,Warriors vs Storm,2017
13,Penalty - Lying in the Ruck,Vincent Leuluai,,,,Storm,69:57,Warriors vs Storm,2017
14,Interchange,,                   Jordan McLean,                   Tim Glasby,,Storm,69:21,Warriors vs Storm,2017
15,Interchange,,                   Albert Vete,                   Jacob Lillyman,,Warriors,67:40,Warriors vs Storm,2017
16,Kick Bomb,Cooper Cronk,,,,Storm,66:51,Warriors vs Storm,2017
17,Kick Bomb,Shaun Johnson,,,,Warriors,65:46,Warriors vs Storm,2017
18,Interchange,,                   Charlie Gubb,                   Sam Lisone,,Warriors,64:59,Warriors vs Storm,2017
19,Penalty - Dangerous Tackle,Cameron Munster,,,,Storm,64:28,Warriors vs Storm,2017
20,Kick Bomb,Cooper Cronk,,,,Storm,64:24,Warriors vs Storm,2017
21,Penalty Shot-Made,Cameron Smith,,,10-20,Storm,63:16,Warriors vs Storm,2017
22,Penalty - Hand in the Ruck,Ryan Hoffman,,,,Warriors,62:02,Warriors vs Storm,2017
23,Kick Bomb,Shaun Johnson,,,,Warriors,61:19,Warriors vs Storm,2017
24,Penalty - Obstruction,Cooper Cronk,,,,Storm,58:25,Warriors vs Storm,2017
25,Interchange,,                   Dale Finucane,                   Vincent Leuluai,,Storm,57:31,Warriors vs Storm,2017
26,Penalty - Hand in the Ruck,Bunty Afoa,,,,Warriors,57:27,Warriors vs Storm,2017
27,Kick Bomb,Shaun Johnson,,,,Warriors,57:06,Warriors vs Storm,2017
28,Interchange,,                   Jacob Lillyman,                   Charlie Gubb,,Warriors,56:52,Warriors vs Storm,2017
29,Interchange,,                   Sam Lisone,                   Albert Vete,,Warriors,56:13,Warriors vs Storm,2017
30,Interchange - Sin Bin Return,Will Chambers,,,,Storm,55:59,Warriors vs Storm,2017
31,Error,Will Chambers,,,,Storm,55:59,Warriors vs Storm,2017
32,Interchange,,                   Kenneath Bromwich,                   Joe Stimson,,Storm,54:53,Warriors vs Storm,2017
33,Error,Solomone Kata,,,,Warriors,54:49,Warriors vs Storm,2017
34,Interchange - Sin Bin Return,Solomone Kata,,,,Warriors,54:48,Warriors vs Storm,2017
35,Penalty - Offside inside 10m,Cameron Smith,,,,Storm,53:28,Warriors vs Storm,2017
36,Penalty - Dangerous Tackle,Cameron Smith,,,,Storm,52:37,Warriors vs Storm,2017
37,Interchange,,                   Tim Glasby,                   Christian Welch,,Storm,51:57,Warriors vs Storm,2017
38,Penalty - Slow Peel,Tim Glasby,,,,Storm,51:24,Warriors vs Storm,2017
39,Kick Bomb,Cooper Cronk,,,,Storm,51:01,Warriors vs Storm,2017
40,Kick Bomb,Shaun Johnson,,,,Warriors,50:07,Warriors vs Storm,2017
41,Interchange,,                   Nelson Asofa-Solomona,                   Jordan McLean,,Storm,48:51,Warriors vs Storm,2017
42,Kick Bomb,Ata Hingano,,,,Warriors,48:37,Warriors vs Storm,2017
43,Penalty - Escorts,Will Chambers,,,,Storm,47:09,Warriors vs Storm,2017
44,Kick Bomb,Cooper Cronk,,,,Storm,47:06,Warriors vs Storm,2017
45,Conversion-Made,Cameron Smith,,,10-18,Storm,44:10,Warriors vs Storm,2017
46,Try,Suliasi Vunivalu,,,10-16,Storm,42:34,Warriors vs Storm,2017
47,Linebreak,Cameron Munster,,,,Storm,42:30,Warriors vs Storm,2017
48,Penalty - Lying in the Ruck,Ata Hingano,,,,Warriors,41:36,Warriors vs Storm,2017
49,Error,Suliasi Vunivalu,,,,Storm,38:22,Warriors vs Storm,2017
50,Error,Shaun Johnson,,,,Warriors,37:38,Warriors vs Storm,2017
51,Error,Felise Kaufusi,,,,Storm,36:13,Warriors vs Storm,2017
52,Interchange - Sin Bin Return,Felise Kaufusi,,,,Storm,36:12,Warriors vs Storm,2017
53,Penalty - Hand in the Ruck,Simon Mannering,,,,Warriors,35:42,Warriors vs Storm,2017
54,Penalty - Dangerous Tackle,Jacob Lillyman,,,,Warriors,35:15,Warriors vs Storm,2017
55,Penalty - Flop,Jacob Lillyman,,,,Warriors,34:16,Warriors vs Storm,2017
56,40/20 Kick,Cameron Smith,,,,Storm,32:58,Warriors vs Storm,2017
57,Error,Issac Luke,,,,Warriors,31:57,Warriors vs Storm,2017
58,Penalty - Dangerous Tackle,Nelson Asofa-Solomona,,,,Storm,30:47,Warriors vs Storm,2017
59,Interchange,,                   Jordan McLean,                   Nelson Asofa-Solomona,,Storm,28:12,Warriors vs Storm,2017
60,Kick Bomb,Shaun Johnson,,,,Warriors,28:04,Warriors vs Storm,2017
61,Linebreak,Josh Addo-Carr,,,,Storm,26:46,Warriors vs Storm,2017
62,Interchange,,                   Albert Vete,                   Sam Lisone,,Warriors,26:29,Warriors vs Storm,2017
63,Interchange,,                   Charlie Gubb,                   Jacob Lillyman,,Warriors,26:29,Warriors vs Storm,2017
64,Conversion-Made,Cameron Smith,,,10-12,Storm,25:55,Warriors vs Storm,2017
65,Video Referee,Try,,,,Storm,24:26,Warriors vs Storm,2017
66,Try,Cheyse Blair,,,10-10,Storm,24:22,Warriors vs Storm,2017
67,Penalty - Slow Peel,Albert Vete,,,,Warriors,21:41,Warriors vs Storm,2017
68,Interchange,,                   Christian Welch,                   Tim Glasby,,Storm,21:38,Warriors vs Storm,2017
69,Interchange - Sin Bin Return,David Fusitu'a,,,,Warriors,20:37,Warriors vs Storm,2017
70,Error,David Fusitu'a,,,,Warriors,20:37,Warriors vs Storm,2017
71,Interchange - Sin Bin Return,Cameron Munster,,,,Storm,19:48,Warriors vs Storm,2017
72,Error,Cameron Munster,,,,Storm,19:48,Warriors vs Storm,2017
73,Kick Bomb,Ata Hingano,,,,Warriors,19:45,Warriors vs Storm,2017
74,Conversion-Missed,Shaun Johnson,,,,Warriors,18:11,Warriors vs Storm,2017
75,Video Referee,Try,,,,Warriors,16:28,Warriors vs Storm,2017
76,Try,Shaun Johnson,,,10-6,Warriors,16:21,Warriors vs Storm,2017
77,Error,Josh Addo-Carr,,,,Storm,16:13,Warriors vs Storm,2017
78,Conversion-Made,Shaun Johnson,,,6-6,Warriors,14:22,Warriors vs Storm,2017
79,Video Referee,Try,,,,Warriors,13:08,Warriors vs Storm,2017
80,Try,Tuimoala Lolohea,,,4-6,Warriors,13:01,Warriors vs Storm,2017
81,Linebreak,Tuimoala Lolohea,,,,Warriors,13:01,Warriors vs Storm,2017
82,Error,Will Chambers,,,,Storm,11:34,Warriors vs Storm,2017
83,Interchange - Sin Bin Return,Charlie Gubb,,,,Warriors,10:06,Warriors vs Storm,2017
84,Error,Charlie Gubb,,,,Warriors,10:06,Warriors vs Storm,2017
85,Penalty - Offside Downtown,Christian Welch,,,,Storm,09:12,Warriors vs Storm,2017
86,Kick Bomb,Cooper Cronk,,,,Storm,09:09,Warriors vs Storm,2017
87,Conversion-Made,Cameron Smith,,,0-6,Storm,07:35,Warriors vs Storm,2017
88,Try,Kenneath Bromwich,,,0-4,Storm,06:14,Warriors vs Storm,2017
89,Penalty - Offside inside 10m,Ata Hingano,,,,Warriors,04:51,Warriors vs Storm,2017
90,Kick Bomb,Tuimoala Lolohea,,,,Warriors,04:24,Warriors vs Storm,2017
91,KICK OFF,,,,,,00:00,Warriors vs Storm,2017
