,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Wests Tigers vs Panthers,2017
1,Tigers Interchange - Sin Bin Return,Josh Aloiai,,,,Wests,79:19,Wests Tigers vs Panthers,2017
2,Error,Josh Aloiai,,,,Wests Tigers,79:19,Wests Tigers vs Panthers,2017
3,Penalty - Obstruction,Tyrone Peachey,,,,Panthers,77:58,Wests Tigers vs Panthers,2017
4,Error,David Nofoaluma,,,,Wests Tigers,77:12,Wests Tigers vs Panthers,2017
5,Kick Bomb,Nathan Cleary,,,,Panthers,76:33,Wests Tigers vs Panthers,2017
6,Error,Chris Lawrence,,,,Wests Tigers,75:46,Wests Tigers vs Panthers,2017
7,Penalty - Ball Strip,Nathan Cleary,,,,Panthers,74:48,Wests Tigers vs Panthers,2017
8,Penalty - Crowding,Peter Wallace,,,,Panthers,74:10,Wests Tigers vs Panthers,2017
9,Error,Isaah Yeo,,,,Panthers,73:28,Wests Tigers vs Panthers,2017
10,Tigers Interchange,,                   Michael Chee-Kam,                   Josh Aloiai,,Wests,72:58,Wests Tigers vs Panthers,2017
11,Interchange,,                   Reagan Campbell-Gillard,                   Viliame Kikau,,Panthers,72:57,Wests Tigers vs Panthers,2017
12,Conversion-Made,Nathan Cleary,,,2-36,Panthers,72:49,Wests Tigers vs Panthers,2017
13,Try,Nathan Cleary,,,2-34,Panthers,71:21,Wests Tigers vs Panthers,2017
14,Linebreak,Dylan Edwards,,,,Panthers,71:17,Wests Tigers vs Panthers,2017
15,Interchange - Sin Bin Return,Nathan Cleary,,,,Panthers,69:10,Wests Tigers vs Panthers,2017
16,Error,Nathan Cleary,,,,Panthers,69:10,Wests Tigers vs Panthers,2017
17,Error,Moses Suli,,,,Wests Tigers,67:52,Wests Tigers vs Panthers,2017
18,Error,Te Maire Martin,,,,Panthers,67:26,Wests Tigers vs Panthers,2017
19,Interchange - Sin Bin Return,Te Maire Martin,,,,Panthers,67:25,Wests Tigers vs Panthers,2017
20,Penalties - Other,Luke Brooks,,,,Wests Tigers,66:08,Wests Tigers vs Panthers,2017
21,Tigers Interchange,,                   Elijah Taylor,                   Chris Lawrence,,Wests,65:33,Wests Tigers vs Panthers,2017
22,Conversion-Made,Nathan Cleary,,,2-30,Panthers,65:24,Wests Tigers vs Panthers,2017
23,Try,Dean Whare,,,2-28,Panthers,63:59,Wests Tigers vs Panthers,2017
24,Linebreak,Dean Whare,,,,Panthers,63:56,Wests Tigers vs Panthers,2017
25,Penalty - Ball Strip,Aaron Woods,,,,Wests Tigers,63:31,Wests Tigers vs Panthers,2017
26,Error,Jamal Idris,,,,Wests Tigers,62:52,Wests Tigers vs Panthers,2017
27,Error,Dylan Edwards,,,,Panthers,61:19,Wests Tigers vs Panthers,2017
28,Linebreak,Tyrone Peachey,,,,Panthers,61:08,Wests Tigers vs Panthers,2017
29,Interchange,,                   Leilani Latu,                   James Tamou,,Panthers,57:08,Wests Tigers vs Panthers,2017
30,Tigers Interchange - Sin Bin Return,Kevin Naiqama,,,,Wests,56:18,Wests Tigers vs Panthers,2017
31,Error,Kevin Naiqama,,,,Wests Tigers,56:18,Wests Tigers vs Panthers,2017
32,Penalty - Holding Down,Leilani Latu,,,,Panthers,55:40,Wests Tigers vs Panthers,2017
33,Error,Te Maire Martin,,,,Panthers,55:10,Wests Tigers vs Panthers,2017
34,Tigers Interchange,,                   Josh Aloiai,                   Ava Seumanufagai,,Wests,55:08,Wests Tigers vs Panthers,2017
35,Interchange,,                   Sitaleki Akauola,                   Trent Merrin,,Panthers,53:35,Wests Tigers vs Panthers,2017
36,Kick Bomb,Luke Brooks,,,,Wests Tigers,53:22,Wests Tigers vs Panthers,2017
37,Error,Luke Brooks,,,,Wests Tigers,51:24,Wests Tigers vs Panthers,2017
38,Interchange - Sin Bin Return,Dylan Edwards,,,,Panthers,50:41,Wests Tigers vs Panthers,2017
39,Error,Dylan Edwards,,,,Panthers,50:41,Wests Tigers vs Panthers,2017
40,Tigers Interchange,,                   Chris Lawrence,                   Aaron Woods,,Wests,50:15,Wests Tigers vs Panthers,2017
41,Conversion-Made,Nathan Cleary,,,2-24,Panthers,50:11,Wests Tigers vs Panthers,2017
42,Try,Leilani Latu,,,2-22,Panthers,48:46,Wests Tigers vs Panthers,2017
43,Interchange,,                   Viliame Kikau,                   Reagan Campbell-Gillard,,Panthers,47:36,Wests Tigers vs Panthers,2017
44,Error,James Tedesco,,,,Wests Tigers,47:32,Wests Tigers vs Panthers,2017
45,Penalty - Offside inside 10m,Sitaleki Akauola,,,,Panthers,46:21,Wests Tigers vs Panthers,2017
46,Error,Mitchell Moses,,,,Wests Tigers,44:20,Wests Tigers vs Panthers,2017
47,Tigers Interchange,,                   Joel Edwards,                   Jamal Idris,,Wests,44:10,Wests Tigers vs Panthers,2017
48,Tigers Interchange,,                   Matt McIlwrick,                   Jack Littlejohn,,Wests,43:29,Wests Tigers vs Panthers,2017
49,Tigers Interchange - Sin Bin Return,James Tedesco,,,,Wests,41:51,Wests Tigers vs Panthers,2017
