,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Matthew
                
                  Dufty",18.0,Fullback,,80:00,,4,1,-,-,-,-,-,,84.0,,15.0,188.0,33,,32.0,2,2,2,-,12,-,9.0,3.43s,-,-,-,,2,-,8,21.0,0.53,,-,-,1,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
1,,"Nene
                
                  Macdonald",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,41.0,,15.0,139.0,11,,52.0,-,1,2,-,2,-,9.0,3.04s,6,41,-,,2,1,3,19.0,0.2,,88.9%,8,-,1,-,1,,1,21,-,-,1,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
2,,"Euan
                
                  Aitken",3.0,Centre,,66:00,,8,2,-,-,-,-,-,,63.0,,14.0,156.0,1,,36.0,1,-,-,-,5,-,7.0,2.51s,-,-,-,,1,-,3,15.0,0.21,,94.1%,16,1,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,66:18,-,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
3,,"Timoteo
                
                  Lafai",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,53.0,,15.0,106.0,-,,40.0,-,1,-,-,6,-,7.0,2.49s,-,-,-,,5,-,6,19.0,0.4,,84.6%,11,1,1,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
4,,"Jason
                
                  Nightingale",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,27.0,,11.0,99.0,-,,34.0,1,-,-,-,-,-,7.0,2.56s,-,-,-,,2,1,8,19.0,0.73,,50%,4,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
5,,"Gareth
                
                  Widdop",6.0,Five-Eighth,,80:00,,20,1,8,9,-,88.89%,-,,72.0,,13.0,171.0,-,,6.0,-,1,2,-,-,-,3.0,3.39s,1,9,-,,1,2,33,50.0,2.54,,58.3%,7,4,1,1,-,,12,330,2,2,1,1,1,-,,-,-,-,1,-,-,-,,80:00,-,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
6,,"Josh
                
                  McCrone",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,31.0,,4.0,33.0,-,,6.0,-,1,1,-,-,-,1.0,3.08s,1,5,-,,1,3,36,43.0,9,,77.3%,17,3,2,-,-,,5,159,-,-,-,-,2,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
7,,"Leeson
                
                  Ah Mau",8.0,Prop,,51:00,,-,-,-,-,-,-,-,,53.0,,12.0,174.0,104,,55.0,-,-,-,-,4,6,11.0,2.6s,-,-,-,,-,-,1,13.0,0.08,,100%,24,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,21:54,28:39,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
8,,"Cameron
                
                  McInnes",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,34.0,,1.0,12.0,-,,5.0,-,-,-,-,-,-,2.0,4.16s,1,12,-,,-,4,123,121.0,123,,97.5%,39,1,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
9,,"Paul
                
                  Vaughan",10.0,Prop,,42:00,,4,1,-,-,-,-,-,,58.0,,15.0,149.0,-,,61.0,1,-,-,-,3,15,12.0,3.29s,-,-,-,,2,-,1,17.0,0.07,,95.8%,23,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,23:51,18:29,Dragons,20,2017-07-23T04:00:00Z,Dragons vs Sea Eagles,2017
