,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Wests Tigers vs Eels,2017
1,On Report,Luke Brooks,,,,Wests Tigers,79:47,Wests Tigers vs Eels,2017
2,Penalty - Tripping,Luke Brooks,,,,Wests Tigers,79:45,Wests Tigers vs Eels,2017
3,Linebreak,Kenny Edwards,,,,Eels,79:21,Wests Tigers vs Eels,2017
4,Drop Goal-Missed,Luke Brooks,,,,Wests Tigers,78:24,Wests Tigers vs Eels,2017
5,Error,Clinton Gutherson,,,,Eels,77:28,Wests Tigers vs Eels,2017
6,Linebreak,Corey Norman,,,,Eels,77:24,Wests Tigers vs Eels,2017
7,Drop Goal-Made,Corey Norman,,,16-17,Eels,76:47,Wests Tigers vs Eels,2017
8,Tigers Interchange - Sin Bin Return,Jack Littlejohn,,,,Wests,75:36,Wests Tigers vs Eels,2017
9,Error,Jack Littlejohn,,,,Wests Tigers,75:36,Wests Tigers vs Eels,2017
10,Tigers Interchange,,                   Tim Grant,                   Matthew Eisenhuth,,Wests,75:08,Wests Tigers vs Eels,2017
11,Interchange - Sin Bin Return,Bevan French,,,,Eels,75:01,Wests Tigers vs Eels,2017
12,Error,Bevan French,,,,Eels,75:01,Wests Tigers vs Eels,2017
13,Interchange,,                   Tepai Moeroa,                   Tim Mannah,,Eels,74:11,Wests Tigers vs Eels,2017
14,Error,Tuimoala Lolohea,,,,Wests Tigers,73:56,Wests Tigers vs Eels,2017
15,Error,Michael Jennings,,,,Eels,72:25,Wests Tigers vs Eels,2017
16,Conversion-Missed,Tuimoala Lolohea,,,,Wests Tigers,70:27,Wests Tigers vs Eels,2017
17,Interchange,,                   Siosaia Vave,                   Suaia Matagi,,Eels,69:21,Wests Tigers vs Eels,2017
18,Video Referee,Try,,,,Wests Tigers,69:21,Wests Tigers vs Eels,2017
19,Try,Malakai Watene-Zelezniak,,,16-16,Wests Tigers,69:13,Wests Tigers vs Eels,2017
20,Kick Bomb,Tuimoala Lolohea,,,,Wests Tigers,69:08,Wests Tigers vs Eels,2017
21,Error,Corey Norman,,,,Eels,67:56,Wests Tigers vs Eels,2017
22,Tigers Interchange,,                   Matthew Eisenhuth,                   Alex Twal,,Wests,64:51,Wests Tigers vs Eels,2017
23,Interchange - Sin Bin Return,Michael Jennings,,,,Eels,64:47,Wests Tigers vs Eels,2017
24,Error,Michael Jennings,,,,Eels,64:47,Wests Tigers vs Eels,2017
25,Interchange,,                   Cameron King,                   Will Smith,,Eels,63:47,Wests Tigers vs Eels,2017
26,Tigers Interchange,,                   Matt McIlwrick,                   Jack Littlejohn,,Wests,63:10,Wests Tigers vs Eels,2017
27,Kick Bomb,Mitchell Moses,,,,Eels,62:57,Wests Tigers vs Eels,2017
28,Conversion-Made,Clinton Gutherson,,,12-16,Eels,61:40,Wests Tigers vs Eels,2017
29,Tigers Interchange,,                   Ava Seumanufagai,                   Tim Grant,,Wests,60:45,Wests Tigers vs Eels,2017
30,Try,Clinton Gutherson,,,12-14,Eels,60:09,Wests Tigers vs Eels,2017
31,Linebreak,Semi Radradra,,,,Eels,60:06,Wests Tigers vs Eels,2017
32,Error,Kevin Naiqama,,,,Wests Tigers,59:35,Wests Tigers vs Eels,2017
33,Error,Clinton Gutherson,,,,Eels,58:17,Wests Tigers vs Eels,2017
34,Tigers Interchange - Sin Bin Return,Kevin Naiqama,,,,Wests,57:48,Wests Tigers vs Eels,2017
35,Error,Kevin Naiqama,,,,Wests Tigers,57:48,Wests Tigers vs Eels,2017
36,Kick Bomb,Luke Brooks,,,,Wests Tigers,57:44,Wests Tigers vs Eels,2017
37,Error,Mitchell Moses,,,,Eels,57:00,Wests Tigers vs Eels,2017
38,Interchange,,                   Daniel Alvaro,                   Siosaia Vave,,Eels,56:46,Wests Tigers vs Eels,2017
39,Interchange,,                   Suaia Matagi,                   Tepai Moeroa,,Eels,56:25,Wests Tigers vs Eels,2017
40,Error,Michael Chee-Kam,,,,Wests Tigers,56:04,Wests Tigers vs Eels,2017
41,Penalty Shot-Made,Tuimoala Lolohea,,,12-10,Wests Tigers,55:01,Wests Tigers vs Eels,2017
42,Penalty - Slow Peel,Bevan French,,,,Eels,53:53,Wests Tigers vs Eels,2017
43,Kick Bomb,Luke Brooks,,,,Wests Tigers,53:33,Wests Tigers vs Eels,2017
44,Tigers Interchange,,                   Alex Twal,                   Aaron Woods,,Wests,52:41,Wests Tigers vs Eels,2017
45,Penalty Shot-Made,Tuimoala Lolohea,,,10-10,Wests Tigers,52:04,Wests Tigers vs Eels,2017
46,Penalty - Holding Down,Corey Norman,,,,Eels,50:43,Wests Tigers vs Eels,2017
47,Penalty - Crowding,Bevan French,,,,Eels,49:28,Wests Tigers vs Eels,2017
48,Error,Clinton Gutherson,,,,Eels,49:21,Wests Tigers vs Eels,2017
49,Penalty - Escorts,Elijah Taylor,,,,Wests Tigers,47:52,Wests Tigers vs Eels,2017
50,Penalty - Marker Not Square,Alex Twal,,,,Wests Tigers,46:37,Wests Tigers vs Eels,2017
51,Tigers Interchange - Sin Bin Return,Michael Chee-Kam,,,,Wests,46:07,Wests Tigers vs Eels,2017
52,Error,Michael Chee-Kam,,,,Wests Tigers,46:07,Wests Tigers vs Eels,2017
53,Kick Bomb,Luke Brooks,,,,Wests Tigers,46:02,Wests Tigers vs Eels,2017
54,Error,Mitchell Moses,,,,Eels,44:00,Wests Tigers vs Eels,2017
55,Penalty - Ball Strip,Elijah Taylor,,,,Wests Tigers,42:59,Wests Tigers vs Eels,2017
56,Kick Bomb,Luke Brooks,,,,Wests Tigers,42:20,Wests Tigers vs Eels,2017
57,Error,Malakai Watene-Zelezniak,,,,Wests Tigers,39:59,Wests Tigers vs Eels,2017
58,Interchange - Sin Bin Return,Manu Ma'u,,,,Eels,36:28,Wests Tigers vs Eels,2017
59,Error,Manu Ma'u,,,,Eels,36:28,Wests Tigers vs Eels,2017
60,Penalty - Offside inside 10m,Matt McIlwrick,,,,Wests Tigers,35:50,Wests Tigers vs Eels,2017
61,Error,Kevin Naiqama,,,,Wests Tigers,35:07,Wests Tigers vs Eels,2017
62,Line Dropout,James Tedesco,,,,Wests Tigers,34:34,Wests Tigers vs Eels,2017
63,Tigers Interchange,,                   Kyle Lovett,                   Michael Chee-Kam,,Wests,34:30,Wests Tigers vs Eels,2017
64,Penalty - Ball Strip,Esan Marsters,,,,Wests Tigers,32:47,Wests Tigers vs Eels,2017
65,Conversion-Missed,Clinton Gutherson,,,,Eels,32:04,Wests Tigers vs Eels,2017
66,Try,Semi Radradra,,,8-10,Eels,30:33,Wests Tigers vs Eels,2017
67,Linebreak,Semi Radradra,,,,Eels,30:32,Wests Tigers vs Eels,2017
68,Penalty - Offside inside 10m,Alex Twal,,,,Wests Tigers,29:54,Wests Tigers vs Eels,2017
69,Interchange,,                   Tepai Moeroa,                   Kenny Edwards,,Eels,29:40,Wests Tigers vs Eels,2017
70,Linebreak,Corey Norman,,,,Eels,29:03,Wests Tigers vs Eels,2017
71,Tigers Interchange,,                   Aaron Woods,                   Ava Seumanufagai,,Wests,28:42,Wests Tigers vs Eels,2017
72,Error,Manu Ma'u,,,,Eels,27:49,Wests Tigers vs Eels,2017
73,Kick Bomb,Luke Brooks,,,,Wests Tigers,27:12,Wests Tigers vs Eels,2017
74,Penalty Shot-Made,Tuimoala Lolohea,,,8-6,Wests Tigers,25:42,Wests Tigers vs Eels,2017
75,Tigers Interchange,,                   Tim Grant,                   Alex Twal,,Wests,25:26,Wests Tigers vs Eels,2017
76,Interchange,,                   Tim Mannah,                   Suaia Matagi,,Eels,24:22,Wests Tigers vs Eels,2017
77,Penalty - Lying in the Ruck,Tim Mannah,,,,Eels,24:09,Wests Tigers vs Eels,2017
78,Error,Bevan French,,,,Eels,22:40,Wests Tigers vs Eels,2017
79,Error,Semi Radradra,,,,Eels,21:31,Wests Tigers vs Eels,2017
80,Penalty - Dangerous Tackle,Mitchell Moses,,,,Eels,20:25,Wests Tigers vs Eels,2017
81,Linebreak,Esan Marsters,,,,Wests Tigers,19:55,Wests Tigers vs Eels,2017
82,Interchange,,                   Siosaia Vave,                   Daniel Alvaro,,Eels,19:21,Wests Tigers vs Eels,2017
83,Linebreak,Brad Takairangi,,,,Eels,19:14,Wests Tigers vs Eels,2017
84,Kick Bomb,Luke Brooks,,,,Wests Tigers,18:46,Wests Tigers vs Eels,2017
85,Kick Bomb,Mitchell Moses,,,,Eels,18:02,Wests Tigers vs Eels,2017
86,Tigers Interchange - Sin Bin Return,James Tedesco,,,,Wests,16:33,Wests Tigers vs Eels,2017
87,Error,James Tedesco,,,,Wests Tigers,16:33,Wests Tigers vs Eels,2017
88,Penalty - Crowding,Tim Mannah,,,,Eels,15:32,Wests Tigers vs Eels,2017
89,Error,Corey Norman,,,,Eels,14:57,Wests Tigers vs Eels,2017
90,Linebreak,Mitchell Moses,,,,Eels,14:55,Wests Tigers vs Eels,2017
91,Conversion-Made,Tuimoala Lolohea,,,6-6,Wests Tigers,12:40,Wests Tigers vs Eels,2017
92,Video Referee,Try,,,,Wests Tigers,11:33,Wests Tigers vs Eels,2017
93,Try,James Tedesco,,,4-6,Wests Tigers,11:25,Wests Tigers vs Eels,2017
94,Linebreak,James Tedesco,,,,Wests Tigers,11:19,Wests Tigers vs Eels,2017
95,Interchange - Sin Bin Return,Tepai Moeroa,,,,Eels,10:03,Wests Tigers vs Eels,2017
96,Error,Tepai Moeroa,,,,Eels,10:03,Wests Tigers vs Eels,2017
97,Penalty - Offside inside 10m,Tim Grant,,,,Wests Tigers,09:12,Wests Tigers vs Eels,2017
98,Penalty - Offside inside 10m,Siosaia Vave,,,,Eels,08:04,Wests Tigers vs Eels,2017
99,Error,Corey Norman,,,,Eels,07:01,Wests Tigers vs Eels,2017
100,Interchange - Sin Bin Return,Bevan French,,,,Eels,06:06,Wests Tigers vs Eels,2017
101,Error,Bevan French,,,,Eels,06:06,Wests Tigers vs Eels,2017
102,Conversion-Made,Clinton Gutherson,,,0-6,Eels,03:54,Wests Tigers vs Eels,2017
103,Try,Bevan French,,,0-4,Eels,02:21,Wests Tigers vs Eels,2017
104,Linebreak,Bevan French,,,,Eels,02:20,Wests Tigers vs Eels,2017
105,Linebreak,Semi Radradra,,,,Eels,01:47,Wests Tigers vs Eels,2017
106,KICK OFF,,,,,,00:00,Wests Tigers vs Eels,2017
