,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Titans vs Wests Tigers,2017
1,Error,Matthew Eisenhuth,,,,Wests Tigers,78:42,Titans vs Wests Tigers,2017
2,Line Dropout,Tyrone Roberts,,,,Titans,78:10,Titans vs Wests Tigers,2017
3,Tigers Interchange,,                   Matt McIlwrick,                   Jack Littlejohn,,Wests,77:06,Titans vs Wests Tigers,2017
4,Conversion-Made,Tuimoala Lolohea,,,4-26,Wests Tigers,77:03,Titans vs Wests Tigers,2017
5,Video Referee,Try,,,,Wests Tigers,76:10,Titans vs Wests Tigers,2017
6,Try,Aaron Woods,,,4-24,Wests Tigers,76:05,Titans vs Wests Tigers,2017
7,Linebreak,Aaron Woods,,,,Wests Tigers,76:05,Titans vs Wests Tigers,2017
8,Error,Dale Copley,,,,Titans,74:36,Titans vs Wests Tigers,2017
9,Error,Tyrone Roberts,,,,Titans,73:57,Titans vs Wests Tigers,2017
10,Error,Tuimoala Lolohea,,,,Wests Tigers,72:45,Titans vs Wests Tigers,2017
11,Error,Jarryd Hayne,,,,Titans,71:21,Titans vs Wests Tigers,2017
12,Interchange,,                   Ryan James,                   Agnatius Paasi,,Titans,70:59,Titans vs Wests Tigers,2017
13,Penalty - Crowding,Michael Chee-Kam,,,,Wests Tigers,70:38,Titans vs Wests Tigers,2017
14,Kick Bomb,Luke Brooks,,,,Wests Tigers,70:15,Titans vs Wests Tigers,2017
15,Tigers Interchange,,                   Alex Twal,                   Matthew Eisenhuth,,Wests,69:41,Titans vs Wests Tigers,2017
16,Error,Tyrone Roberts,,,,Titans,68:44,Titans vs Wests Tigers,2017
17,Interchange,,                   Nathan Peats,                   Karl Lawton,,Titans,67:57,Titans vs Wests Tigers,2017
18,Tigers Interchange - Sin Bin Return,Michael Chee-Kam,,,,Wests,67:43,Titans vs Wests Tigers,2017
19,Error,Michael Chee-Kam,,,,Wests Tigers,67:43,Titans vs Wests Tigers,2017
20,Error,Kane Elgey,,,,Titans,66:31,Titans vs Wests Tigers,2017
21,Conversion-Made,Tuimoala Lolohea,,,4-20,Wests Tigers,65:09,Titans vs Wests Tigers,2017
22,Try,Chris Lawrence,,,4-18,Wests Tigers,63:37,Titans vs Wests Tigers,2017
23,Linebreak,Chris Lawrence,,,,Wests Tigers,63:36,Titans vs Wests Tigers,2017
24,Penalty - Dangerous Tackle,Joe Greenwood,,,,Titans,62:18,Titans vs Wests Tigers,2017
25,Interchange,,                   Jarrod Wallace,                   Max King,,Titans,61:45,Titans vs Wests Tigers,2017
26,Kick Bomb,Tyrone Roberts,,,,Titans,60:29,Titans vs Wests Tigers,2017
27,Interchange,,                   Agnatius Paasi,                   Nathaniel Peteru,,Titans,59:47,Titans vs Wests Tigers,2017
28,Error,Kevin Naiqama,,,,Wests Tigers,59:35,Titans vs Wests Tigers,2017
