,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Will
                
                  Hopoate",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,29,,16,60,27,,11,-,1,-,-,2,-,10,3.63s,2,17,-,,-,-,21,35,1.31,,100%,3,-,-,-,9,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
1,,"Brett
                
                  Morris",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,20,,7,52,19,,6,1,-,-,-,2,-,6,3.42s,-,-,-,,-,-,2,10,0.29,,100%,5,-,-,-,2,,1,18,1,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
2,,"Josh
                
                  Morris",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,15,,9,104,-,,40,-,-,-,-,2,-,6,3.19s,-,-,-,,-,1,2,11,0.22,,76.9%,10,2,1,-,-,,1,24,-,-,1,-,-,-,,4,2,-,-,-,-,-,,80:00,-,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
3,,"Brenko
                
                  Lee",23.0,Centre,,80:00,,-,-,-,-,-,-,-,,49,,12,163,-,,54,1,-,1,-,3,1,10,3.36s,-,-,-,,1,-,5,15,0.42,,85.7%,12,-,2,-,-,,1,29,1,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
4,,"Marcelo
                
                  Montoya",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,29,,12,107,5,,27,-,-,-,-,4,1,10,3.72s,1,9,-,,-,-,4,16,0.33,,50%,1,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
5,,"Josh
                
                  Reynolds",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,60,,7,38,9,,5,-,1,-,-,5,-,3,3.45s,-,-,-,,2,3,18,35,2.57,,96.2%,25,-,1,-,2,,11,307,1,1,2,-,1,1,,-,-,-,3,-,-,-,,80:00,-,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
6,,"Chase
                
                  Stanley",4.0,Halfback,,80:00,,-,-,-,1,-,-,-,,29,,5,32,-,,7,-,-,-,-,-,-,4,2.69s,1,16,-,,-,2,11,21,2.2,,82.4%,28,3,3,-,2,,4,83,-,1,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
7,,"Aiden
                
                  Tolman",8.0,Prop,,54:00,,-,-,-,-,-,-,-,,44,,10,73,-,,28,-,-,-,-,-,9,9,2.85s,1,3,-,,-,-,4,14,0.4,,92.9%,39,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:11,24:28,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
8,,"Moses
                
                  Mbye",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,34,,2,23,-,,6,-,-,-,-,-,-,1,2.28s,2,23,-,,-,5,85,88,42.5,,83.3%,35,3,4,-,-,,2,104,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
9,,"James
                
                  Graham",10.0,Prop,,55:00,,-,-,-,-,-,-,-,,44,,13,126,-,,52,-,-,-,-,-,13,13,3.53s,-,-,-,,-,1,1,14,0.08,,89.7%,35,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:31,29:49,Bulldogs,22,2017-08-03T09:50:00Z,Bulldogs vs Eels,2017
