,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Lachlan
                
                  Coote",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,12.0,,10,78,11,,19,-,-,-,-,-,-,4,4.39s,1,11,-,,1,3,31,44,3.1,,81.8%,9,2,-,-,3,,6,71,-,2,2,-,2,-,,2,-,-,2,-,-,-,,80:00,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
1,,"Kyle
                
                  Feldt",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,9.0,,12,93,34,,33,-,-,-,-,-,-,11,3.37s,-,-,-,,-,-,5,20,0.42,,81.8%,9,2,-,-,1,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,80:00,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
2,,"Justin
                
                  O'Neill",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,23.0,,11,96,-,,47,-,-,-,-,2,-,9,4.04s,1,10,-,,-,-,3,15,0.27,,84.2%,16,2,1,-,-,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
3,,"Kane
                
                  Linnett",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,21.0,,15,183,88,,68,-,-,-,-,-,-,13,3.35s,-,-,-,,-,1,2,17,0.13,,77.8%,7,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
4,,"Antonio
                
                  Winterstein",5.0,Winger,,07:00,,-,-,-,-,-,-,-,,3.0,,1,8,8,,2,-,-,-,-,1,-,1,3.52s,-,-,-,,-,-,-,1,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,07:17,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
5,,"Te Maire
                
                  Martin",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,21.0,,8,37,-,,5,-,-,-,-,1,-,2,3.6s,-,-,-,,-,2,25,32,3.12,,75%,12,2,2,-,-,,4,80,-,3,-,-,1,-,,1,1,-,-,-,-,-,,80:00,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
6,,"Michael
                
                  Morgan",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,87.0,,13,160,-,,19,1,-,-,-,11,-,5,3.32s,-,-,-,,1,3,33,51,2.54,,94.7%,18,1,-,-,-,,9,263,-,5,-,1,-,-,,1,1,-,2,-,-,-,,80:00,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
7,,"Shaun
                
                  Fensom",16.0,Prop,,80:00,,-,-,-,-,-,-,-,,41.0,,11,108,-,,44,-,-,-,-,-,11,11,3.3s,-,-,-,,-,1,1,12,0.09,,94.3%,33,1,1,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
8,,"Jake
                
                  Granville",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,56.0,,9,33,-,,5,1,-,-,-,2,1,-,-,8,32,-,,1,3,111,106,12.33,,95.1%,39,1,1,-,-,,1,3,-,-,1,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
9,,"Scott
                
                  Bolton",10.0,Prop,,59:00,,-,-,-,-,-,-,-,,32.0,,13,116,20,,44,-,-,-,-,-,11,13,3.11s,-,-,-,,-,2,1,15,0.08,,84.4%,27,2,3,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,25:55,32:59,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
10,,"Gavin
                
                  Cooper",11.0,2nd Row,,02:00,,-,-,-,-,-,-,-,,1.0,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,100%,1,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,01:59,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
11,,"Ethan
                
                  Lowe",12.0,2nd Row,,80:00,,4,-,1,1,1,100%,-,,62.0,,16,139,-,,67,-,-,-,-,1,16,15,3.89s,-,-,-,,-,-,-,16,-,,92.2%,47,4,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
12,,"Jason
                
                  Taumalolo",13.0,Lock,,72:00,,-,-,-,-,-,-,-,,41.0,,15,163,-,,69,-,-,-,-,1,13,11,3.55s,-,-,-,,1,-,6,19,0.4,,86.7%,26,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,48:35,23:04,Cowboys,22,2017-08-04T09:50:00Z,Cowboys vs Storm,2017
