,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tom
                
                  Trbojevic",1.0,Fullback,,80:00,,8,2,-,-,-,-,-,,52.0,,23.0,211.0,34,,57.0,1,1,1,-,3,-,18,3.44s,4,37,-,,2,2,18,43.0,0.78,,37.5%,3.0,4,1,-,2,,2,17,1,-,2,-,-,-,,2,-,-,1,-,-,-,,80:00,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
1,,"Matthew
                
                  Wright",2.0,Winger,,72:00,,12,1,4,5,-,80%,-,,38.0,,9.0,102.0,42,,35.0,1,-,-,-,1,-,8,2.92s,-,-,-,,-,-,1,9.0,0.11,,100%,4.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,71:48,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
2,,"Dylan
                
                  Walker",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,9.0,,11.0,101.0,-,,28.0,-,1,-,-,-,1,8,3.49s,-,-,-,,-,-,11,17.0,1,,56.2%,9.0,5,2,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
3,,"Brad
                
                  Parker",15.0,Centre,,66:00,,4,1,-,-,-,-,-,,49.0,,13.0,111.0,-,,36.0,1,1,1,-,4,-,9,3.67s,1,11,-,,1,-,3,15.0,0.23,,81.8%,9.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,25:48,39:59,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
4,,"Akuila
                
                  Uate",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,21.0,,11.0,114.0,5,,39.0,1,-,1,-,2,1,9,2.96s,-,-,-,,-,-,3,13.0,0.27,,50%,5.0,5,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
5,,"Blake
                
                  Green",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,15.0,,5.0,15.0,-,,1.0,-,1,1,-,-,-,-,-,-,-,-,,-,8,45,55.0,9,,80%,8.0,2,-,-,-,,7,109,1,1,4,-,1,-,,1,1,-,-,-,-,-,,80:00,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,80:00,,8,1,1,1,1,100%,-,,82.0,,19.0,167.0,21,,22.0,1,-,-,-,6,-,7,3.85s,2,17,-,,2,3,28,50.0,1.47,,82.1%,23.0,4,1,-,3,,9,293,-,3,1,-,-,-,,2,-,1,-,-,-,-,,80:00,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
7,,"Brenton
                
                  Lawrence",8.0,Prop,,38:00,,-,-,-,-,-,-,-,,25.0,,11.0,110.0,18,,51.0,-,-,-,-,-,10,8,4.22s,-,-,-,,2,-,-,11.0,-,,90.9%,20.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,2,-,-,-,,21:00,16:33,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
8,,"Apisai
                
                  Koroisau",9.0,Hooker,,65:00,,-,-,-,-,-,-,-,,62.0,,12.0,115.0,-,,49.0,-,-,-,-,5,4,9,2.79s,8,78,-,,1,4,98,104.0,8.17,,92.3%,36.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:17,18:28,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
9,,"Martin
                
                  Taupau",10.0,Prop,,44:00,,-,-,-,-,-,-,-,,57.0,,18.0,203.0,38,,81.0,-,-,-,-,6,15,13,3.76s,-,-,-,,3,-,1,18.0,0.06,,82.6%,19.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,21:00,22:59,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
10,,"Frank
                
                  Winterstein",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,48.0,,12.0,138.0,-,,49.0,1,-,1,-,2,11,8,2.9s,-,-,-,,-,-,2,12.0,0.17,,91.7%,22.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
11,,"Shaun
                
                  Lane",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,50.0,,8.0,79.0,-,,34.0,-,1,-,-,5,8,7,3.17s,-,-,-,,1,-,1,11.0,0.12,,86.1%,31.0,2,3,-,1,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
12,,"Jake
                
                  Trbojevic",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,42.0,,16.0,168.0,17,,61.0,-,-,-,-,-,14,14,3.46s,-,-,-,,1,3,7,22.0,0.44,,84.8%,28.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
13,,"Lewis
                
                  Brown",14.0,Interchange,,37:00,,4,1,-,-,-,-,-,,35.0,,5.0,40.0,-,,15.0,1,-,-,-,4,2,4,4.16s,3,28,-,,-,1,16,21.0,3.2,,76.5%,13.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,14:13,15:15,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
14,,"Darcy
                
                  Lussick",16.0,Interchange,,29:00,,-,-,-,-,-,-,-,,19.0,,10.0,132.0,55,,40.0,-,-,-,-,-,7,10,4.18s,-,-,-,,-,-,-,11.0,-,,85.7%,12.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,29:22,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
15,,"Lloyd
                
                  Perrett",17.0,Interchange,,36:00,,-,-,-,-,-,-,-,,29.0,,11.0,118.0,-,,57.0,-,-,-,-,-,11,8,2.7s,-,-,-,,2,1,-,11.0,-,,100%,14.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,36:01,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
16,,"Kelepi
                
                  Tanginoa",21.0,Interchange,,13:00,,-,-,-,-,-,-,-,,7.0,,5.0,47.0,9,,19.0,-,-,-,-,-,4,5,3.63s,-,-,-,,-,-,-,5.0,-,,63.6%,7.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,13:05,-,Sea,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
0,,"Connor
                
                  Watson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,20.0,,14,119,35,,25,-,-,-,-,4,1,10,3.4s,2,12,-,,1,3,8,21.0,1,,57.1%,4.0,3,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,-,-,Roosters,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
1,,"Daniel
                
                  Tupou",2.0,Winger,,65:00,,4,1,-,-,-,-,-,,69.0,,15,187,3,,34,4,-,1,-,6,1,11,3.09s,1,7,-,,1,2,1,14.0,-,,66.7%,2.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Roosters,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
2,,"Latrell
                
                  Mitchell",3.0,Centre,,80:00,,10,1,3,3,-,100%,-,,56.0,,9,88,-,,18,1,3,-,-,5,-,3,3.56s,-,-,1,,2,1,5,16.0,1,,100%,10.0,-,-,-,-,,1,34,-,-,-,-,-,-,,3,2,-,-,-,-,-,,-,-,Roosters,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
3,,"Joseph
                
                  Manu",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,11,71,-,,20,1,-,-,-,-,-,6,4.27s,-,-,-,,2,-,3,13.0,-,,77.8%,14.0,3,1,-,-,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,-,-,Roosters,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
4,,"Blake
                
                  Ferguson",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,22.0,,13,109,23,,43,-,-,-,-,6,1,14,2.87s,1,1,-,,-,-,4,19.0,-,,50%,2.0,2,-,-,2,,-,-,-,-,-,-,-,-,,2,-,-,1,-,-,-,,-,-,Roosters,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,39.0,,12,119,16,,18,-,1,-,-,3,-,5,3.78s,1,4,-,,-,3,22,33.0,2,,78.9%,15.0,4,-,-,-,,4,99,-,3,1,-,-,-,,-,-,-,1,-,-,-,,-,-,Roosters,22,2017-08-06T04:00:00Z,Sea Eagles vs Roosters,2017
