,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Titans vs Broncos,2017
1,Conversion-Made,Anthony Milford,,,0-54,Broncos,80:00,Titans vs Broncos,2017
2,Try,Josh McGuire,,,0-52,Broncos,79:00,Titans vs Broncos,2017
3,Linebreak,Josh McGuire,,,,Broncos,79:00,Titans vs Broncos,2017
4,Error,John Olive,,,,Titans,77:12,Titans vs Broncos,2017
5,Penalty - Offside inside 10m,Korbin Sims,,,,Broncos,76:15,Titans vs Broncos,2017
6,Conversion-Missed,James Roberts,,,,Broncos,74:49,Titans vs Broncos,2017
7,Try,Kodi Nikorima,,,0-48,Broncos,73:19,Titans vs Broncos,2017
8,Error,Dale Copley,,,,Titans,73:03,Titans vs Broncos,2017
9,Line Dropout,Anthony Milford,,,,Broncos,72:03,Titans vs Broncos,2017
10,Linebreak,Jarryd Hayne,,,,Titans,71:18,Titans vs Broncos,2017
11,Conversion-Made,Jordan Kahu,,,0-44,Broncos,68:51,Titans vs Broncos,2017
12,Interchange,,                   Ben Hunt,                   Sam Thaiday,,Broncos,68:43,Titans vs Broncos,2017
13,Interchange,,                   Matt Gillett,                   Josh McGuire,,Broncos,68:43,Titans vs Broncos,2017
14,Try,Corey Oates,,,0-42,Broncos,67:21,Titans vs Broncos,2017
15,Linebreak,Ben Hunt,,,,Broncos,67:12,Titans vs Broncos,2017
16,Conversion-Made,Jordan Kahu,,,0-38,Broncos,65:30,Titans vs Broncos,2017
17,Try,Ben Hunt,,,0-36,Broncos,63:58,Titans vs Broncos,2017
18,Linebreak,Kodi Nikorima,,,,Broncos,63:52,Titans vs Broncos,2017
19,Conversion-Missed,Jordan Kahu,,,,Broncos,62:54,Titans vs Broncos,2017
20,Interchange,,                   Ashley Taylor,                   Tyrone Roberts,,Titans,61:53,Titans vs Broncos,2017
21,Try,Anthony Milford,,,0-32,Broncos,61:22,Titans vs Broncos,2017
22,Error,Jarrod Wallace,,,,Titans,60:34,Titans vs Broncos,2017
23,Interchange - Sin Bin Return,Anthony Milford,,,,Broncos,60:11,Titans vs Broncos,2017
24,Error,Anthony Milford,,,,Broncos,60:11,Titans vs Broncos,2017
25,Interchange,,                   Joe Ofahengaue,                   Korbin Sims,,Broncos,59:41,Titans vs Broncos,2017
26,Error,Jarrod Wallace,,,,Titans,58:46,Titans vs Broncos,2017
27,Penalty - Holding Down,Alex Glenn,,,,Broncos,58:00,Titans vs Broncos,2017
28,On Report,Joe Ofahengaue,,,,Broncos,57:40,Titans vs Broncos,2017
29,Penalty - Dangerous Tackle,Joe Ofahengaue,,,,Broncos,57:35,Titans vs Broncos,2017
30,Interchange,,                   Ryan James,                   Max King,,Titans,57:05,Titans vs Broncos,2017
31,Error,Darius Boyd,,,,Broncos,56:44,Titans vs Broncos,2017
32,Conversion-Made,Jordan Kahu,,,0-28,Broncos,55:24,Titans vs Broncos,2017
33,Try,James Roberts,,,0-26,Broncos,53:59,Titans vs Broncos,2017
34,Linebreak,Tevita Pangai Junior,,,,Broncos,53:54,Titans vs Broncos,2017
35,Interchange,,                   Herman Ese'ese,                   Adam Blair,,Broncos,53:23,Titans vs Broncos,2017
36,Error,Ashley Taylor,,,,Titans,53:03,Titans vs Broncos,2017
37,Interchange,,                   Leivaha Pulu,                   Nathaniel Peteru,,Titans,52:13,Titans vs Broncos,2017
38,Interchange - Sin Bin Return,Tautau Moga,,,,Broncos,52:09,Titans vs Broncos,2017
39,Error,Tautau Moga,,,,Broncos,52:09,Titans vs Broncos,2017
40,Error,John Olive,,,,Titans,51:21,Titans vs Broncos,2017
41,Interchange,,                   Josh McGuire,                   Tevita Pangai Junior,,Broncos,50:30,Titans vs Broncos,2017
42,Error,John Olive,,,,Titans,50:00,Titans vs Broncos,2017
43,Conversion-Made,Jordan Kahu,,,0-22,Broncos,47:57,Titans vs Broncos,2017
44,Interchange,,                   Agnatius Paasi,                   Jarrod Wallace,,Titans,47:10,Titans vs Broncos,2017
45,Video Referee,Try,,,,Broncos,47:10,Titans vs Broncos,2017
46,Try,Ben Hunt,,,0-20,Broncos,46:56,Titans vs Broncos,2017
47,Linebreak,Ben Hunt,,,,Broncos,46:56,Titans vs Broncos,2017
48,Penalty - Slow Peel,Morgan Boyle,,,,Titans,45:24,Titans vs Broncos,2017
49,Error,Jordan Kahu,,,,Broncos,43:10,Titans vs Broncos,2017
50,Error,Ryan James,,,,Titans,42:25,Titans vs Broncos,2017
51,Error,James Roberts,,,,Broncos,41:25,Titans vs Broncos,2017
52,Conversion-Made,Jordan Kahu,,,0-16,Broncos,40:00,Titans vs Broncos,2017
53,Try,Ben Hunt,,,0-14,Broncos,38:34,Titans vs Broncos,2017
54,Linebreak,Ben Hunt,,,,Broncos,38:34,Titans vs Broncos,2017
55,Error,Anthony Don,,,,Titans,37:39,Titans vs Broncos,2017
56,Penalty - Working on the Ground,Tautau Moga,,,,Broncos,37:32,Titans vs Broncos,2017
57,Linebreak,Leivaha Pulu,,,,Titans,37:20,Titans vs Broncos,2017
58,Error,Matt Gillett,,,,Broncos,36:24,Titans vs Broncos,2017
59,Penalty - Hand in the Ruck,Ryan James,,,,Titans,35:25,Titans vs Broncos,2017
60,Penalty - Working on the Ground,Darius Boyd,,,,Broncos,33:42,Titans vs Broncos,2017
61,Conversion-Missed,Jordan Kahu,,,,Broncos,32:11,Titans vs Broncos,2017
62,Try,Corey Oates,,,0-10,Broncos,30:39,Titans vs Broncos,2017
63,Linebreak,Corey Oates,,,,Broncos,30:37,Titans vs Broncos,2017
64,Interchange,,                   Max King,                   Agnatius Paasi,,Titans,29:48,Titans vs Broncos,2017
65,Error,Corey Oates,,,,Broncos,29:48,Titans vs Broncos,2017
66,Kick Bomb,Ashley Taylor,,,,Titans,29:43,Titans vs Broncos,2017
67,Error,Darius Boyd,,,,Broncos,28:25,Titans vs Broncos,2017
68,Interchange,,                   Adam Blair,                   Joe Ofahengaue,,Broncos,27:21,Titans vs Broncos,2017
69,Interchange,,                   Sam Thaiday,                   Herman Ese'ese,,Broncos,27:21,Titans vs Broncos,2017
70,Error,Morgan Boyle,,,,Titans,26:42,Titans vs Broncos,2017
71,Interchange - Sin Bin Return,Morgan Boyle,,,,Titans,26:41,Titans vs Broncos,2017
72,Kick Bomb,Kodi Nikorima,,,,Broncos,25:27,Titans vs Broncos,2017
73,Conversion-Made,Jordan Kahu,,,0-6,Broncos,24:02,Titans vs Broncos,2017
74,Interchange,,                   Jarrod Wallace,                   Leivaha Pulu,,Titans,23:06,Titans vs Broncos,2017
75,Try,Kodi Nikorima,,,0-4,Broncos,22:31,Titans vs Broncos,2017
76,Linebreak,Kodi Nikorima,,,,Broncos,22:28,Titans vs Broncos,2017
77,Penalty - Crowding,Ashley Taylor,,,,Titans,22:02,Titans vs Broncos,2017
78,Penalty - Slow Peel,John Olive,,,,Titans,21:11,Titans vs Broncos,2017
79,Interchange,,                   Korbin Sims,                   Ben Hunt,,Broncos,21:02,Titans vs Broncos,2017
80,Error,Sam Thaiday,,,,Broncos,19:32,Titans vs Broncos,2017
81,Line Dropout,Anthony Milford,,,,Broncos,18:46,Titans vs Broncos,2017
82,Error,Kodi Nikorima,,,,Broncos,16:42,Titans vs Broncos,2017
83,Line Dropout,Ashley Taylor,,,,Titans,16:38,Titans vs Broncos,2017
84,Error,Jarrod Wallace,,,,Titans,15:02,Titans vs Broncos,2017
85,Error,William Zillman,,,,Titans,13:30,Titans vs Broncos,2017
86,Line Dropout,Anthony Milford,,,,Broncos,10:46,Titans vs Broncos,2017
87,Penalty - Marker Not Square,Matt Gillett,,,,Broncos,09:13,Titans vs Broncos,2017
88,Line Dropout,Anthony Milford,,,,Broncos,08:36,Titans vs Broncos,2017
89,Penalty - Verbal Dissent,Josh McGuire,,,,Broncos,06:48,Titans vs Broncos,2017
90,Penalty - Dangerous Tackle,Josh McGuire,,,,Broncos,06:43,Titans vs Broncos,2017
91,Penalty - Hand in the Ruck,Tautau Moga,,,,Broncos,05:57,Titans vs Broncos,2017
92,Penalty - 2nd Effort,Nathan Peats,,,,Titans,03:57,Titans vs Broncos,2017
93,Kick Bomb,Anthony Milford,,,,Broncos,02:44,Titans vs Broncos,2017
94,Kick Bomb,Kodi Nikorima,,,,Broncos,01:00,Titans vs Broncos,2017
95,KICK OFF,,,,,,00:00,Titans vs Broncos,2017
