,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Titans,2017
1,Conversion-Made,Mitchell Moses,,,30-8,Eels,80:00,Eels vs Titans,2017
2,Try,Will Smith,,,28-8,Eels,78:38,Eels vs Titans,2017
3,Linebreak,Will Smith,,,,Eels,78:36,Eels vs Titans,2017
4,Penalties - Other,Ashley Taylor,,,,Titans,78:00,Eels vs Titans,2017
5,Line Dropout,Ashley Taylor,,,,Titans,77:58,Eels vs Titans,2017
6,Error,William Zillman,,,,Titans,77:33,Eels vs Titans,2017
7,Conversion-Missed,Kane Elgey,,,,Titans,77:23,Eels vs Titans,2017
8,Try,William Zillman,,,24-8,Titans,76:37,Eels vs Titans,2017
9,Linebreak,William Zillman,,,,Titans,76:36,Eels vs Titans,2017
10,Line Dropout,Mitchell Moses,,,,Eels,76:07,Eels vs Titans,2017
11,Interchange,,,,,Titans,74:25,Eels vs Titans,2017
12,Interchange,,,,,Eels,74:25,Eels vs Titans,2017
13,Interchange - Sin Bin Return,Michael Jennings,,,,Eels,74:19,Eels vs Titans,2017
14,Error,Michael Jennings,,,,Eels,74:19,Eels vs Titans,2017
15,Kick Bomb,Ashley Taylor,,,,Titans,72:36,Eels vs Titans,2017
16,Interchange,,                   Nathan Brown,                   Tim Mannah,,Eels,70:56,Eels vs Titans,2017
17,Interchange - Sin Bin Return,Semi Radradra,,,,Eels,70:33,Eels vs Titans,2017
18,Error,Semi Radradra,,,,Eels,70:33,Eels vs Titans,2017
19,Kick Bomb,Nathan Peats,,,,Titans,70:29,Eels vs Titans,2017
20,Error,Brad Takairangi,,,,Eels,68:55,Eels vs Titans,2017
21,Error,Kirisome Auva'a,,,,Eels,68:03,Eels vs Titans,2017
22,Interchange,,                   Ben Nakubuwai,                   Nathaniel Peteru,,Titans,66:31,Eels vs Titans,2017
23,Interchange - Sin Bin Return,Michael Jennings,,,,Eels,66:08,Eels vs Titans,2017
24,Error,Michael Jennings,,,,Eels,66:08,Eels vs Titans,2017
25,Kick Bomb,Mitchell Moses,,,,Eels,66:05,Eels vs Titans,2017
26,Conversion-Missed,Tyrone Roberts,,,,Titans,63:49,Eels vs Titans,2017
27,Video Referee,Try,,,,Titans,63:16,Eels vs Titans,2017
28,Interchange,,                   Suaia Matagi,                   Daniel Alvaro,,Eels,63:12,Eels vs Titans,2017
29,Interchange,,                   Peni Terepo,                   Tepai Moeroa,,Eels,63:12,Eels vs Titans,2017
30,Try,Ben Nakubuwai,,,24-4,Titans,63:09,Eels vs Titans,2017
