,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Dane
                
                  Gagai",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,28.0,,24.0,187.0,32,,52.0,1,-,-,-,5,2,17.0,3.1s,4,20,-,,-,-,9,28.0,0.38,,36.4%,4.0,6,1,-,-,,-,-,-,-,-,-,-,-,,2,-,-,1,-,-,-,,80:00,-,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
1,,"Ken
                
                  Sio",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,22.0,,10.0,109.0,52,,37.0,-,-,-,-,1,-,8.0,3.12s,-,-,-,,1,-,2,11.0,0.2,,100%,6.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
2,,"Joe
                
                  Wardle",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,14.0,,8.0,73.0,-,,32.0,-,-,-,-,-,1,5.0,3.3s,1,2,-,,-,2,3,10.0,0.38,,63.6%,7.0,3,1,-,-,,1,9,-,-,1,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
3,,"Peter
                
                  Mata'utia",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,25.0,,10.0,90.0,5,,37.0,-,-,-,-,1,1,8.0,2.72s,-,-,-,,1,3,5,15.0,0.5,,78.3%,18.0,3,2,-,1,,1,-,-,-,1,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
4,,"Shaun
                
                  Kenny-Dowall",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,27.0,,17.0,131.0,-,,39.0,-,-,-,-,5,2,14.0,2.96s,1,8,-,,2,1,-,20.0,-,,66.7%,2.0,1,-,-,1,,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,,80:00,-,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
5,,"Brock
                
                  Lamb",6.0,Five-Eighth,,66:00,,-,-,-,-,-,-,-,,38.0,,13.0,79.0,-,,6.0,-,1,1,-,1,-,4.0,3.66s,-,-,-,,1,2,24,36.0,1.85,,93.8%,15.0,1,-,-,1,,5,146,-,-,2,-,-,1,,1,1,-,-,-,-,-,,65:31,-,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
6,,"Trent
                
                  Hodkinson",7.0,Halfback,,80:00,,4,-,2,2,-,100%,-,,20.0,,5.0,26.0,7,,6.0,-,-,-,-,-,-,2.0,3.2s,-,-,-,,-,1,39,48.0,7.8,,92.3%,12.0,1,-,1,1,,5,102,-,1,1,-,1,-,,1,1,-,-,-,-,-,,80:00,-,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
7,,"Daniel
                
                  Saifiti",8.0,Prop,,69:00,,-,-,-,-,-,-,-,,46.0,,19.0,167.0,-,,74.0,-,-,-,-,1,19,18.0,3.38s,-,-,-,,-,1,-,19.0,-,,90.6%,29.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,17:27,51:25,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
8,,"Jamie
                
                  Buhrer",9.0,Hooker,,65:00,,-,-,-,-,-,-,-,,29.0,,9.0,63.0,-,,20.0,-,-,-,-,-,7,6.0,3.78s,-,-,-,,-,2,42,49.0,4.67,,80%,32.0,5,3,-,-,,2,62,-,-,-,-,-,-,,-,-,-,1,-,-,-,,50:40,14:29,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
9,,"Josh
                
                  King",10.0,Prop,,37:00,,-,-,-,-,-,-,-,,23.0,,5.0,49.0,-,,13.0,-,-,-,-,-,5,5.0,3.01s,-,-,-,,-,2,-,5.0,-,,92%,23.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,28:35,07:37,Knights,24,2017-08-19T05:00:00Z,Knights vs Storm,2017
