,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Rabbitohs vs Warriors,2017
1,Linebreak,Bryson Goodwin,,,,Rabbitohs,79:39,Rabbitohs vs Warriors,2017
2,Interchange - Sin Bin Return,Charlie Gubb,,,,Warriors,79:22,Rabbitohs vs Warriors,2017
3,Error,Charlie Gubb,,,,Warriors,79:22,Rabbitohs vs Warriors,2017
4,Error,George Burgess,,,,Rabbitohs,78:27,Rabbitohs vs Warriors,2017
5,Error,Ken Maumalo,,,,Warriors,77:52,Rabbitohs vs Warriors,2017
6,Line Dropout,Adam Reynolds,,,,Rabbitohs,77:45,Rabbitohs vs Warriors,2017
7,Penalty - Offside inside 10m,Jack Gosiewski,,,,Rabbitohs,76:04,Rabbitohs vs Warriors,2017
8,Interchange,,                   Simon Mannering,                   Charlie Gubb,,Warriors,75:26,Rabbitohs vs Warriors,2017
9,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,74:05,Rabbitohs vs Warriors,2017
10,Interchange,,                   Alex Johnston,                   John Sutton,,Rabbitohs,73:28,Rabbitohs vs Warriors,2017
11,Interchange - HIA Cleared,,                   Kieran Foran,                   Issac Luke,,Warriors,73:17,Rabbitohs vs Warriors,2017
12,Try,Alex Johnston,,,36-18,Rabbitohs,72:31,Rabbitohs vs Warriors,2017
13,Linebreak,Alex Johnston,,,,Rabbitohs,72:27,Rabbitohs vs Warriors,2017
14,Interchange,,                   Thomas Burgess,                   George Burgess,,Rabbitohs,71:44,Rabbitohs vs Warriors,2017
15,Penalty - Dangerous Tackle,Ata Hingano,,,,Warriors,71:31,Rabbitohs vs Warriors,2017
16,Kick Bomb,Mason Lino,,,,Warriors,71:21,Rabbitohs vs Warriors,2017
17,Error,Zane Musgrove,,,,Rabbitohs,70:12,Rabbitohs vs Warriors,2017
18,Conversion-Made,Adam Reynolds,,,32-18,Rabbitohs,69:00,Rabbitohs vs Warriors,2017
19,Try,Cody Walker,,,30-18,Rabbitohs,67:37,Rabbitohs vs Warriors,2017
20,Linebreak,Cody Walker,,,,Rabbitohs,67:35,Rabbitohs vs Warriors,2017
21,Interchange,,                   Damien Cook,                   Zane Musgrove,,Rabbitohs,66:54,Rabbitohs vs Warriors,2017
22,Error,Blake Ayshford,,,,Warriors,66:39,Rabbitohs vs Warriors,2017
23,Interchange - Sin Bin Return,Blake Ayshford,,,,Warriors,66:38,Rabbitohs vs Warriors,2017
