,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Cowboys vs Broncos,2017
1,Conversion-Missed,Ethan Lowe,,,,Cowboys,80:00,Cowboys vs Broncos,2017
2,Try,Kyle Feldt,,,10-20,Cowboys,79:35,Cowboys vs Broncos,2017
3,Linebreak,Kyle Feldt,,,,Cowboys,79:35,Cowboys vs Broncos,2017
4,Kick Bomb,Benji Marshall,,,,Broncos,77:40,Cowboys vs Broncos,2017
5,Interchange - Sin Bin Return,Gavin Cooper,,,,Cowboys,76:16,Cowboys vs Broncos,2017
6,Error,Gavin Cooper,,,,Cowboys,76:16,Cowboys vs Broncos,2017
7,Penalty - Hand in the Ruck,Matt Gillett,,,,Broncos,75:43,Cowboys vs Broncos,2017
8,Interchange,,                   Adam Blair,                   Joe Ofahengaue,,Broncos,75:02,Cowboys vs Broncos,2017
9,Error,James Roberts,,,,Broncos,74:47,Cowboys vs Broncos,2017
10,Penalty - Ball Strip,Matt Gillett,,,,Broncos,74:06,Cowboys vs Broncos,2017
11,Line Dropout,Ben Hunt,,,,Broncos,73:22,Cowboys vs Broncos,2017
12,Interchange - HIA Cleared,,                   Sam Thaiday,                   Alex Glenn,,Broncos,73:03,Cowboys vs Broncos,2017
13,Penalty - Slow Peel,Anthony Milford,,,,Broncos,71:44,Cowboys vs Broncos,2017
14,Line Dropout,Ben Hunt,,,,Broncos,71:05,Cowboys vs Broncos,2017
15,Interchange,,                   Tevita Pangai Junior,                   Herman Ese'ese,,Broncos,69:29,Cowboys vs Broncos,2017
16,Error,Matt Gillett,,,,Broncos,69:15,Cowboys vs Broncos,2017
17,Line Dropout,Ben Hunt,,,,Broncos,68:22,Cowboys vs Broncos,2017
18,Error,Adam Blair,,,,Broncos,66:18,Cowboys vs Broncos,2017
19,Conversion-Made,Jordan Kahu,,,6-20,Broncos,63:11,Cowboys vs Broncos,2017
20,Interchange,,                   Coen Hess,                   Jason Taumalolo,,Cowboys,63:10,Cowboys vs Broncos,2017
21,Video Referee,Try,,,,Broncos,61:59,Cowboys vs Broncos,2017
22,Try,Adam Blair,,,6-18,Broncos,61:55,Cowboys vs Broncos,2017
23,Linebreak,Adam Blair,,,,Broncos,61:54,Cowboys vs Broncos,2017
24,Error,Te Maire Martin,,,,Cowboys,61:39,Cowboys vs Broncos,2017
