,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Rabbitohs,2017
1,Error,Damien Cook,,,,Rabbitohs,80:00,Eels vs Rabbitohs,2017
2,Interchange - Sin Bin Return,Damien Cook,,,,Rabbitohs,79:24,Eels vs Rabbitohs,2017
3,Penalty - Escorts,Brad Takairangi,,,,Eels,75:52,Eels vs Rabbitohs,2017
4,Interchange,,                   Thomas Burgess,                   Jason Clark,,Rabbitohs,75:49,Eels vs Rabbitohs,2017
5,Conversion-Missed,Mitchell Moses,,,,Eels,75:46,Eels vs Rabbitohs,2017
6,Interchange,,                   Suaia Matagi,                   Siosaia Vave,,Eels,74:49,Eels vs Rabbitohs,2017
7,Video Referee,Try,,,,Eels,74:20,Eels vs Rabbitohs,2017
8,Try,Semi Radradra,,,22-16,Eels,74:09,Eels vs Rabbitohs,2017
9,Error,Robert Jennings,,,,Rabbitohs,72:13,Eels vs Rabbitohs,2017
10,Interchange,,                   Tim Mannah,                   Daniel Alvaro,,Eels,71:54,Eels vs Rabbitohs,2017
11,Kick Bomb,Corey Norman,,,,Eels,70:55,Eels vs Rabbitohs,2017
12,Interchange,,                   Kyle Turner,                   Siosifa Talakai,,Rabbitohs,69:23,Eels vs Rabbitohs,2017
13,Kick Bomb,Mitchell Moses,,,,Eels,69:04,Eels vs Rabbitohs,2017
14,Error,John Sutton,,,,Rabbitohs,67:22,Eels vs Rabbitohs,2017
15,Linebreak,John Sutton,,,,Rabbitohs,67:20,Eels vs Rabbitohs,2017
16,Error,Kenny Edwards,,,,Eels,66:49,Eels vs Rabbitohs,2017
17,Error,Bryson Goodwin,,,,Rabbitohs,65:49,Eels vs Rabbitohs,2017
18,Interchange,,                   Dean Britt,                   George Burgess,,Rabbitohs,65:26,Eels vs Rabbitohs,2017
19,Interchange - Sin Bin Return,Semi Radradra,,,,Eels,65:08,Eels vs Rabbitohs,2017
20,Error,Semi Radradra,,,,Eels,65:08,Eels vs Rabbitohs,2017
21,Kick Bomb,Corey Norman,,,,Eels,65:05,Eels vs Rabbitohs,2017
22,Error,Kyle Turner,,,,Rabbitohs,64:02,Eels vs Rabbitohs,2017
23,Interchange - Sin Bin Return,Kyle Turner,,,,Rabbitohs,64:01,Eels vs Rabbitohs,2017
24,Error,Kenny Edwards,,,,Eels,62:33,Eels vs Rabbitohs,2017
25,Interchange,,                   Tepai Moeroa,                   Nathan Brown,,Eels,62:19,Eels vs Rabbitohs,2017
26,Error,Kirisome Auva'a,,,,Eels,59:50,Eels vs Rabbitohs,2017
27,Interchange - Sin Bin Return,Kirisome Auva'a,,,,Eels,59:49,Eels vs Rabbitohs,2017
28,Kick Bomb,Luke Kelly,,,,Rabbitohs,59:45,Eels vs Rabbitohs,2017
29,Interchange,,                   Jason Clark,                   Cameron Murray,,Rabbitohs,58:59,Eels vs Rabbitohs,2017
30,Interchange,,                   Daniel Alvaro,                   Tim Mannah,,Eels,58:16,Eels vs Rabbitohs,2017
31,Interchange - Sin Bin Return,Jason Clark,,,,Rabbitohs,57:29,Eels vs Rabbitohs,2017
32,Error,Jason Clark,,,,Rabbitohs,57:29,Eels vs Rabbitohs,2017
33,Penalty - Dangerous Tackle,Kenny Edwards,,,,Eels,56:24,Eels vs Rabbitohs,2017
34,Conversion-Made,Bryson Goodwin,,,18-16,Rabbitohs,55:19,Eels vs Rabbitohs,2017
35,Interchange,,                   Beau Scott,                   Suaia Matagi,,Eels,54:10,Eels vs Rabbitohs,2017
36,Video Referee,Try,,,,Rabbitohs,54:04,Eels vs Rabbitohs,2017
37,Try,Robert Jennings,,,18-14,Rabbitohs,53:56,Eels vs Rabbitohs,2017
38,Linebreak,Robert Jennings,,,,Rabbitohs,53:55,Eels vs Rabbitohs,2017
39,Penalty - Dangerous Tackle,Beau Scott,,,,Eels,53:15,Eels vs Rabbitohs,2017
40,Error,Mitchell Moses,,,,Eels,52:23,Eels vs Rabbitohs,2017
41,Conversion-Made,Mitchell Moses,,,18-10,Eels,51:12,Eels vs Rabbitohs,2017
42,Try,Semi Radradra,,,16-10,Eels,49:29,Eels vs Rabbitohs,2017
43,Linebreak,Semi Radradra,,,,Eels,49:28,Eels vs Rabbitohs,2017
44,Error,Thomas Burgess,,,,Rabbitohs,47:58,Eels vs Rabbitohs,2017
45,Interchange,,                   Cameron Murray,                   Dean Britt,,Rabbitohs,47:50,Eels vs Rabbitohs,2017
46,Interchange,,                   David Tyrrell,                   Thomas Burgess,,Rabbitohs,47:43,Eels vs Rabbitohs,2017
47,Error,Damien Cook,,,,Rabbitohs,45:47,Eels vs Rabbitohs,2017
48,Penalty - Crowding,Kenny Edwards,,,,Eels,44:59,Eels vs Rabbitohs,2017
49,Kick Bomb,Corey Norman,,,,Eels,44:13,Eels vs Rabbitohs,2017
50,Penalty - 2nd Effort,Tyrell Fuimaono,,,,Rabbitohs,42:42,Eels vs Rabbitohs,2017
51,Kick Bomb,Luke Kelly,,,,Rabbitohs,42:34,Eels vs Rabbitohs,2017
52,Kick Bomb,Mitchell Moses,,,,Eels,41:42,Eels vs Rabbitohs,2017
53,Kick Bomb,Cody Walker,,,,Rabbitohs,40:49,Eels vs Rabbitohs,2017
54,Conversion-Made,Mitchell Moses,,,12-10,Eels,40:00,Eels vs Rabbitohs,2017
55,Try,Semi Radradra,,,10-10,Eels,39:02,Eels vs Rabbitohs,2017
56,Linebreak,Semi Radradra,,,,Eels,39:01,Eels vs Rabbitohs,2017
57,Penalty - Holding Down,Cameron Murray,,,,Rabbitohs,38:35,Eels vs Rabbitohs,2017
58,Line Dropout,Damien Cook,,,,Rabbitohs,38:08,Eels vs Rabbitohs,2017
59,Error,Semi Radradra,,,,Eels,34:17,Eels vs Rabbitohs,2017
60,Line Dropout,Luke Kelly,,,,Rabbitohs,33:52,Eels vs Rabbitohs,2017
61,Interchange - Sin Bin Return,Kirisome Auva'a,,,,Eels,33:10,Eels vs Rabbitohs,2017
62,Kick Bomb,Mitchell Moses,,,,Eels,33:05,Eels vs Rabbitohs,2017
63,Interchange,,                   Nathan Brown,                   Beau Scott,,Eels,32:26,Eels vs Rabbitohs,2017
64,Error,John Sutton,,,,Rabbitohs,31:30,Eels vs Rabbitohs,2017
65,Error,Michael Jennings,,,,Eels,30:53,Eels vs Rabbitohs,2017
66,Penalty - Flop,Daniel Alvaro,,,,Eels,30:32,Eels vs Rabbitohs,2017
67,Penalty - Holding Down,Corey Norman,,,,Eels,29:34,Eels vs Rabbitohs,2017
68,Kick Bomb,Corey Norman,,,,Eels,29:01,Eels vs Rabbitohs,2017
69,Conversion-Made,Bryson Goodwin,,,6-10,Rabbitohs,27:03,Eels vs Rabbitohs,2017
70,Video Referee,Try,,,,Rabbitohs,26:08,Eels vs Rabbitohs,2017
71,Try,Kyle Turner,,,6-8,Rabbitohs,26:05,Eels vs Rabbitohs,2017
72,Linebreak,Kyle Turner,,,,Rabbitohs,26:03,Eels vs Rabbitohs,2017
73,Error,Corey Norman,,,,Eels,24:47,Eels vs Rabbitohs,2017
74,Interchange,,                   Thomas Burgess,                   Jason Clark,,Rabbitohs,23:40,Eels vs Rabbitohs,2017
75,Interchange,,                   Tim Mannah,                   Kenny Edwards,,Eels,23:10,Eels vs Rabbitohs,2017
76,Interchange,,                   George Burgess,                   David Tyrrell,,Rabbitohs,21:12,Eels vs Rabbitohs,2017
77,Penalty - Dangerous Tackle,Cameron King,,,,Eels,21:02,Eels vs Rabbitohs,2017
78,Error,Mitchell Moses,,,,Eels,20:52,Eels vs Rabbitohs,2017
79,Penalty - Crowding,Cody Walker,,,,Rabbitohs,19:51,Eels vs Rabbitohs,2017
80,Interchange,,                   Siosaia Vave,                   Daniel Alvaro,,Eels,19:28,Eels vs Rabbitohs,2017
81,Penalty - Dangerous Tackle,Michael Jennings,,,,Eels,17:59,Eels vs Rabbitohs,2017
82,Error,Tyrell Fuimaono,,,,Rabbitohs,16:27,Eels vs Rabbitohs,2017
83,Conversion-Missed,Bryson Goodwin,,,,Rabbitohs,15:14,Eels vs Rabbitohs,2017
84,Try,Robert Jennings,,,6-4,Rabbitohs,13:44,Eels vs Rabbitohs,2017
85,Linebreak,Robert Jennings,,,,Rabbitohs,13:44,Eels vs Rabbitohs,2017
86,Penalty - Offside inside 10m,Tim Mannah,,,,Eels,13:20,Eels vs Rabbitohs,2017
87,Error,Manu Ma'u,,,,Eels,12:47,Eels vs Rabbitohs,2017
88,Penalty - Offside Downtown,Bryson Goodwin,,,,Rabbitohs,12:09,Eels vs Rabbitohs,2017
89,Linebreak,Damien Cook,,,,Rabbitohs,11:05,Eels vs Rabbitohs,2017
90,Conversion-Made,Mitchell Moses,,,6-0,Eels,09:45,Eels vs Rabbitohs,2017
91,Try,Michael Jennings,,,4-0,Eels,08:08,Eels vs Rabbitohs,2017
92,Linebreak,Michael Jennings,,,,Eels,08:04,Eels vs Rabbitohs,2017
93,Interchange - Sin Bin Return,Tyrell Fuimaono,,,,Rabbitohs,06:54,Eels vs Rabbitohs,2017
94,Error,Tyrell Fuimaono,,,,Rabbitohs,06:54,Eels vs Rabbitohs,2017
95,Penalty - Flop,George Burgess,,,,Rabbitohs,04:33,Eels vs Rabbitohs,2017
96,KICK OFF,,,,,,00:00,Eels vs Rabbitohs,2017
